[00:00:00] 欢迎收听
[00:00:06] 赵华语古惑仔第1131集
[00:00:09] 今天是2026年的7月2号
[00:00:12] 今天是有影片版的哦
[00:00:14] 一样放在赵华艾伦说的频道
[00:00:17] 那我想大家就可以隐约猜到
[00:00:19] 今天的大来宾是谁了
[00:00:20] 先来讲一下今天盘面
[00:00:23] 今天盘面其实一开盘跌了1000点
[00:00:25] 所以大家就想说
[00:00:26] 哇塞
[00:00:26] 现在真的叫做
[00:00:28] 开盘不是涨1000
[00:00:29] 就是跌1千点
[00:00:30] 可是你说昨天晚上
[00:00:32] 有没有什么特别
[00:00:33] 让你觉得很紧张的事情呢
[00:00:35] 有几个说法啦
[00:00:36] 例如说Meta
[00:00:37] 又提到让大家觉得
[00:00:39] 这个卖产子的
[00:00:40] 会不会有算力过剩的问题
[00:00:42] 还有就是说小飞浓
[00:00:44] 这个很烦哦
[00:00:45] 小飞浓或是飞浓
[00:00:47] 好的时候就告诉你
[00:00:48] 那可能要升息
[00:00:49] 不好的时候就告诉你
[00:00:51] 那就业市场似乎降温了
[00:00:53] 都不行
[00:00:54] 可是他是不是主要的凶手
[00:00:55] 我觉得这个听起来有点牵强
[00:00:58] 但总之今天盘中
[00:00:59] 后来是慢慢的收了一个脚
[00:01:01] 大概留了一个七八百点的下影线
[00:01:04] 可是体感温度好不好
[00:01:05] 很看个人手上到底持有什么样的股票
[00:01:08] 如果您手上的被动元件
[00:01:10] 感受不好吗
[00:01:11] 您手上的记忆体
[00:01:12] 感受也不是太理想
[00:01:15] 主动元件
[00:01:16] 不得了
[00:01:17] 今天旁边上最热的
[00:01:19] 细晶元继续开心
[00:01:20] 好 现在两集化的情况下
[00:01:22] 还有量能缩起来
[00:01:24] 量能缩起来反映的就是
[00:01:25] 现在市场的资金
[00:01:27] 有点在紧缩的味道
[00:01:29] 什么时候可以脱离这个紧箍呢
[00:01:31] 好 先来欢迎今天的来宾
[00:01:32] 今天来宾就是大家很喜欢的
[00:01:35] AI达人蔡明翰
[00:01:36] 赵华 听众朋友 观众朋友大家好
[00:01:39] 因为我都在看礼拜天
[00:01:41] 明翰的财经震撼蛋
[00:01:43] 顺便宣传一下
[00:01:46] 他就有讲到一个标
[00:01:47] 我看了就很心动
[00:01:48] 因为上个礼拜五
[00:01:49] 外资卖了一千七百多亿
[00:01:51] 史上最大的卖超
[00:01:52] 礼拜三 礼拜五
[00:01:53] 然后明翰就说
[00:01:54] 不要被这个外资吓出去
[00:01:56] 变成超大型韭菜
[00:01:58] 真的是超级给人正面的能量
[00:02:01] 不过这个礼拜虽然有反攻
[00:02:03] 我自己个人是觉得
[00:02:05] 从量缩这件事情
[00:02:06] 就知道大家的心情上
[00:02:09] 没有像上个礼拜那么乐观
[00:02:11] 说一路可以往上跑的
[00:02:12] 那个情绪跑出来
[00:02:13] 而是金金涨
[00:02:15] 然后主流的产业呢
[00:02:17] 像今天涨的
[00:02:18] 矽金元跟主动
[00:02:19] 就是小小
[00:02:20] 就是集中在小小的
[00:02:21] 然后大的就反而比较不动
[00:02:23] 所以体感你不能说差
[00:02:25] 要看您手上是什么股票
[00:02:27] 可是我觉得信心面有变差
[00:02:30] 对 应该这样讲
[00:02:31] 最主要关键
[00:02:33] 我还是觉得啦
[00:02:34] 这个盘面给人家的感受
[00:02:36] 然后会相互反应
[00:02:38] 到底是盘导致市场的氛围
[00:02:40] 还是市场氛围导致盘面
[00:02:42] 其实我觉得这是相互感染的
[00:02:44] 那结论就是因为毕竟位阶很高了
[00:02:47] 对不对
[00:02:47] 所以大家会很担心
[00:02:49] 那涨幅
[00:02:50] 其实我就觉得4月5月6月
[00:02:52] 这三个月真的涨幅非常非常大
[00:02:54] 对
[00:02:54] 那这个光靠这三个月
[00:02:57] 我觉得这个指数带给市场的观点
[00:03:00] 已经完全不同了
[00:03:02] 或简单一个概念
[00:03:03] 就像今天盘中大跌之后开始拉上来
[00:03:06] 对
[00:03:06] 然后记者就打电话来问
[00:03:08] 这个给人家感觉
[00:03:10] 台股就是不会跌
[00:03:12] 大家都非常有信心
[00:03:13] 记者的想法是这样吗
[00:03:14] 对啊
[00:03:15] 因为他会觉得看起来
[00:03:17] 这个昨天废办跌成是负责性
[00:03:20] 今天台股感觉压力并不大
[00:03:22] 也对
[00:03:23] 其实他讲的也对
[00:03:24] 因为收缴嘛
[00:03:25] 对
[00:03:25] 然后而且他从这盘面结构
[00:03:27] 就解读说市场是非常的信心
[00:03:30] 现在下跌大家就是要买
[00:03:32] 那他在问我这个问题
[00:03:34] 我的意思说
[00:03:35] 他问我说
[00:03:36] 我的感受我只能回答
[00:03:39] 他说
[00:03:39] 我说时间还没到
[00:03:40] 他说什么叫时间还没到
[00:03:41] 我的意思说
[00:03:43] 为什么会有信心
[00:03:44] 就是因为
[00:03:44] 现在都还在这个多头的架构
[00:03:47] 然后大家还沉浸在
[00:03:49] 四五六月这个氛围之中
[00:03:52] 所以大家养成一个习惯
[00:03:54] 拉回就买
[00:03:55] 拉回就买
[00:03:55] 对
[00:03:55] 然后我就说嘛
[00:03:57] 是今年四月以前
[00:03:58] 这个氛围也不会
[00:04:00] 并不存在
[00:04:01] 对不对
[00:04:02] 然后这三个月导致市场是非常乐观
[00:04:05] 所以现在拉回就买
[00:04:06] 那他问我说
[00:04:07] 这样子会不会有问题
[00:04:09] 我说现在没问题
[00:04:10] 但是我往后看我不太知道
[00:04:12] 因为最主要关键点就是
[00:04:15] 每年第三季
[00:04:16] 他有固定的架构
[00:04:18] 从美股到台股都一样
[00:04:20] 其实第三季是业绩最好的时候
