[00:00:00] 欢迎收听赵华语股获在第1122集
[00:00:09] 今天是2026年的6月18号
[00:00:13] 也是短午节廉价前我们最后一个交易日
[00:00:17] 大家众所瞩目在今天就是要听听看
[00:00:21] 凌晨到底华诩的会后记者会上面讲了些什么
[00:00:25] 讲了些什么
[00:00:26] 其实如果看夜盘和美股也是有比较戏剧性的表现
[00:00:29] 在华诩演讲开会之前
[00:00:32] 其实股票是先拉上去的
[00:00:34] 夜盘是先拉得相当的高
[00:00:35] 可是后来开会的时候就刷
[00:00:37] 几乎是拉回快平盘的位置
[00:00:40] 所以本来预期今天的台股应该是有一点受到压力的
[00:00:44] 可是今天实在太厉害了
[00:00:45] 今天台股是创下了历史新高
[00:00:48] 也创下了收盘新高
[00:00:50] 今天最高是来到46565
[00:00:53] 而且不只台股
[00:00:54] 整个雅股都非常的厉害
[00:00:57] 韩股日股也都创下了历史新高
[00:01:01] 那今天晚上美股会开盘
[00:01:03] 明天美股也是有这个节日的关系
[00:01:07] 所以他们明天是修饰的
[00:01:08] 因此今天晚上美股也是同步是四屋日
[00:01:11] 想必也会有一番比较震荡的洗刷
[00:01:14] 但是
[00:01:14] 但是我本来预期是下个礼拜
[00:01:17] 这些变数都过了之后
[00:01:19] 应该可以万里无云的好好的来聊
[00:01:20] 可是今天就创高了
[00:01:22] 而且今天因为有副时指数的调整
[00:01:24] 在尾盘爆量
[00:01:25] 今天的量能也来到1.5兆以上
[00:01:27] 是不是所有的好事情提早发生了
[00:01:31] 还有一件事
[00:01:32] 因为美股很厉害
[00:01:34] 我本来以为6月19号他们才要签
[00:01:36] 我还在想说
[00:01:37] 等一下你在放假
[00:01:38] 就他们就没签
[00:01:39] 丢起来或什么
[00:01:40] 结果签了
[00:01:41] 还提早签了
[00:01:42] 这个MOU提早签了
[00:01:44] 所以好像就没有什么要令人担心的
[00:01:48] 我先来欢迎今天的来宾
[00:01:50] 本来是礼拜五男孩
[00:01:51] 现在提早一天
[00:01:53] 也是礼拜四来
[00:01:54] 就是我们的国家级基金操盘手
[00:01:57] 黄峰凯哥
[00:01:58] 早好
[00:01:58] 各位听众观众大家好
[00:01:59] 我们前几天其实也在讨论这件事情
[00:02:02] 就是觉得还是得听一下
[00:02:04] 华许的态度
[00:02:04] 好 这边简单的帮大家讲一下
[00:02:07] 华许有一些事情说到做到
[00:02:09] 例如他就说了
[00:02:11] 以后不想要什么给市场前瞻指引了
[00:02:14] 有什么好前瞻的
[00:02:15] 最后决定怎么样就是怎么样
[00:02:17] 大家就等着听结果
[00:02:19] 还有他说他不喜欢点证图要投票
[00:02:22] 因为投票也是一个指引
[00:02:23] 也是告诉你大家对升降席的态度
[00:02:25] 他就昨天19个人里面只有18票
[00:02:30] 因为华许没有去投票
[00:02:32] 所以点证图现在是少一个点点的
[00:02:34] 好 那昨天投出来的话呢
[00:02:36] 其实大部分人还是觉得今年不升息
[00:02:38] 昨天投出来呢
[00:02:40] 大部分的人还是觉得今年是一个不升不降
[00:02:42] 但是倾向升息一马的人有变多
[00:02:46] 有变多
[00:02:47] 以及下修了GDP的预估
[00:02:49] 把这个美国GDP预估从2.4下修到2.2
[00:02:52] 失业率也同步下修
[00:02:54] 好 这些资讯混合在一起
[00:02:55] 其实我觉得没有到非常好
[00:02:58] 可是我觉得市场好像有点松口气
[00:03:01] 所以今天整个雅谷是一个大涨的态势
[00:03:04] 想要请教凯哥
[00:03:05] 危机是不是彻底已经解除了
[00:03:07] 对 我觉得大家不还记不记得
[00:03:09] 之前我来上节目的时候
[00:03:11] 我就讲过
[00:03:12] 其实这次的利率会议基本上
[00:03:15] 没有什么特别要注意的
[00:03:16] 但是要特别注意就是
[00:03:18] 有没有可能做预防性的动作
[00:03:20] 那其实为什么昨天先涨
[00:03:22] 后来又跌下来
[00:03:23] 就是因为涨的时候是告诉你说
[00:03:25] 这次是按兵不动
[00:03:27] 可是会后声明告诉你说
[00:03:29] 未来有可能要做升息的动作
[00:03:32] 对 偏移 其实偏移
[00:03:33] 所以才这个整个掉下来
[00:03:34] 再加上未来就没有点正途了
[00:03:37] 也没有前瞻指引
[00:03:38] 所以大家变成是未来是没有方向
[00:03:40] 所以突然就一阵的shock就往下跌
[00:03:42] 但是其实整个市场来看
[00:03:45] 我觉得还蛮符合华雪的作风
[00:03:48] 就他基本上就是一个比较强硬派的人
[00:03:50] 但是他又卡在川普的下面
[00:03:53] 我们都知道
[00:03:53] 其实川普现在就希望说
[00:03:55] 你最好FED是能够降息的
