[00:00:00] 欢迎收听
[00:00:30] 所以它有点影响到我的感受了
[00:00:32] 好没有
[00:00:32] 比股市影响还要大
[00:00:34] 但今天股市是真的非常非常的刺激
[00:00:36] 等一下会来好好跟大家分享
[00:00:38] 今天我有做事情
[00:00:39] 我有卖东西
[00:00:41] 也有捡东西
[00:00:42] 是什么样的原因
[00:00:43] 理由观念也会跟大家一一的做交代
[00:00:45] 那昨天晚上我们知道CPI公布出来了
[00:00:48] 4.2%叫做符合市场预期
[00:00:51] 但确实有一点点的高
[00:00:53] 一点点的高
[00:00:54] 不过我想不确定的因素拿掉的时候
[00:00:56] 市场夜盘是先开心反应的
[00:00:59] 至少你不是出现一个什么4.5 4.3
[00:01:02] 偏离预期太多的数字
[00:01:04] 但也没有什么好值得非常开心
[00:01:06] 只是因为昨天的日盘已经杀了嘛
[00:01:09] 已经杀了
[00:01:10] 所以昨天夜盘在CPI截出来之后呢
[00:01:12] 就直线往上哦
[00:01:14] 那至于为什么半夜又杀下来呢
[00:01:17] 因为每一之间的战火又变得比较激烈
[00:01:20] 这就造成我们今天要判断盘面上的变化
[00:01:23] 也相对困难
[00:01:25] 也相对困难
[00:01:26] 今天的大盘来回的高低点价差有高达1400点
[00:01:31] 一开盘你觉得我好强
[00:01:33] 盘中觉得完蛋了
[00:01:34] 手盘觉得我好强
[00:01:35] 好 这样子
[00:01:37] 这样子怎么做
[00:01:38] 它不是一个标准的什么开低走低
[00:01:40] 开高走低可以形容的
[00:01:41] 它走成一个V字形
[00:01:43] 今天来宾也比较特别
[00:01:45] 他平常都是上理财达人秀
[00:01:48] 他今天难得又愿意在空中
[00:01:51] 用声音跟大家相会
[00:01:53] 因为他声音非常之迷人
[00:01:54] 我想大家是可以接受没有看到影片的
[00:01:57] 就是古事师公有年老师
[00:02:00] 好 赵华好
[00:02:02] 各位听众朋友大家好
[00:02:03] 好 师公在里面有来这段日子
[00:02:05] 我记得古惑仔开台
[00:02:07] 好像第一集还第二集
[00:02:08] 第一集小哥
[00:02:09] 第二集就是您啦
[00:02:11] 很是
[00:02:11] 对
[00:02:11] 这段时间古惑仔
[00:02:13] 他慢慢的已经变成一个很啰嗦的节目
[00:02:15] 就是我会跟大家不断分享我在做什么
[00:02:20] 然后也会请达人们也要跟大家分享一些比较对的操作观念
[00:02:25] 那这边的话跟古惑仔的听众分享
[00:02:28] 像这个礼拜我觉得来宾很有趣
[00:02:30] 礼拜一是题材猎人汉伟哥
[00:02:32] 汉伟哥是比较中立的人
[00:02:34] 但他了解各种题材
[00:02:36] 他的中立是包括说
[00:02:37] 今天涨的有基本面他也会讲
[00:02:39] 涨的没基本面他也会讲
[00:02:41] 今天势头很强
[00:02:44] 只要是正规投机投资
[00:02:47] 他全部都会讲很可爱的一个人
[00:02:49] 那第二天是明汉哥
[00:02:51] 明汉哥就是我们里面的绝对乐观派
[00:02:54] 他只在意大盘或是个股的乖离率也许太高了
[00:02:58] 可是他对AI的发展是绝对的乐观
[00:03:02] 所以就是站在杀下来一定要买的状况
[00:03:06] 好 那昨天来的是伟泰
[00:03:07] 维泰是属于比较谨慎型的
[00:03:10] 他有提到最近有一些现象
[00:03:11] 是他以前投资这么多年没有看过的
[00:03:14] 所以他会觉得逢高先落袋为安
[00:03:17] 我觉得这也很棒
[00:03:18] 因为今天我就有做落袋为安
[00:03:21] 但我也有逢低减便宜
[00:03:22] 那施工我也必须讲
[00:03:24] 施工呢
[00:03:25] 他就是属于这段时间提醒风险比较多的
[00:03:28] 所以会有人在网络上很喜欢跟您站
[00:03:31] 我们今天不站
[00:03:32] 我们今天不站
[00:03:33] 我只是要强调古惑仔的来宾们
[00:03:36] 各自会有他的逻辑
[00:03:37] 大家都看过
[00:03:39] 如果有上我脸书会看到
[00:03:40] 我们常常在一起吃饭聊天
[00:03:41] 那其实我们可能对盘的方向看法
[00:03:45] 不一定一样
[00:03:45] 可是我们会用我们适合的方式
[00:03:48] 保守的人用保守方式
[00:03:50] 乐观的
[00:03:50] 投机的
[00:03:51] 投资的
[00:03:52] 谨慎的
[00:03:53] 有风险意识的
[00:03:55] 对
[00:03:55] 好
[00:03:55] 所以今天的盘
[00:03:56] 因为施工前面有风险意识的关系
[00:03:59] 导致这次的回档
[00:04:00] 事实上是完全符合您的预期
[00:04:02] 是
[00:04:03] 包括大盘已经RSI两度背离了
[00:04:05] 对
[00:04:05] 然后本来这个长那么热
[00:04:07] 本来就有回档的风险
[00:04:08] 所以可否请您再帮我们的听众
[00:04:11] 再分享一下
[00:04:12] 但是跌到这边洗洗刷之后
[00:04:14] 你觉得什么样的状况
[00:04:15] 叫做风险已经沉淀下来了
[00:04:17] 其实呢
[00:04:19] 大家现在会看
[00:04:20] 看着这个风险
[00:04:21] 就是完全沉淀下来的话
[00:04:24] 我相信大部分的人都是看融资
[00:04:26] 就是你融资以为
[00:04:28] 如果能够减少
[00:04:30] 在三天之内减少到
[00:04:31] 大概500亿以上的话
[00:04:33] 那么大概这个风险就降了很低了
[00:04:37] 可是呢
[00:04:38] 我的感觉是
[00:04:39] 它这一波呢
[00:04:40] 没有人想要把融资洗干净
[00:04:43] 好
[00:04:44] 我觉得这一波很厉害的一点
[00:04:46] 我今天也觉得很驱惨
[00:04:48] 应该说昨天晚上
[00:04:49] 昨天晚上融资又杀下去了
[00:04:51] 大家有注意到吗
[00:04:52] 礼拜一杀250亿
[00:04:54] 礼拜二回来150亿
[00:04:55] 昨天晚上又杀250亿
[00:04:57] 所以如果不加计回来的
[00:04:59] 确实有杀到500亿
[00:05:00] 对
[00:05:01] 可是呢
[00:05:02] 回来的要算在那边
[00:05:04] 所以就大概杀了350亿
[00:05:06] 对
[00:05:06] 还是不够
[00:05:07] 还是不够
[00:05:08] 那事实上呢
[00:05:09] 应该是讲说
[00:05:11] 要有一次的融资断头
[00:05:13] 至少要有一次的融资断头
[00:05:15] 你又回想一下
[00:05:16] 2020年那个
[00:05:17] 新冠肺炎刚刚爆发的时候
[00:05:20] 那个时候呢
[00:05:22] 在10个交易日之内呢
[00:05:25] 杀下来的将近25%左右
[00:05:28] 就杀下来将近3000点
[00:05:30] 那个时候的3000点是很可怕的
[00:05:32] 这个因为呢
[00:05:34] 那个时候的指数才大概1万点左右
[00:05:36] 所以杀3000点下来很可怕
[00:05:38] 所以那一次是连这个
[00:05:39] 丙种资金的
[00:05:40] 这个都被断头了
[00:05:43] 连那个金主都被洗出去了
[00:05:45] 好
[00:05:45] 那那次洗得最干净
[00:05:47] 所以从那个时候开始
[00:05:48] 能够涨到现在4万6000点
[00:05:50] 最主要原因就是
[00:05:52] 那一次洗得非常的干净
[00:05:53] 是
[00:05:53] 那之后呢
