[00:00:00] 欢迎收听
[00:00:06] 赵华语古惑在第1129集
[00:00:09] 今天是2026年的6月30号
[00:00:12] 也就是我们上半年的最后一天
[00:00:14] 最后一个交易日
[00:00:15] 今天大家也可以想一想过去半年
[00:00:18] 结出一个怎么样的半年报
[00:00:20] 当然今天的盘我觉得挺有意思的
[00:00:22] 今天跟昨天就好像上一次
[00:00:25] 大盘跌破月线的时候
[00:00:28] 复制贴上
[00:00:30] 复制贴上
[00:00:31] 我今天就有接到我们的可爱听众
[00:00:35] 传讯息关心我
[00:00:37] 因为昨天有跟大家聊说
[00:00:38] 我要减压
[00:00:39] 所以我要把一半的附顶卖掉
[00:00:42] 那就恭喜手上有附顶的朋友
[00:00:44] 有点翻开玩笑
[00:00:45] 因为其实主被动元件这段时间
[00:00:47] 都是强势族群
[00:00:49] 为了减压卖掉相对赚的比较多的
[00:00:52] 很可能就会面临卖飞
[00:00:54] 不过这一次我已经做好准备
[00:00:56] 不会像上次信仓店
[00:00:57] 一口气不知道怎样全卖了
[00:00:59] 这次卖一半
[00:01:00] 结果今天附顶就锁掌停锁到最后
[00:01:03] 好大家就关心我说
[00:01:05] 赵花你真的把它卖飞了
[00:01:06] 没有关系
[00:01:08] 没有关系
[00:01:08] 因为今天整体的水位
[00:01:10] 相信大家一定是一个明显回温的状况
[00:01:14] 跟昨天前天的感受
[00:01:16] 一定是非常的不一样
[00:01:17] 今天整体水位回温了
[00:01:19] 那有股票卖飞是没有什么关系的
[00:01:21] 因为有讲了
[00:01:22] 为了减压而做的事情
[00:01:24] 最重要的是在上个礼拜跌破月线的时候
[00:01:27] 有请大家还是遵照加码
[00:01:30] 不管是执行或是主动型的ETF
[00:01:32] 让您自己比较安心的商品都可以
[00:01:34] 这件事情它是成立的
[00:01:36] 以及到了今天
[00:01:37] 它也在盘面上
[00:01:38] 在大家的总报酬上
[00:01:40] 应该都会出现不错的成效
[00:01:42] 不过这样子复制贴上
[00:01:44] 也有一些缺点
[00:01:46] 因为上次就是跌破月线后
[00:01:48] 立刻反攻
[00:01:49] 而且反攻没有量
[00:01:49] 所以当反攻的时候
[00:01:51] 大家是半信半疑的
[00:01:52] 没有量的反攻能到哪呢
[00:01:54] 就一口气就反攻好几千点
[00:01:57] 那这次也是
[00:01:58] 今天盘中应该有涨到1600点
[00:02:01] 但今天的量能
[00:02:03] 其实还是相对比较小的
[00:02:05] 是尾盘贯杀500点
[00:02:07] 量才放到1.2兆
[00:02:09] 所以复制贴上的缺点是什么
[00:02:13] 缺点就是
[00:02:14] 第一可能还是会
[00:02:15] 有一点点措手不及的感觉
[00:02:16] 会急着想要在今天
[00:02:18] 去追一些强势股嘛
[00:02:20] 这也是这几次轮回下来
[00:02:23] 比较容易让您的成本
[00:02:25] 垫高的一个原因
[00:02:26] 如何能够在相对低点去见部位
[00:02:29] 我觉得这个是最近的一个考验
[00:02:31] 然后再来就是
[00:02:32] 说好的洗融资
[00:02:35] 说好的想要轻鱼儿
[00:02:37] 这个福儿各国
[00:02:38] 都有一些政策
[00:02:39] 这件事情显然
[00:02:40] 它还是没有办法
[00:02:42] 在这段时间呈现
[00:02:44] 那优点是什么
[00:02:45] 优点就是也提到
[00:02:47] 其实七月来看
[00:02:48] 目前有呈现一个
[00:02:49] 你看不太到
[00:02:51] 什么样大的问题
[00:02:52] 例如说
[00:02:53] 每一站
[00:02:53] 其实大家真的蛮淡化
[00:02:55] 都懂得去看油价
[00:02:56] 油价没上来
[00:02:57] 自己就不用自乱正教
[00:02:59] 那你说财报
[00:03:00] 第二季财报肯定是好的
[00:03:02] 半年报也肯定是好的
[00:03:03] 你说汇率
[00:03:04] 现在台币在走弱
[00:03:05] 肯定在第二季
[00:03:06] 大家多多少少都有会对的收益
[00:03:09] 以外销股来说
[00:03:10] 外销股来说
[00:03:10] 所以基本面
[00:03:13] 这种GDP企业的财报
[00:03:15] 看不出什么大问题
[00:03:16] 升息的疑虑
[00:03:17] 确实也让台股修正了4000点
[00:03:20] 那到底够了吗
[00:03:21] 够了吗
[00:03:22] 我们如何在这样子
[00:03:23] 突然急涨
[00:03:24] 突然急跌的盘势中
[00:03:26] 安稳
[00:03:26] 叫做
[00:03:27] 刚刚跟来宾讲说
[00:03:28] 叫做
[00:03:28] 定进安律的
[00:03:30] 先来欢迎他
[00:03:32] 今天来的是
[00:03:33] 选股教练
[00:03:35] 韦太
[00:03:35] 嗨 赵华好
[00:03:36] 大家好
[00:03:37] 好 韦太有定进安律的吗
[00:03:39] 我最近倒是蛮定的
[00:03:41] 因为上一次来
[00:03:44] 韦太也有特别提到
[00:03:45] 没有受到盘面上
[00:03:46] 大跌或大涨
[00:03:48] 可是有提到
[00:03:49] 因为现在的融资的状态
[00:03:51] 对不对
[00:03:51] 杠杆的状态
[00:03:52] 是前所未见的
[00:03:54] 所以你会比较注意风险
[00:03:56] 对
[00:03:56] 其实刚刚这个赵华一开始
[00:03:59] 讲到了这一些
[00:04:00] 所谓付资贴上
[00:04:01] 然后跟之前的这个
[00:04:04] 所谓几涨几跌的一个模式很像
[00:04:07] 当然其实背后的一个
[00:04:09] 很主要的原因
[00:04:10] 就是因为这个融资余额的部分
[00:04:12] 正在相当相当的积极
[00:04:15] 勇热
[00:04:16] 对 很积极
[00:04:17] 所以在这个融资余额持续的
[00:04:21] 维持高档情况之下
[00:04:22] 我认为在这个行情的震荡
[00:04:25] 应该就还是会持续
[00:04:27] 讲到行情的部分
[00:04:30] 其实在前几个交易日
[00:04:33] 一直都有人在讨论说
[00:04:35] 这个行情会不会过热
[00:04:36] 什么三代同堂
[00:04:39] 四代同堂
[00:04:40] 五代同堂的事情
[00:04:41] 对
[00:04:42] 会不会太热
[00:04:43] 然后甚至好像还引发了
[00:04:46] 这个金管会
[00:04:47] 或者央行的一些关切
[00:04:49] 对啊
[00:04:50] 关于这件事情呢
[00:04:51] 我想跟各位投资朋友分享的是
[00:04:54] 过热它并不会让行情
[00:04:57] 从多头转为空头
[00:04:59] 是
[00:05:00] 对
[00:05:00] 过热它只会让这一个
[00:05:02] 涨多的一个行情出现修正
[00:05:05] 但不会转为空头
[00:05:07] 空头这两回事
[00:05:08] 对
[00:05:09] 所以我觉得这边的这个拉回
[00:05:12] 比较像就是大家所说的过热
[00:05:14] 那过热之后的一个修正
[00:05:17] 那过热之后修正完之后
[00:05:19] 当然一些个股
[00:05:21] 跌到相对低档的时候
[00:05:23] 它假设它的基本面还不错
