[00:00:00] 欢迎收听
[00:00:30] 也就是台指期的点数是收在比较低的
[00:00:33] 这些也都符合在今天外资高度空单做结算的一个现象
[00:00:38] 不过因为现货市场最后一盘拉起来
[00:00:41] 黑了大半场最后拉红涨了68点
[00:00:45] 这也是在现货市场做一个强势的表态
[00:00:49] 各司其值各有所赚
[00:00:52] 那当然我们投资人也可以比较放心的
[00:00:55] 在下个礼拜之前我们可以想想看怎么样做布局
[00:00:58] 因为毕竟这几天盘市是比较观望的
[00:01:01] 观望什么呢
[00:01:02] 当然还是得听一下华许讲什么
[00:01:05] 即使我们这几天的来宾都跟大家持续的分享
[00:01:09] 台股的多头气势很强
[00:01:11] 那最近一次的下跌
[00:01:12] 它的事件性并不是非常的强
[00:01:15] 不是像对等关税那么的夸张
[00:01:16] 那么的吓人
[00:01:17] 应该大幅的修正已经过去了
[00:01:20] 但是没有听到华许讲话
[00:01:22] 我想市场的观望的气氛还是比较浓
[00:01:25] 明天就会揭晓了
[00:01:26] 明天当然也会好好来跟大家讲
[00:01:29] 它的话有代表了什么样的一些意义
[00:01:32] 包括到底未来联准会
[00:01:34] 还有没有所谓前瞻指引这件事情
[00:01:37] 都是我们要关注的重点
[00:01:38] 但无论如何今天拉一个尾巴
[00:01:40] 而且今天盘中有一个变化
[00:01:42] 刚开始在拉金融股
[00:01:43] 拉金融股的时候
[00:01:45] 其实电子股是有点辛苦的
[00:01:47] 可是到了大概10点11点之后
[00:01:50] 电子股的比重有慢慢的上来
[00:01:52] 金融股有慢慢的下去
[00:01:53] 这也是台股大家比较喜欢的一个现象
[00:01:56] 还有就是最近我们的GDP
[00:01:58] 不断的有各个统计单位
[00:02:00] 都是上修的
[00:02:01] 最新一个是台中院上修我们的GDP
[00:02:04] 到了9.33%
[00:02:06] 比主计总处的9.64%低点
[00:02:09] 但是大家都往10%去做靠拢
[00:02:11] 这也是台股底气的来源
[00:02:13] 到底如果买个股会觉得有点难掌握的话
[00:02:17] 到底要买什么
[00:02:18] 今天的来宾
[00:02:19] 我们会好好地来探讨这个议题
[00:02:21] 因为现在的股市
[00:02:23] 其实蛮难用价值面来单纯评估
[00:02:26] 来的是我们的
[00:02:28] 纯股交付古鱼
[00:02:29] 哈喽各位听众朋友大家好
[00:02:31] 我是古鱼
[00:02:32] 你说很久没来
[00:02:33] 有一段时间没有来的
[00:02:35] 对因为赵华都没有邀请我
[00:02:38] 所以我就没有来节目上的话
[00:02:40] 跟各位做一些讨论跟分享
[00:02:42] 我给你讲我们节目也有小朋友会听
[00:02:44] 害我刚刚脱口而出
[00:02:46] 真的吗
[00:02:46] 你这个叫做本色出言好吧
[00:02:50] 好
[00:02:51] 那个我们来聊一下
[00:02:53] 那这段时间你在做什么
[00:02:55] 因为台股在三月的时候
[00:02:58] 有这个美意站在三万点附近
[00:02:59] 后来往上冲
[00:03:00] 说真的又冲了一万多点
[00:03:02] 是的
[00:03:03] 虽然我们的主计总处
[00:03:05] 包括什么台经院台纵院
[00:03:07] 甚至像我的好朋友m平方的创办人
[00:03:10] 他们都对今年的GDP预估
[00:03:12] 真的非常乐观
[00:03:13] m平方估11%以上
[00:03:15] 对那当然我们的政府机关
[00:03:18] 或是民间调查机构略保守
[00:03:20] 就是还没有看到10%这个数字出现
[00:03:23] 但也相去不远了
[00:03:24] 我们要怎么评估现在的台股
[00:03:26] 你觉得算贵还是不贵
[00:03:29] 其实我们回到台股的角度
[00:03:32] 来看这个问题
[00:03:33] 它在目前的状态下面
[00:03:37] 它是有兜底的
[00:03:38] 就是像刚刚赵华所讲的
[00:03:40] 一个股市能不能够继续往上去做攻坚
[00:03:43] 其实GDP的数字
[00:03:45] 它是一个很好的对照物
[00:03:48] 我们常常会看到
[00:03:49] 当我的GDP在成长的过程
[00:03:51] 而且它的成长如果超乎预期
[00:03:54] 通常那一年的股市表现就会非常的好
[00:03:57] 这在前面几年的话
[00:03:59] 我们都看到类似的一个现象
[00:04:01] 比如说像前面几年的话
[00:04:03] 可能在开年的第一月二月的时候
[00:04:06] 可能它开出来的GDP是
[00:04:08] 它觉得已经乐观了
[00:04:10] 但是没有想到后面的发展更乐观的时候
[00:04:14] 它一路往上去做调整
[00:04:15] 结果我们的股市
[00:04:17] 也一路往上去做充斥的一个动作
[00:04:20] 所以我们先有一个基本的概念
[00:04:22] 今年为什么台股股市会这么强
[00:04:25] 其实GDP已经告诉我们一个答案了
[00:04:28] 各位投资朋友们
[00:04:30] GDP超过9%以上
[00:04:33] 这个在过去是非常罕见的一个现象
[00:04:37] 不晓得多少年没看过了
[00:04:38] 对
[00:04:39] 我们现在叫做什么亚洲四小龙时代吗
[00:04:42] 我们已经是四小龙的龙头
[00:04:45] 应该是了吧
[00:04:46] 龙头
[00:04:46] 对
[00:04:47] 以这个充斥的一个角度来讲的话
[00:04:50] 我们应该很快就会占有一席之地
[00:04:52] 我们叫二度发育
[00:04:53] 二度发育
[00:04:54] 就是大家以为长成成年人了
[00:04:56] 不会再长高了
[00:04:57] 可是因为AI来了
[00:04:58] 对
[00:04:59] 所以现在我们仿佛如同回到了青少年时期
[00:05:01] 对
[00:05:02] 就是一年长高时工
[00:05:03] 我们取得重新发育的一个机会
[00:05:05] 重新发育
[00:05:06] 对
[00:05:06] 那在重新发育的情况之下
[00:05:08] 我的底筋打得很好了
[00:05:10] 再让我发育一次的话
[00:05:11] 我觉得这个后市非常的惊人
[00:05:13] 当然这是从GDP的角度来看
[00:05:16] 我们台湾的股市
[00:05:17] 那从另外一个
[00:05:19] 本益比的角度上面来看
[00:05:21] 其实很多人都有在反映这个问题
[00:05:24] 就是说他看到台湾目前很多的高价股
[00:05:27] 对
[00:05:28] 还有很多的一个股票
[00:05:29] 他会觉得说
[00:05:30] 这一波台股涨得很没有道理
[00:05:33] 因为为什么
[00:05:34] 因为其实他如果去看这个所谓的本益比的话
[00:05:37] 他会觉得
[00:05:38] 我们以前在看台股的本益比
[00:05:40] 大概7倍10倍就很好了
[00:05:43] 可是我们现在动辄是15到20倍以上
[00:05:47] 对
[00:05:47] 甚至有一些高价股的话
[00:05:49] 他已经来到40倍这样子的一个角度了
[00:05:52] 很多人看到这个数字都会跟我讲说
[00:05:55] 老师
[00:05:56] 这个数字让我买不下去
[00:05:59] 可是我要跟你讲一件事情
[00:06:03] 如果我们这些产业正站在转型的浪潮当中
[00:06:08] 其实这个本益比一点都不贵
[00:06:10] 为什么我们会觉得这个本益比不一定是很贵呢
[00:06:14] 因为本益比在财报投资的角度里面
[00:06:18] 事实上是有两种的
[00:06:20] 一种的话叫做过去已经发生的本益比
[00:06:23] 一个的话叫做未来准备要发生的本益比
[00:06:27] 外资跟投资人在看有点不太一样
[00:06:31] 我们投资人在看的话
[00:06:33] 大概就是拿去年赚了多少钱
[00:06:35] 去除以现在的股价
[00:06:37] 你会算出一个本益比的数字
[00:06:39] 那你会觉得这个本益比好高
[00:06:41] 那你要我去做投资的话
[00:06:44] 我买不下手
[00:06:44] 可是你这些外资法人
[00:06:46] 他是怎么看公司的本益比
[00:06:49] 他是去看他未来的EPS能够成长到什么程度
[00:06:54] 去换算说他现在如果进场去做布局
[00:06:57] 到底是不是还很便宜
[00:07:00] 所以当你觉得一家公司的本益比
[00:07:03] 40倍很贵的时候
[00:07:05] 有没有想过
[00:07:06] 在外资的眼中他的本益比可能连20都不到
[00:07:10] 因为我们在看很多数字的时候
[00:07:12] 像外资不是会有一些报告吗
[00:07:15] 很多那个报告一摊出来的话
[00:07:18] 大家吓都吓死了
[00:07:19] 比如说什么去年赚10块钱
[00:07:21] 今年的话估你会赚30块40块
[00:07:24] 那股价不是就喷上去了吗
[00:07:26] 我看到比较惊人的应该是联发科
[00:07:28] 因为发哥是今年和去年比起来是不会成长的
[00:07:32] 但他把他后年公益EPS400块
[00:07:34] 我那时候就想到底
[00:07:35] 因为我们也不是不认识发哥
[00:07:38] 我想到底是我们认识发哥
[00:07:40] 认识的不够
[00:07:41] 还是怎么了
[00:07:42] 我们一定是没有看到
[00:07:44] 他在TPU这一块的一个潜力
[00:07:47] 但是其实我们在记忆体产业的话
[00:07:50] 也有看到类似的现象
[00:07:51] 因为记忆体产业有些公司
[00:07:53] 他可能去年前年的话
