[00:00:00] 欢迎收听
[00:00:06] 赵华与古货载地1123集
[00:00:09] 今天是2026年的6月22号
[00:00:13] 今天的台股气势如虹
[00:00:15] 中场上涨了1276点
[00:00:17] 盘中又再创了历史新高
[00:00:19] 当然也是创下了收盘新高
[00:00:21] 最高点来到47871点
[00:00:24] 快要5万点了
[00:00:26] 那因为我们上个礼拜四
[00:00:28] 有跟大家聊
[00:00:28] 我们在等什么
[00:00:29] 等华许嘛
[00:00:30] 但是华许确实偏音
[00:00:32] 可是华许的偏音
[00:00:34] 似乎市场上有稍微收敛了一下
[00:00:37] 之后就想
[00:00:38] 那之后没什么事了吗
[00:00:40] 反正也没有马上要升息
[00:00:41] 然后呢
[00:00:42] 也没有什么好像值得非常担心的事情
[00:00:44] 更何况那一天还讲了
[00:00:47] 美伊先签了MOU
[00:00:48] 不过这个周末
[00:00:50] 大家也是有一点点小提心吊胆
[00:00:52] 就是因为美伊之间
[00:00:54] 虽然签了MOU之后
[00:00:56] 还是有一点点不平静
[00:00:58] 川普还是有讲说
[00:00:59] 他要这个控制恒母之海峡
[00:01:01] 就这个事情似乎没有办法完全告一段落
[00:01:04] 不过今天的台股或是整个雅谷一开盘出来
[00:01:07] 我觉得蛮显见
[00:01:09] 就是不太鸟这事了
[00:01:11] 不太理这个事情
[00:01:12] 而且油价在周末有稍微上去
[00:01:14] 但是今天也是下来
[00:01:16] 从油价是最准的
[00:01:17] 因为我们就是怕油价上去的通膨问题
[00:01:20] 好油价也没涨
[00:01:21] 那台股是超乎这个上礼拜四夜盘的强
[00:01:25] 中场涨那么多
[00:01:26] 涨了一千多点
[00:01:28] 今天一百多档的涨停板
[00:01:31] 很多人可能会有一点点的想
[00:01:33] 到底该怎么样进场呢
[00:01:36] 如果在今天的来宾讲的那一天没有进场
[00:01:39] 后续似乎又差了非常多
[00:01:42] 我先来欢迎他礼拜一固定
[00:01:44] 我们的题材猎人汉伟哥
[00:01:46] 大家好
[00:01:47] 哥听众大家好
[00:01:48] 我还记得上上礼拜一
[00:01:50] 我们有讲说如何判断今天能不能进场买
[00:01:53] 因为那一天是一个比较恐慌
[00:01:55] 在开盘期货盘
[00:01:56] 甚至有打到这个0050跌停的一天
[00:01:59] 但是那一天买
[00:02:01] 还有那一天之后的礼拜三买
[00:02:04] 之后大概就没有什么特别好的买点了
[00:02:07] 就有一点金金账
[00:02:09] 应该算是金金账吧
[00:02:10] 因为我们都想说
[00:02:11] 这个联准会的会议应该会带来一些风雨
[00:02:14] 但没有
[00:02:15] 反而就是真的是偏音啊
[00:02:18] 其实真的偏音对不对
[00:02:19] 因为他有讲到
[00:02:20] 例如说前瞻指引真的取消了
[00:02:22] 点正途他确实也不投票了
[00:02:23] 而且有更多的委员投
[00:02:25] 年底要升息嘛
[00:02:26] 但市场似乎要的就是一个
[00:02:28] 反正不确定性拿掉
[00:02:30] 那时候赵华也有跟大家分享说
[00:02:33] 我觉得接下来可能行情得走一段
[00:02:35] 因为短线上你看不太到什么压力
[00:02:37] 但是走得这么急
[00:02:39] 我自己会有点小担心
[00:02:41] 先来问一下浩梅哥
[00:02:42] 就是从上礼拜到现在今天
[00:02:44] 你在干嘛
[00:02:45] 你主要的布局在干嘛
[00:02:47] 但如果
[00:02:48] 我记得我在那一天
[00:02:50] 就是两个礼拜前的礼拜一
[00:02:52] 我是有去抄底
[00:02:53] 陶宏斯正二的ETF
[00:02:54] 对那时候我记得抄底价格大概在
[00:02:57] 33块以下
[00:02:59] 那今天已经到了42块左右
[00:03:01] 所以短短一段时间你发现到这个指数涨了非常多啦
[00:03:04] 那大家也会觉得说那我已经错过那个绝佳买点
[00:03:08] 现在台股已经快到48000点
[00:03:10] 到底还有没有空间
[00:03:12] 那我觉得这段时间但你可以看到盘面上
[00:03:14] 如果你说资金最大化效率最好的地方在哪
[00:03:18] 除了指数以外你买台今天也不错啊
[00:03:20] 还是你买到所谓涨价相关的题材概念股
[00:03:23] 都是盘面上的重点强势族群
[00:03:26] 不管从记忆体被动元件
[00:03:28] 甚至PCB到细晶元
[00:03:30] 还是到所谓电力电源相关什么
[00:03:32] 功率半导体分离式元件
[00:03:35] 那甚至连到面板IC封测的族群
[00:03:38] 其实这段时间里面这两个礼拜里面
[00:03:41] 很多股票都在创下波段高或历史新高
[00:03:43] 所以这段时间但大家可能会觉得说
[00:03:46] 如果那个时候撈到一些股票
[00:03:48] 我现在可能失误感会比较低一些
[00:03:51] 但已经没有办法到那个时间点了
[00:03:54] 所以我觉得现在要展望的是到底到后面
[00:03:57] 就是说到6月底到7月份
[00:03:59] 台股还没有更高的高点可以做期待
[00:04:02] 我觉得目前来看是乐观的
[00:04:04] 因为像刚刚赵华所说的
[00:04:06] 上个礼拜大家所担心的大魔王
[00:04:08] 联准会的主席华许第一次的一个发表会
[00:04:12] 非常的精短
[00:04:13] 那相关的内容市场也大多数都有所预期
[00:04:17] 那虽然说你看到这个联准会的点证图
[00:04:20] 非常的音派
[00:04:21] 那但是
[00:04:22] 但是这9位投所谓的升息的委员
[00:04:27] 他们的一个共同的理由都是
[00:04:29] 他们现在担心通膨比较严重
[00:04:32] 那通膨比较严重这件事情又被川普人为的压抑下来
[00:04:36] 所以目前为什么这个看起来美股好像没有太大的影响
[00:04:39] 我觉得就是因为毕竟这个中东也进入到和平谈判的协议
[00:04:44] 有60天
[00:04:45] 那60天有没有谈崩我们也不知道
[00:04:47] 但是就像刚刚赵华所说的油价并没有大涨
[00:04:50] 油价从100美元掉到现在80美元左右
[00:04:53] 所以我觉得整个资金面的环境
[00:04:55] 我觉得还是对股市相对有利
[00:04:58] 那第二件事情在于说
[00:04:59] 那现在已经6月22号了
[00:05:01] 上个礼拜美股的私务日结算也拉高结算完了
[00:05:05] 那会不会这礼拜美股就偏这样休息整理
[00:05:08] 但你不要忘记了
[00:05:10] 我记得上个礼拜一我们还跟大家讲说
[00:05:14] 为什么没要和谈
[00:05:15] 是因为川普的80大寿
[00:05:17] 所以有这样的一个生日的世界和平的愿望被实现的感觉
[00:05:22] 那你不要忘记了
