[00:00:00] 欢迎收听赵华语股获在第1124集
[00:00:09] 今天是2026年的6月23号
[00:00:12] 今天的台股终于跌了
[00:00:14] 但也没有非常奇怪
[00:00:16] 因为昨天的台股说实话
[00:00:18] 涨到这个1300 1400多点的时候
[00:00:21] 有那么一点超涨的味道
[00:00:23] 今天有点把超涨的部分给跌回来
[00:00:26] 不过因为如果大家手上比较都是中小新股的话
[00:00:29] 今天的台股是中小新股
[00:00:29] 体感温度就相对比较烂一点
[00:00:32] 尤其今天盘面上的族群性
[00:00:34] 几乎只剩下功率元件跟部分的细光子
[00:00:37] 像大家耳熟难详
[00:00:39] 可能手上也买了不少的被动元件
[00:00:41] 今天是有点团灭的味道
[00:00:43] 光学细晶圆也在叠
[00:00:45] 今天的大牛股大概还是联电表现的最好
[00:00:48] 昨天晚上的ADR联电是涨了14个百分点
[00:00:52] 但今天也因为盘式的关系
[00:00:54] 它就受到了一点压抑
[00:00:55] 而且因为台育店演了大饭场的称盘要脚
[00:00:59] 最后杀尾盘
[00:01:01] 所以中场我们下跌了640点
[00:01:03] 感觉640点还好
[00:01:05] 不过这个640点有带量
[00:01:08] 今天的量在上市的部分有放大到1.6兆
[00:01:12] 而上位的部分是3000多亿
[00:01:14] 加起来是快2兆的量
[00:01:16] 在今天是个下跌盘
[00:01:17] 那下跌加速是远远高于上涨加速
[00:01:20] 所以今天的体感严格来说不好
[00:01:23] 不过呢
[00:01:24] 今天的来宾
[00:01:25] 他看到我的第一句话是说
[00:01:28] 有跌吗
[00:01:28] 跌的没有很多啊
[00:01:30] 因为我们两个其实都知道
[00:01:32] 如果下跌是要给机会
[00:01:33] 我们的信念真的是如此
[00:01:35] 今天有影片版
[00:01:36] 所以我先不啰嗦
[00:01:38] 我先欢迎他出场
[00:01:39] 免得在影片上看到他被晾在旁边
[00:01:41] 今天来的是AI达人蔡明翰
[00:01:44] 赵华
[00:01:45] 观众朋友听众朋友大家好
[00:01:47] 因为刚刚我一看到明翰
[00:01:49] 我就说
[00:01:49] 你今天来的时机很好
[00:01:51] 因为明翰不喜欢在大涨的时候来
[00:01:53] 大涨的时候比较不好讲
[00:01:55] 你知道吗
[00:01:55] 然后他喜欢在大跌的时候来
[00:01:57] 但今天又跌的不够多
[00:01:59] 不过我有提到
[00:02:00] 今天中小星库的体感比较差
[00:02:02] 因为贵满跌了快要三个百分点
[00:02:05] 那因为台积电跌一咪咪
[00:02:06] 所以相较之下
[00:02:08] 你就可以理解
[00:02:08] 我可能你手上的股票很多是
[00:02:10] 今天就忽然跌个五六趴
[00:02:12] 再加上因为昨天啊
[00:02:14] 我有跟明翰讲
[00:02:16] 我觉得昨天是一个很奇妙的气氛
[00:02:18] 昨天我有听到非常多的人
[00:02:21] 跳进去买股票
[00:02:22] 所以今天虽然跌的不算很多
[00:02:24] 甚至连认真回答可能都还不算
[00:02:28] 可是可能有一些人的感受
[00:02:29] 已经变得很不好
[00:02:30] 就是有一点点追在比较高位阶的关系
[00:02:33] 所以这边对明翰来说
[00:02:35] 我们要讲的一件事情是
[00:02:37] 依旧是看好不便
[00:02:38] 因为我们有提到
[00:02:39] 现阶段眼前
[00:02:41] 已经没有什么特别大的利空了
[00:02:43] 就算美衣好像还没有真的敲好
[00:02:45] 你会发现市场很淡啦
[00:02:47] 因为油价没有上来嘛
[00:02:48] 那展望到七月
[00:02:50] 甚至会有陆续的好消息
[00:02:52] 所以今天的回答
[00:02:53] 你会觉得就要赶快买呢
[00:02:56] 还是要有什么警觉呢
[00:02:58] 因为今天是带量的下跌
[00:02:59] 我觉得带量下跌这个东西
[00:03:02] 其实我们在节目也拆解过很多次
[00:03:06] 没错
[00:03:06] 就是说高档
[00:03:08] 考不到你的
[00:03:08] 对啊 高档带量下跌
[00:03:10] 如果回到这个23年
[00:03:13] AI以前
[00:03:14] 确实就代表着这个
[00:03:16] 可能即将反转
[00:03:18] 但是从23年以后
[00:03:19] 我们给大家过很多次的证据
[00:03:22] 每次高档爆量黑K棒
[00:03:25] 本来都是这个主力逃跑的讯号
[00:03:28] 但是这个真的是遮起来
[00:03:31] 跟你讲说过往都这样
[00:03:32] 那后来真的每一次都不超过三天
[00:03:36] 他又创高
[00:03:37] 所以高档黑K棒爆量
[00:03:40] 其实现在都不能
[00:03:42] 从技术面角度去拆解
[00:03:44] 我每一次都说
[00:03:45] 现在的基本面
[00:03:47] 应该说是历史最强性的时间点
[00:03:51] 所以常常讲
[00:03:52] 就是基本面
[00:03:53] 应该说基本面挂帅的情况下
[00:03:55] 你在这个技术面跟筹码面
[00:03:58] 真的稍微看轻一点
[00:03:59] 你不要把这个技术面看得太重
[00:04:02] 不然会导致很大的现象
[00:04:05] 比如说现在高档爆量就要跑
[00:04:08] 跑了之后不到三天
[00:04:09] 他又创高
[00:04:10] 你又得追回来
[00:04:11] 所以技术面的部分
[00:04:13] 我这样看轻一点就好
[00:04:15] 基本面确实是比较重要的关键点
[00:04:18] 那刚刚也提到
[00:04:19] 就是说这段时间能够有杂音的
[00:04:22] 不外乎就是两个
[00:04:23] 一个就是战火的部分
[00:04:25] 另外一个就是联准会
[00:04:27] 就这两个
[00:04:28] 可是我常常讲
[00:04:29] 真的今年不要花时间
[00:04:31] 再关注这两个东西
[00:04:33] 被你讲重一件事
[00:04:34] 就是明翰上次有讲说
[00:04:36] 以后再听到什么
[00:04:37] 因为升息啊
[00:04:38] 什么造成的动乱
[00:04:39] 那就是买
[00:04:39] 结果联准会的会议之后
[00:04:42] 其实市场的反应是
[00:04:43] 不管你讲的是不是因
[00:04:44] 我就觉得事情过了
[00:04:46] 对
[00:04:47] 应该说那个压力很小
[00:04:49] 因为这一次比较特别
[00:04:50] 就是他
[00:04:51] 大家本来在等降息
[00:04:53] 我就跟你讲
[00:04:54] 你也不用等降
[00:04:55] 因为没有降息
[00:04:55] 根本不会怎么样
[00:04:56] 对不对
[00:04:57] 那问题
[00:04:58] 我那时候讲
[00:04:59] 如果升息就不一样了
[00:05:01] 但是这次
[00:05:02] 大家一讲到升息
[00:05:03] 大家就很害怕
[00:05:04] 可是我刚才讲说
[00:05:05] 要记得一个架构
[00:05:07] 升息不是只有这两个
[00:05:09] 那升息
[00:05:10] 它到底是升息
[00:05:11] 是为了应付某些事情
[00:05:13] 还是未来是一个升息的趋势
[00:05:15] 那故事是不一样
[00:05:16] 那你可以看到说
[00:05:18] 就算26年
[00:05:19] 今年就算有机会升息
[00:05:21] 我个人觉得
[00:05:21] 有没有机会升息
[00:05:22] 其实就现在角度
[00:05:24] 几率还很低
[00:05:25] 因为油价不断往下走
[00:05:27] 所以照理讲
[00:05:29] 其实也没有必要一定要升息
[00:05:31] 好 我们就算要升息
[00:05:32] 最多也是升息一码
[00:05:34] 好 那应该这样讲
[00:05:35] 假设今年升息一码
[00:05:37] 后面会怎么看
[00:05:38] 一定是往下走了
[00:05:39] 就是最多往后看
[00:05:41] 不管是今年明年
[00:05:42] 升息最多也是一次
[00:05:44] 中长线的趋势一定是往下
[00:05:46] 所以这一次到底有升或没有升
[00:05:48] 老实讲并没有意义
[00:05:50] 应该说这是一个趋势
[00:05:51] 或者是我们简单角度来讲
[00:05:53] 就是说最近假设AI的动能
[00:05:58] 假设出现了某些问题
[00:05:59] 那你就要去了解
[00:06:01] 到底是趋势到顶了
[00:06:03] 还是说短线的杂音
[00:06:05] 就像我们之前讲的
[00:06:06] 搞不好这个AI在
[00:06:08] 灰达的今天在转换的时候
[00:06:10] 搞不好有可能会delay
[00:06:11] 一delay就会导致
[00:06:13] 台湾的部分可能营收稍微减弱
[00:06:16] 可是如果今天是趋势反转
[00:06:19] 那当然是恐怖
[00:06:20] 问题是如果是短线delay来讲
[00:06:22] 其实后续都还是会走高
[00:06:24] 所以反向而言都是加码机会
[00:06:26] 所以其实在联总会的部分
[00:06:28] 我个人觉得
[00:06:29] 结论就是我真的觉得
[00:06:31] 不需要花太多时间
[00:06:32] 这是我的工作
[00:06:33] 所以我必须要把大家拆解得很详细
[00:06:36] 告诉大家说这个不重要
[00:06:37] 这个重要不重要
[00:06:38] 如果今天要是我真的已经退休
[00:06:41] 我根本不需要帮大家拆解
[00:06:43] 老实讲我自己对我投资来讲
[00:06:44] 我连联总会我连看都不想看
[00:06:46] 因为我觉得那根本真的一点都不重要
[00:06:48] 战火也一点都不重要
