[00:00:00] 欢迎收听
[00:00:30] 可能性应该不高
[00:00:31] 但是如果真的发生了
[00:00:33] 我觉得那个是国家级灾难
[00:00:35] 等一下可以也顺便聊一下
[00:00:37] 因为今天韩国就反弹了
[00:00:38] 所以显见
[00:00:39] 韩国市场目前的共识
[00:00:41] 应该也觉得可能性不高
[00:00:43] 就是所谓的
[00:00:44] 你为实现利益
[00:00:45] 到底要不要被克税这件事情
[00:00:47] 我觉得实现利益被克税
[00:00:49] 就已经大家够崩溃
[00:00:52] 你为实现还要被克税
[00:00:53] 台湾如果发生这个事情
[00:00:55] 不要讲这个
[00:00:56] 我们也会熔断的
[00:00:57] 跌到很夸张的
[00:00:59] 那今天呢
[00:01:01] 中场是下跌了1057点
[00:01:03] 不过我想今天盘中
[00:01:05] 大家的体感温度不会算太差
[00:01:07] 因为今天贵买是收红的
[00:01:09] 也等于是
[00:01:11] 其实今天中小型股的跌幅
[00:01:13] 不像昨天比较重
[00:01:14] 今天中小型股反而表现比较好
[00:01:17] 跌到哪里去呢
[00:01:20] 台积电啦
[00:01:21] 联发科啦
[00:01:22] 台光电啦
[00:01:23] 就是各大领头羊把它扛走了
[00:01:26] 所以今天除非您的持股
[00:01:28] 全部都是这类型的大型全肢股
[00:01:31] 要不然体感温度还可以
[00:01:33] 好 先来欢迎今天的来宾
[00:01:35] 要来好好聊聊
[00:01:36] 因为这两三天
[00:01:37] 其实严格来说
[00:01:39] 没有什么国际性的利空
[00:01:41] 就是一个感觉上是涨多的回吐
[00:01:44] 或是说有点受到像韩国的影响
[00:01:45] 或是美光财报公布前
[00:01:47] 美光的股价震荡影响
[00:01:49] 大概是这样的事情
[00:01:50] 都不是极大的事件
[00:01:52] 那到底回到今天1000点够了没有呢
[00:01:55] 好 先来欢迎他
[00:01:55] 来的是我们行男鼓声
[00:01:58] 温亮哥
[00:01:58] 赵娃好 大家好
[00:02:00] 温亮最近都以东森为家
[00:02:02] 录完下午的节目
[00:02:05] 还会再接
[00:02:05] 就是我们现在晚间七点
[00:02:07] 有个打打的新节目
[00:02:08] 对
[00:02:09] 六月份开始的新节目
[00:02:11] 对 然后录影的时间变很长
[00:02:13] 然后偶尔我看到他在那儿
[00:02:15] 我就觉得也不能浪费人才
[00:02:17] 赶快捞过来讲我们的Podcast
[00:02:19] 昨天今天都跌
[00:02:21] 两天加起来大概跌了1600 700点
[00:02:24] 在一个比较没有事件性
[00:02:27] 利空的情况下
[00:02:28] 或者是你觉得有我们没有发现的
[00:02:30] 利空的情况下
[00:02:31] 这样的回挡幅度
[00:02:33] 这样的一个小修正
[00:02:34] 算是已经满足了吗
[00:02:35] 我觉得真的不用太过担心
[00:02:38] 因为基本上第一个
[00:02:39] 大家也知道这一波充满快的
[00:02:41] 而且一度已经算是面临5万的大关
[00:02:44] 濒临成像
[00:02:45] 对耶
[00:02:45] 那过去其实不管是说在闯2万
[00:02:48] 或拼3万或挑战4万
[00:02:50] 每一个整数大关前
[00:02:52] 往往都会有这种关前的洗盘震荡
[00:02:54] 那实际上大家也清楚
[00:02:56] 因为现在都是在创历史新高
[00:02:58] 每一个阶段上档只要突破之后
[00:03:00] 它都是没有任何真正实质的套牢反压
[00:03:03] 所以这个纯粹只是在一种心理面上
[00:03:05] 大家觉得说
[00:03:05] 逼近这个关卡了
[00:03:07] 是不是有一些涨多的
[00:03:08] 要减买一下卖一下
[00:03:09] 那这个反而是一个好现象
[00:03:11] 因为现在市场呢
[00:03:12] 当然有很多的报道
[00:03:14] 看起来好像蛮热
[00:03:15] 可是我觉得投资人呢
[00:03:16] 现在虽然是热衷股市
[00:03:18] 但是呢
[00:03:19] 真的也没有到呢
[00:03:20] 这个疯狂的思绪
[00:03:22] 大家这种
[00:03:23] 大家盲目的去做追价
[00:03:24] 我觉得并没有
[00:03:25] 所以很明显嘛
[00:03:27] 你看像昨天呢
[00:03:28] 稍微震荡一下之后
[00:03:29] 融资又单日减了百亿
[00:03:31] 那其实在6月份以来呢
[00:03:33] 单日也都出现过
[00:03:34] 前面有两次
[00:03:35] 这个减少百亿
[00:03:36] 后面很快也都回稳了
[00:03:38] 所以其实就有点像是
[00:03:40] 在这个平常
[00:03:41] 有时候可能会有一些呢
[00:03:42] 小小的二级地震
[00:03:43] 三级地震
[00:03:44] 甚至是五感地震
[00:03:45] 那让一些呢
[00:03:46] 这个地壳运作的能量
[00:03:48] 释放一下
[00:03:49] 那这个就不会呢
[00:03:50] 去阴亮出一个
[00:03:51] 毁天灭地的灾难
[00:03:52] 所以第一个来讲
[00:03:53] 我觉得台股呢
[00:03:54] 现在大家是有点怕的
[00:03:56] 可是有点期待
[00:03:57] 这种氛围呢
[00:03:58] 就所谓的一个半信半疑嘛
[00:04:00] 那代表呢
[00:04:01] 就是真正的糕点
[00:04:02] 或者是泡沫还不会出现
[00:04:04] 那当然第二个来看的话
[00:04:05] 我觉得最近当然呢
[00:04:07] 所谓的双高族群
[00:04:09] 是比较怆在旁
[00:04:10] 那种高是指呢
[00:04:11] 就第一个高位阶
[00:04:12] 第二个高本义比
[00:04:13] 那很典型来看
[00:04:15] 你看像昨天美股
[00:04:15] 虽然很多股票都跌
[00:04:17] 不过
[00:04:17] 算是重灾区的板块
[00:04:19] 之应该就光通讯
[00:04:20] 那最近台股的光通讯
[00:04:22] 尤其是
[00:04:22] 比较偏我所谓的老光
[00:04:24] 老光
[00:04:25] 我跟你讲
[00:04:26] 我们在讲光通讯的时候
[00:04:27] 在讲老光通讯
[00:04:28] 我们自己内心都会觉得
[00:04:29] 有点纠结
[00:04:30] 但就是
[00:04:30] 讲所谓第一
[00:04:32] 第一批上去的
[00:04:33] 第一批开始涨的
[00:04:35] 那一些光通讯
[00:04:35] 大家想像上泉啊
[00:04:37] Poloway啊
[00:04:38] 甚或像这个
[00:04:39] 光盛
[00:04:39] 光盛 联雅
[00:04:40] 这些特别高价的
[00:04:42] 然后距离他们之前的高点
[00:04:43] 其实也都蛮明显的修正幅度了
[00:04:45] 没错
[00:04:46] 对 那这个呢
[00:04:47] 就是因为过去
[00:04:47] 大家是按市场信心很强
[00:04:49] 氛围很好的时候
[00:04:50] 他们可以享受这种
[00:04:51] 可能动辄是
[00:04:52] 70倍
[00:04:53] 100倍的本义比
[00:04:54] 但是现在这个高本义比呢
[00:04:56] 就可能会稍微受到一些
[00:04:57] 修正挤压了
[00:04:58] 因为呢
[00:04:59] 毕竟呢
[00:05:00] 这个市场对于年底之前
[00:05:01] 会不会升息
[00:05:03] 升息是一码两码
[00:05:04] 或三码
[00:05:05] 美银都喊出了三码这样的空间
[00:05:07] 对 所以这个
[00:05:07] 有点让市场有点
[00:05:08] 摸不着头绪
[00:05:10] 那通常呢
[00:05:10] 因为只要有预期心理
[00:05:12] 在做反应发酵的时候呢
[00:05:14] 本义比的评价
[00:05:15] 它会先去冲击到股价
[00:05:16] 那这个部分
[00:05:18] 我觉得就是最近
[00:05:19] 股票市场的价格
[00:05:20] 它重新再找它
[00:05:22] 适合的位置
[00:05:23] 好
[00:05:24] 所以确实
[00:05:25] 也等于数不太出来
[00:05:27] 有什么大利空
[00:05:27] 当然唯一的
[00:05:28] 刚刚有讲到
[00:05:29] 美银有突然说出一个
[00:05:31] 年底要升息三码
[00:05:33] 当然以目前搜集到的资讯
[00:05:37] 年底一码
[00:05:38] 是真的有可能性
[00:05:39] 三码还真没有听过
[00:05:41] 所以这件事情
[00:05:42] 姑且先把它放到旁边
[00:05:44] 而且先不要忘记
[00:05:45] 最近的油价
[00:05:46] 并没有什么暴冲
[00:05:47] 通膨有可能在下半年
[00:05:49] 只要油价
[00:05:49] 没有暴冲的情况下
[00:05:51] 是有可能受控的
[00:05:52] 所以三码
[00:05:53] 我个人是觉得
[00:05:54] 不知道从何而来
[00:05:55] 它太违背
[00:05:56] 现况跟所谓的川普意志了
