[00:00:00] 欢迎收听赵华与古惑在第1127集
[00:00:09] 今天是2026年的6月26号星期五了
[00:00:13] 这个礼拜三个字做白宫
[00:00:16] 做白宫
[00:00:18] 今天指数是大跌
[00:00:20] 盘中有跌到大概1800多点
[00:00:22] 中场下跌了1680几点
[00:00:25] 是史上的第三大跌点
[00:00:28] 怎么讲做白宫呢
[00:00:29] 这礼拜一我们是看到史上的高点
[00:00:32] 以现货市场来说是48000多点
[00:00:35] 以期货市场来说是49000多点
[00:00:38] 等于在礼拜一的时候
[00:00:40] 你会觉得5万根本不是什么了不起的
[00:00:43] 是
[00:00:43] 好的
[00:00:44] 今天的收盘呢
[00:00:45] 以现货市场来说
[00:00:46] 已经跌到了44571点了
[00:00:51] 5万跟44000
[00:00:53] 这个感受就差很多
[00:00:55] 那真正的跌点
[00:00:56] 以现货来说大概3800多点
[00:00:59] 期货有将近5000点
[00:01:01] 因为我们有讲旗子之前是一个正价差
[00:01:04] 今天把这个正价差也通通吐回去了
[00:01:06] 也就是今天期货的收盘
[00:01:08] 比现货还要低
[00:01:09] 好听到声音了
[00:01:11] 我们今天有影片版
[00:01:12] 好我们今天是有影片版
[00:01:14] 我先来欢迎星期五
[00:01:16] 我们的固定星期五男孩
[00:01:18] 我们的国家级基金操盘手
[00:01:20] 黄丰凯
[00:01:20] 凯哥
[00:01:21] 早好
[00:01:21] 各位观众听众
[00:01:22] 大家好
[00:01:23] 我记得你上个礼拜是礼拜四来
[00:01:25] 是
[00:01:25] 不是星期五男孩
[00:01:26] 不是
[00:01:26] 但我们也有露营
[00:01:28] 是
[00:01:28] 结果今天的指数已经跌回到上个礼拜一的开盘了
[00:01:33] 没错
[00:01:33] 对
[00:01:33] 正大很大
[00:01:34] 一个A型
[00:01:36] 白做工
[00:01:36] 真的叫白做工
[00:01:37] 是
[00:01:38] 好
[00:01:38] 白做工的情况下
[00:01:40] 我想最近的环境
[00:01:41] 昨天也有比较详细跟大家分享
[00:01:43] 就是升息和收缩资金的这个问题
[00:01:46] 从美元的走势就知道
[00:01:48] 美国真的开始有点担心
[00:01:49] 是不是九月要升所谓的第一码
[00:01:52] 那韩国又有所谓的去杠杆的一些想法
[00:01:55] 台湾呢
[00:01:56] 不晓得大家有没有收到通知
[00:01:57] 就是
[00:01:58] 您的券商有没有让你融资买台积电
[00:02:02] 已经有非常多
[00:02:03] 包括像元大吧
[00:02:04] 已经告诉大家
[00:02:06] 台积电不能用融资
[00:02:07] 那我今天也有收到像期货商
[00:02:10] 也有告诉大家
[00:02:11] 你不能再去申请调高你流畅的部位了
[00:02:13] 这些就是在收缩资金上面
[00:02:16] 已经也有一些政策和对策出来了
[00:02:18] 所以美国
[00:02:20] 韩国
[00:02:20] 台湾
[00:02:21] 现在都有收缩资金
[00:02:23] 我觉得这是这一波后来变成一个
[00:02:25] 有点像是A型反转的一个原因
[00:02:28] 当然就是说
[00:02:29] 其实全球都看到就是
[00:02:31] 全球的资本市场都很热
[00:02:33] 那台湾不用讲
[00:02:35] 我们之前上次有讲过
[00:02:36] 就是说
[00:02:36] 这次跟之前网络泡沫不太一样
[00:02:38] 这次网络泡沫是全世界都在涨
[00:02:40] 然后整个下去
[00:02:41] 可是这次的这个AI泡沫
[00:02:43] 应该讲还没有泡沫啦
[00:02:45] 就只有强几个国家
[00:02:47] 就是美国
[00:02:48] 日本
[00:02:48] 台湾
[00:02:49] 韩国
[00:02:49] 三个国家特别的强
[00:02:51] 那今天早上其实一开盘的时候
[00:02:53] 其实大家有点
[00:02:54] 摸不着头绪
[00:02:56] 就是说
[00:02:56] 怎么好像跌得蛮重的
[00:02:58] 但其实昨天晚上美国的PPI
[00:03:00] 就开了这一枪嘛
[00:03:01] 就告诉你说
[00:03:02] 看起来景气有点过热的现象
[00:03:05] 当然因为还有一个油价助长的原因
[00:03:07] 所以其实现在一个两难的局面
[00:03:09] 就是说
[00:03:10] 到底他9月份会不会
[00:03:11] 真的去做预防性升线的动作
[00:03:13] 现在变成大家有点模拟两可了
[00:03:16] 因为之前很多人都讲铁定不会
[00:03:18] 可是现在大家看起来都说好像会
[00:03:20] 所以这个地方基本上
[00:03:21] 我觉得不管是Wash
[00:03:23] 基本上他们都很难
[00:03:24] 其实川普更难
[00:03:26] 因为他还想要做多其中选举
[00:03:28] 那所以这就造成今天
[00:03:30] 整个亚洲股市
[00:03:31] 一开盘就笼罩了气氛
[00:03:33] 因为今天台股还没开盘
[00:03:34] 日经跟韩国一开盘
[00:03:36] 基本上就是大跌的现象
[00:03:38] 所以那时候我就说
[00:03:39] 今天台股大概不太好
[00:03:41] 可是今天台股其实是确实是比较弱的
[00:03:43] 你仔细看今天日本和韩国
[00:03:44] 其实都有收一个小V
[00:03:46] 他有收一个小角上来
[00:03:48] 可是台湾是扎扎实实的收最低
[00:03:50] 收最低
[00:03:51] 几乎最低
[00:03:52] 对
[00:03:52] 那这有个原因就是因为
[00:03:54] 台湾的散温因为前天都没再怕
[00:03:55] 今天突然有点害怕
[00:03:57] 今天感觉寒风起来
[00:03:58] 感觉昨天这个台风没有走
[00:04:00] 还在台湾的上空笼罩
[00:04:02] 今天就感觉特别的冷
[00:04:04] 尤其是中小谷
[00:04:05] 那我刚刚在跟赵达讲说
[00:04:06] 仔细看贵买的月线已经下弯了
[00:04:09] 那通常贵买月线下弯就不是一件好事情
[00:04:12] 就告诉你说短线那个强势的多头
[00:04:14] 暂时高一个段落
[00:04:16] 那接下来可能就进入个修正的行情
[00:04:18] 那所幸的是
[00:04:19] 不管是日本韩国或台湾的大盘指数
[00:04:22] 目前月线都还在往上走
[00:04:23] 所以我们基本上还是认为
[00:04:25] 它是一个修正
[00:04:26] 所以我们刚才讲说
[00:04:27] 就是白做工了
[00:04:28] 就是上礼拜做多了这一段又要休息
[00:04:31] 可能要等再找下一个机会
[00:04:33] 再重新回来做多
[00:04:34] 那今天盘中其实
[00:04:36] 有一些比较遗憾的
[00:04:37] 就是我们上礼拜推荐的
[00:04:39] 我们讲的族群
[00:04:40] 像矽晶圆像废斯圆圆圆
[00:04:41] 其实在这个礼拜上班
[00:04:43] 其实都还算蛮强的
[00:04:44] 一直到这两天
[00:04:45] 就开始陆续吐回来了
[00:04:47] 但是其实我觉得
[00:04:49] 他们还是趋势还在这里
[00:04:51] 所以不用太担心
[00:04:52] 因为政府摆明了告诉你说
[00:04:55] 你们不要一直往AI去
[00:04:56] 就是说他觉得AI已经涨过头了
[00:04:58] 已经涨多了
[00:04:59] 就是你让他稍微休息一下
[00:05:01] 其实他鼓励大家把资金往
[00:05:03] 非AI的地方去
[00:05:04] 只是市场在那边读懂
[00:05:06] 不管是资本市场的表态的意思
[00:05:11] 或者是政府意图的作为
[00:05:14] 因为你看我们刚才讲说
[00:05:16] 连台阶的融资都被限缩了
[00:05:18] 被限缩
[00:05:19] 那大家讲说
[00:05:20] 为什么投信就可以买到25%台积电
[00:05:22] 政府为什么不帮散户
[00:05:24] 把融资比例再开高一点
[00:05:26] 但是因为他也会害怕
[00:05:27] 因为现在大家都在讲说
[00:05:28] 什么六代同堂
[00:05:30] 五代同堂
[00:05:31] 已经变六代
[00:05:32] 对
[00:05:32] 然后连很多企业组都一直在高喊说
[00:05:34] 各位员工们你们不要一直在做股票
[00:05:38] 你们要认真上班
[00:05:39] 包括四个人就一个人
[00:05:41] 上班的时候是开着手机在看股票
[00:05:44] 这怎么统计的
[00:05:45] 我有怀疑
[00:05:45] 我是不知道有没有这么明显
[00:05:48] 但是确实我在某一家电台的时候
[00:05:50] 就看到很多同仁都在看股票
[00:05:52] 我们也是
[00:05:53] 很多同仁
[00:05:53] 不太一样
[00:05:54] 因为我们是财经台
[00:05:55] 没错
[00:05:56] 看股票是正常的
[00:05:57] 我们是工作
[00:05:57] 可是他们不是财经台
[00:05:58] 怎么很多同仁都在看股票
[00:06:00] 这根本确实股票已经
[00:06:02] 再再的影响到市场的一些状况
[00:06:05] 我正在想说
[00:06:06] 只要你有赚到月薪
[00:06:07] 就可能考虑要地磁城
[00:06:09] 不得了
[00:06:10] 你才赚一个月薪就要地磁城
[00:06:12] 像这几天这样
[00:06:13] 一下兔
[00:06:13] 兔掉不是一个月薪
[00:06:15] 可能是半年薪都没有了
[00:06:17] 所以我觉得接下来指数
[00:06:18] 我觉得还是可以观察一下
[00:06:20] 观察什么
[00:06:21] 观察今天相对抗跌的族群
[00:06:23] 今天相对比较弱的
[00:06:26] 你可能要先避开来了
[00:06:27] 我们等一下会再跟
[00:06:28] 赵华座进一步的聊
[00:06:30] 基本上目前看起来
[00:06:32] 大盘的一个
[00:06:33] 站稳的位置在43,800
[00:06:36] 现在离不远了
[00:06:37] 所以它接下来可能还会下去
[00:06:39] 可能会破
[00:06:39] 但它开始站稳43,800
[00:06:41] 大概这行情就进入一个
[00:06:43] 重新要重新启动的一个格局
[00:06:45] 那期货期指大概在43,600
[00:06:48] 所以大家稍微可以稍微观察一下
[00:06:50] 这些位置什么时候可以直稳
[00:06:52] 那今天我刚刚讲
[00:06:54] 今天盘中里面
[00:06:55] 其实窄板也算很强
[00:06:56] 为什么窄板很强
[00:06:57] 因为窄板其实在这一两周
[00:06:59] 都在密集的跟客户讲说
[00:07:01] 要涨报价
[00:07:03] 涨报价
[00:07:04] 包括像南电啊
[00:07:06] 景硕啊
[00:07:06] 其他客户讲说要调涨报价
[00:07:08] 那涨幅分别从5%到15%都有
[00:07:11] 所以你就看看会怎么最近特别的强
[00:07:13] 其实因为还是那个概念就是
[00:07:15] 涨价题材
[00:07:17] 我如果没记得到昨天旅电容也是大涨的
[00:07:19] 昨天旅电容说他要涨价
[00:07:21] 所以昨天立容店冲涨停嘛
[00:07:22] 但今天就
[00:07:23] 这个涨价题材就一下子而已
[00:07:25] 就没有办法刺激很久
