[00:00:00] 欢迎收听
[00:00:06] 赵华与古惑在第1128集
[00:00:09] 今天是2026年的6月29号
[00:00:12] 也等于我们的上半年
[00:00:14] 就剩下今天跟明天两个交易日了
[00:00:17] 那大家也要为自己的操作
[00:00:19] 可能缴出一份半年报了
[00:00:22] 那最后这几个交易日不好受啊
[00:00:24] 不好受啊
[00:00:25] 虽然现在指数你说它的位置呢
[00:00:27] 也不能说什么低到哪里去
[00:00:29] 像今天收44999.9
[00:00:32] 到底是怎样啦
[00:00:33] 其实就是45000
[00:00:34] 如果45000点
[00:00:36] 你说45000点是一个很低的位阶吗
[00:00:38] 可能也不至于
[00:00:39] 但是正因为在上一个礼拜一
[00:00:42] 一路爆冲
[00:00:43] 冲到48000多点
[00:00:44] 甚至期货盘有到49000多点的情况下
[00:00:47] 感受就会有一点点凉
[00:00:49] 对不对
[00:00:49] 因为上个礼拜变成2345都在跌
[00:00:52] 那今天是一个反弹盘
[00:00:54] 不过今天的反弹
[00:00:55] 恐怕体感温度不能算太好
[00:00:58] 上涨加速是大于下跌加速的
[00:01:01] 可是为什么不太好呢
[00:01:03] 有一种说不上来的感觉
[00:01:05] 第一是今天上涨的
[00:01:06] 或说涨幅比较大的
[00:01:08] 很多是比较冷门的公司
[00:01:10] 包括说像军工
[00:01:12] 军工去过来接棒
[00:01:13] 可是我想军工你不会让大家觉得
[00:01:15] 我有军工我赚好多钱
[00:01:17] 那今天有部分的设备是不错的
[00:01:20] 那今天甚至有像太阳能的厂商
[00:01:22] 有掌听办的
[00:01:23] 大家都不是像上个礼拜或是之前一段时间
[00:01:27] 盘面上的主流不对
[00:01:29] 例如主被动元件
[00:01:30] 今天其实是比较参差不齐
[00:01:32] 大部分是下跌的
[00:01:34] 那像CPU有这个康宁
[00:01:36] 有新的玻璃桥接技术发展
[00:01:38] 似乎会达到别人的生意
[00:01:40] 所以今天CPU的状况也不好
[00:01:42] 就是大家喜欢的热门族群
[00:01:44] 在今天反而表现是比较普通一点的
[00:01:46] 这也是我说为什么体感温度
[00:01:48] 虽然今天是一个反弹盘
[00:01:50] 可是并没有到非常理想的状态
[00:01:52] 甚至观察听众朋友或观众朋友
[00:01:55] 身边朋友的感受
[00:01:57] 这一波的下跌
[00:01:58] 大家的压力变大咯
[00:02:02] 压力变大咯
[00:02:03] 我先来欢迎今天的来宾
[00:02:04] 我们一起来讨论
[00:02:05] 为什么反而到这个位阶
[00:02:08] 比起上一次的修正
[00:02:09] 大家心里的压力比较大
[00:02:11] 以及该如何解压
[00:02:12] 来欢迎他
[00:02:13] 今天是题材猎人
[00:02:15] 汉伟哥
[00:02:16] 大家好
[00:02:16] 各位听众朋友大家好
[00:02:17] 好
[00:02:18] 那我们先来讲一下
[00:02:20] 就是为什么今天是反弹盘
[00:02:22] 可是体感却感受不是那么棒
[00:02:25] 对最简单去看
[00:02:26] 你看今天的大盘指数
[00:02:28] 碰到月线就压回来
[00:02:29] 对就压下来
[00:02:30] 所以大家会觉得
[00:02:31] 接下来月线要下弯了
[00:02:32] 从技术线形来看比较偏弱
[00:02:34] 那今天贵买指数
[00:02:35] 更是开高之后
[00:02:36] 就尾盘是翻跌
[00:02:37] 所以中小型股基本上来讲
[00:02:39] 今天大部分都是开高走低
[00:02:42] 黑K棒的加速也比较多
[00:02:44] 所以说你今天会发现到
[00:02:45] 虽然说整个涨的加速
[00:02:47] 比下的加速多很多
[00:02:49] 但是整理上来看
[00:02:50] 涨的股票也大部分
[00:02:51] 都是大家手上没有的
[00:02:53] 或说一些低价股票
[00:02:54] 或说一些之前
[00:02:55] 没有涨到的股票
[00:02:57] 所以简单去讲
[00:02:58] 今天盘面上
[00:02:59] 虽然整个大盘
[00:03:00] 是反弹了400多点
[00:03:01] 盘中涨点大概快要900点
[00:03:03] 但大家的体感温度
[00:03:04] 会觉得说怎么都没有涨到我手上的股票
[00:03:08] 或者是说这盘面上涨的股票
[00:03:10] 好像都不是主流的股票
[00:03:12] 所以这感觉上
[00:03:13] 但会让大家觉得
[00:03:14] 好像差了那么一点点反弹的
[00:03:18] 这种庆祝的一个感觉
[00:03:19] 所以今天盘面上
[00:03:20] 大家自然可以看到
[00:03:21] 你说全主股里面有没有涨
[00:03:23] 有台达电视大幅度的反弹
[00:03:25] 反弹
[00:03:25] 对
[00:03:26] 但是它就是跌深的反弹
[00:03:27] 它跌得有够深
[00:03:29] 深到我都会觉得
[00:03:30] 很多人会说
[00:03:31] 这好啊
[00:03:32] 你走这交易会不会减
[00:03:33] 我都有跟他讲说
[00:03:35] 我觉得我有可能会减一点
[00:03:36] 但是我觉得不能乱减
[00:03:39] 还有就是你减了
[00:03:40] 要有跟他长期抗战的一点点准备
[00:03:42] 可是你说是不是台达电就完蛋
[00:03:44] 我倒不觉得
[00:03:45] 订单延迟这种事情
[00:03:47] 就不是没有单
[00:03:48] 只是延迟
[00:03:48] 好
[00:03:49] 今天反弹
[00:03:50] 其实今天反弹也留上一些
[00:03:51] 对啊
[00:03:52] 所以就代表说
[00:03:53] 因为它整个一个空方的结构
[00:03:55] 虽然说这样讲
[00:03:56] 好像台达电会很弱
[00:03:58] 但我觉得其实整个
[00:03:59] 从现行来看
[00:04:00] 它是跌破了警线的一个支撑
[00:04:01] 所以目前来看
[00:04:03] 是法人在做停损
[00:04:04] 所以赵华刚刚讲的也没错
[00:04:06] 你说这边你要去接台达电
[00:04:08] 会不会未来
[00:04:09] 你报长一段时间会有赚钱
[00:04:11] 我认为机会很大
[00:04:12] 但这个长时间多久
[00:04:14] 是大家很难去翻转
[00:04:16] 我们没人敢讲
[00:04:16] 搞不好就运转
[00:04:17] 但是那个是一种侥幸的想法
[00:04:19] 对
[00:04:19] 所以大部分来讲
[00:04:20] 既然破线警线也破的话
[00:04:22] 那现阶段
[00:04:23] 好像它本益比又比较偏高
[00:04:25] 所以修正的卖压
[00:04:26] 也会让大家体感温度上面觉得说
[00:04:28] 你看今天台股有涨
[00:04:30] 但是涨股票
[00:04:31] 好像都是这种跌升
[00:04:32] 反弹的股票
[00:04:33] 在带动上来的
[00:04:35] 所以我觉得
[00:04:36] 以这样的一个架构上来讲
[00:04:38] 先跟大家讲今天的盘
[00:04:39] 为什么今天尾盘是压下来的
[00:04:41] 因为今天尾盘
[00:04:42] 是所谓的赴台期的结算
[00:04:43] 所以今天指数是收在
[00:04:46] 44999.9
[00:04:48] 对
[00:04:49] 但是如果大家去看
[00:04:50] 台子期的期货收盘
[00:04:53] 是收在45550点
[00:04:56] 所以正价差又拉到到550点
[00:04:59] 那当然大家会觉得说
[00:05:00] 那这样情况
[00:05:01] 可能外置空单会不会又再增加了
[00:05:03] 但我觉得
[00:05:03] 最少以今天盘面上的架构上来讲
[00:05:06] 我觉得比较偏向就是
[00:05:07] 指数的部分尾盘压低
[00:05:10] 因为赴台要压低
[00:05:11] 结算的一个关系
[00:05:12] 那台子期尾盘的上涨
[00:05:14] 代表是它反映的是
[00:05:16] 今天往美股
[00:05:16] 有可能会出现比较向上的反弹
[00:05:19] 那也就代表说
[00:05:20] 其实明天台股
[00:05:21] 又是所谓的6月30号
[00:05:23] 除了我们要检讨
[00:05:24] 我们自己手上的绩效以外
[00:05:26] 大家也会去看
[00:05:27] 投信跟集团做账的绩效
[00:05:30] 所以明天我觉得
[00:05:32] 对台股来讲
[00:05:32] 应该有机会看到
[00:05:34] 所谓的大型股跟壮小型股
[00:05:35] 会出现比较明显的反弹
[00:05:37] 因为投信也想要做账嘛
[00:05:39] 那集团也想要美化
[00:05:41] 自己账上的一些
[00:05:42] 个股的一个情况
