[00:00:00] 欢迎收听
[00:00:06] 赵华与古惑仔第1130集
[00:00:09] 今天是2026年的7月1号
[00:00:12] 下半年的第一天来咯
[00:00:14] 那下半年的第一天是一个开门红
[00:00:17] 今天中场上涨了893点
[00:00:20] 当然是有点开蛮高的
[00:00:22] 慢慢的有一点点降下来
[00:00:24] 开的时候有超过1000点的涨势
[00:00:26] 真的叫复制贴上耶
[00:00:29] 昨天也有讲
[00:00:31] 这一次又像上一次
[00:00:32] 跌破月线一两天之后
[00:00:35] 站上来随即反攻
[00:00:36] 刚反攻的前两天也都没有量
[00:00:39] 今天的量又有在放大一咪咪
[00:00:41] 来到1.3兆的上市量
[00:00:43] 好 应该也有人想关心赵华了
[00:00:46] 赵华您的副顶关
[00:00:47] 卖飞掌停第二天
[00:00:49] 没有关系 还有一半吗
[00:00:51] 还有就是回暖了
[00:00:53] 所以所有的部位都有可能跟着一起回暖
[00:00:56] 不过今天的体感温度跟昨天比起来
[00:00:58] 今天有略差异咪咪
[00:01:00] 昨天因为杀台积电尾盘
[00:01:02] 但中小股贵买的状况非常的好
[00:01:05] 今天是拉了一下台积电尾盘
[00:01:07] 所以反而有蛮多中小股
[00:01:09] 开高走低
[00:01:10] 甚至在尾盘是翻黑的
[00:01:11] 所以如果您手上的股票刚好是尾盘翻黑
[00:01:14] 也许今天感受不到大涨进千点的感受
[00:01:18] 不过上半年过去了
[00:01:20] 我也收到蛮多人的讯息
[00:01:22] 有很感谢的 有很满意的
[00:01:24] 也有很焦虑的
[00:01:26] 等一下我们再就这种心理层面的状况
[00:01:29] 来跟大家做分享
[00:01:31] 我先来欢迎今天的来宾
[00:01:33] 今天来宾是一个逻辑很好
[00:01:34] 很细心的人
[00:01:36] 为什么讲到很细心
[00:01:37] 等一下来跟大家讲
[00:01:38] 今天来的是寻男鼓神
[00:01:40] 微良
[00:01:41] 赵华好 大家好
[00:01:42] 为什么很细心
[00:01:43] 因为我们今天有多一位小编在旁边
[00:01:46] 就是他们要做一些工作上的交接
[00:01:48] 那我就问了一下
[00:01:49] 因为原本的小编非常的细心
[00:01:51] 就是我的古货仔交给他
[00:01:53] 一点烦恼都没有就对了
[00:01:55] 所以我就问说
[00:01:57] 那新来的小编细心吗
[00:01:59] 小编说他细心
[00:02:00] 我就说
[00:02:01] 因为本人赵华射手座
[00:02:03] 大家知道大喇喇
[00:02:04] 是一个没有很细心的人
[00:02:05] 我想有人回答细心
[00:02:07] 就好像敲中我的心
[00:02:08] 你知道吗
[00:02:09] 我就问了微良
[00:02:10] 微良你细心吗
[00:02:11] 微良说
[00:02:12] 非常细心
[00:02:14] 又重重再敲一次你的心
[00:02:16] 我就想说
[00:02:17] 幸好我今天没有什么改变发型
[00:02:19] 不然就来考成微良
[00:02:20] 上次达人秀的制作人
[00:02:23] 揽了新发色
[00:02:24] 有没有
[00:02:24] 我马上就说
[00:02:25] 我有听到
[00:02:26] 我跟你讲
[00:02:27] 上次我的制作人
[00:02:28] 揽了一个新的发色
[00:02:30] 其实我有看到
[00:02:31] 可是因为整天很忙
[00:02:32] 你不会特别想去赞美人家
[00:02:34] 就微良就赞美了
[00:02:35] 对方说你换的新发色很漂亮
[00:02:38] 然后制作人几乎要含泪的说
[00:02:40] 一整天只有你看到
[00:02:42] 好不准
[00:02:44] 我还没有考他
[00:02:45] 好啦我们先回到这个盘面上面
[00:02:49] 我俩跟我讲说
[00:02:50] 假如我今天跟他约了一个明年的约
[00:02:53] 这中间即使过了三百天
[00:02:55] 我都不用提醒他
[00:02:57] 他绝对不会失约
[00:02:58] 所以我等一下要跟他约在某年某月某日的某一天的某个电影院前面
[00:03:04] 来试试看
[00:03:06] 好先来讲今天盘式
[00:03:08] 今天的盘式
[00:03:09] 其实最高点有涨超过一千点以上
[00:03:12] 真的是跟上次回到月线后连续喷涨四天
[00:03:17] 非常的类似
[00:03:17] 好像
[00:03:18] 对
[00:03:18] 可是大家也会有一点余悸有存
[00:03:20] 因为上次涨到四万八千点之后
[00:03:22] 就是连叠四天
[00:03:24] 这一次会一样吗
[00:03:27] 例如说涨到第四天
[00:03:28] 我们就要提高警戒这样
[00:03:29] 其实当然半开玩笑啦
[00:03:31] 行情呢
[00:03:32] 当然会有一些类似的走法
[00:03:34] 但是真的很难完全复制贴上
[00:03:36] 我想这一次呢
[00:03:37] 大概根本上有个很大的不同是
[00:03:39] 台积电要来了
[00:03:40] 季度的法说会要来了
[00:03:43] 那当然这个时候呢
[00:03:44] 有台积电来安指数来稳大盘
[00:03:47] 我觉得呢
[00:03:48] 整个行情呢
[00:03:49] 是不至于说在这个时候
[00:03:50] 出现太大的乱流
[00:03:52] 只是说呢
[00:03:53] 族群真的轮动非常快速
[00:03:56] 刚结束了上半年
[00:03:58] 我稍微呢
[00:03:59] 去抓了一下
[00:04:00] 算了一下发现
[00:04:01] 从每个月份为单位来看
[00:04:04] 一月到六月
[00:04:05] 基本上每个月的主流族群
[00:04:07] 可以说都不一样
[00:04:09] 比方说可能一月二月的时候
[00:04:11] PCB载版很强
[00:04:13] 那到了可能三月四月的话
[00:04:15] 类似像CPU光通讯
[00:04:16] 曾经呢
[00:04:17] 是成为盘面的当红炸紫机
[00:04:19] 那五月六月呢
[00:04:21] 又看到有记忆体
[00:04:22] 然后很明显的被动元件
[00:04:24] 是这两个月
[00:04:25] 大概最火热的族群
[00:04:26] 所以大致上呢
[00:04:28] 其实我觉得
[00:04:29] 整个AI是一个大方向
[00:04:31] 那当然大家也都认同
[00:04:32] 这个趋势会让呢
[00:04:34] 指数高还有更高
[00:04:35] 没有最高只有更高
[00:04:37] 但是呢
[00:04:37] 其实族群在轮动的时候呢
[00:04:40] 那说实在
