[00:00:00] 欢迎收听
[00:00:06] 《造华语古破宅》第1116集
[00:00:09] 今天是2026年的6月10号
[00:00:12] 从礼拜一我决定
[00:00:13] 把这个古破宅的Podcast
[00:00:15] 不但是有空中跟大家见面的声音
[00:00:19] 还包括了有录制影像
[00:00:22] 之后我就觉得
[00:00:23] 我到底这个人怎么回事
[00:00:24] 我什么毛病吗
[00:00:25] 因为加一个录影
[00:00:27] 大家觉得说
[00:00:27] 可能是同样的录音时间
[00:00:29] 在做嘛
[00:00:30] 可是我就很多东西
[00:00:31] 就要收敛啊
[00:00:33] 对不对
[00:00:33] 不能抖角啊
[00:00:34] 不能这个闪神啊
[00:00:37] 包括今天的来宾
[00:00:38] 他也有同样的感觉
[00:00:40] 没有关系
[00:00:41] 我们先来看一下
[00:00:42] 这三天的盘式
[00:00:43] 刚刚好就是非常刺激
[00:00:44] 非常精彩
[00:00:45] 我觉得刚好也呼应到
[00:00:46] 为什么礼拜一
[00:00:47] 我会想要做影片
[00:00:48] 到今天还是继续的
[00:00:50] 有做录影
[00:00:51] 不过今天一样没有直播
[00:00:53] 今天也是直接会
[00:00:54] 影片的上架
[00:00:55] 但是Podcast的部分
[00:00:56] 会比较早
[00:00:58] 让空中的朋友
[00:00:59] 先收听到
[00:01:00] 尤其是通勤啦
[00:01:01] 工作啦
[00:01:02] 或者是
[00:01:02] 刚好是在做家事之类的
[00:01:04] 不方便看影片的
[00:01:05] 我想还是听Podcast
[00:01:06] 会比较方便
[00:01:07] 喜欢觉得有温度的
[00:01:09] 很多人说看到影片
[00:01:10] 觉得有温度
[00:01:11] 那就欢迎来
[00:01:13] 我目前把这个影片
[00:01:14] 都放在
[00:01:15] 赵华艾伦说的
[00:01:16] YouTube频道
[00:01:17] 这个频道里面的内容
[00:01:19] 比较像是
[00:01:20] 我自己
[00:01:21] 比较怎么样
[00:01:22] 发挥比较多
[00:01:24] 然后比较有
[00:01:25] 自己的意见
[00:01:26] 然后自己的观点
[00:01:28] 然后会压榨
[00:01:29] 我们可爱的来宾
[00:01:30] 今天的盘式是下跌的
[00:01:34] 这三天不晓得
[00:01:35] 大家的人性
[00:01:35] 有没有受到考验
[00:01:36] 第一天
[00:01:37] 好多人说
[00:01:38] 这话我绝对不够啊
[00:01:39] 我绝对不够
[00:01:40] 所以没有想捡啊
[00:01:41] 没有觉得
[00:01:42] 真的跌得很惨痛啊
[00:01:44] 那昨天呢
[00:01:45] 昨天突然大涨
[00:01:46] 大家有点傻眼
[00:01:47] 哎呀早知道
[00:01:48] 礼拜一就应该捡啊
[00:01:49] 昨天怎么会
[00:01:50] 大涨成这样呢
[00:01:52] 但今天呢
[00:01:53] 一开盘觉得哇台股
[00:01:55] 世界无敌强
[00:01:56] 觉得应该没事
[00:01:57] 因为昨天的夜盘
[00:01:58] 有下烧到2700点
[00:02:00] 非常的惊人
[00:02:01] 又是台子期夜盘
[00:02:02] 出现这样的状况
[00:02:03] 但今天
[00:02:04] 越烧越低的时候
[00:02:05] 我不确定
[00:02:06] 大家有没有觉得想捡
[00:02:07] 但我必须承认
[00:02:08] 我一早就有发文说
[00:02:09] 我今天其实
[00:02:10] 没有动作的原因是
[00:02:12] 礼拜一
[00:02:12] 烧到低点有捡嘛
[00:02:14] 那礼拜二大涨的时候
[00:02:15] 因为名牌
[00:02:16] 就变得满天飞啊
[00:02:17] 信心回来了
[00:02:18] 我就买了一些个股
[00:02:19] 那个个股
[00:02:20] 今天也有戏剧性的表现
[00:02:21] 例如过去
[00:02:22] 好
[00:02:23] 然后呢
[00:02:23] 那今天
[00:02:24] 今天说实话
[00:02:25] 你一开盘
[00:02:26] 你没有便宜减
[00:02:27] 然后跌下去的时候
[00:02:29] 你又没有跌到
[00:02:30] 比礼拜一更低
[00:02:31] 所以我今天几乎就是
