[00:00:00] 欢迎收听
[00:00:30] 这代表什么呢
[00:00:32] 代表这个礼拜上下呢
[00:00:34] 就是开盘到收盘
[00:00:36] 事实上我们历见的是一个上涨112点的行情
[00:00:40] 上涨112点可是体感温度超级烂
[00:00:43] 然后很多人看到自己的库存会发现
[00:00:45] 怎么搞的一个礼拜有的库存
[00:00:47] 消失了十几二十%的获利
[00:00:49] 不过我自己是看
[00:00:51] 因为大家知道我昨天有跟大家分享
[00:00:53] 我把信仓店和国具卖了
[00:00:56] 所以大家如果看到今天早上期货
[00:00:58] 8点45分的开盘
[00:00:59] 就知道赵豪在干嘛
[00:01:00] 啊卖飞了在尖叫
[00:01:02] 卖飞了
[00:01:04] 尤其信仓店今天几乎是从头锁到尾
[00:01:07] 没有什么机会再把它买回来
[00:01:09] 但没关系
[00:01:10] 因为昨天跟大家分享的就是一个
[00:01:12] 减压的概念
[00:01:14] 减压的概念
[00:01:15] 那刚好昨天盘中也有减了一些ETF
[00:01:17] 所以呢也不算是失落太大
[00:01:20] 那如果把我获利了结的部分加回来
[00:01:23] 事实上这个礼拜
[00:01:24] 我的损益确实没有什么太大的变化
[00:01:27] 就是被吓到洗出去了两档股票
[00:01:30] 国具跟信仓店
[00:01:31] 好那事情结束了吗
[00:01:34] 事情结束了吗
[00:01:35] 而且现在影响盘面的东西
[00:01:36] 你会觉得有一点小荒谬
[00:01:38] 例如说今天大涨是因为又在讲
[00:01:41] 跟伊朗的战争要很快的和平
[00:01:43] 听腻了吧
[00:01:45] 对不对
[00:01:45] 好今天有影片版
[00:01:47] 今天有影片版
[00:01:48] 所以大家如果记得要看影片的话
[00:01:50] 到这个赵华艾伦说的YouTube频道
[00:01:53] 那今天的来宾很特别
[00:01:54] 今天的星期五男孩
[00:01:56] 因为以前有固定的人
[00:01:57] 以前是黄峰凯凯哥
[00:01:59] 今天不是
[00:02:00] 今天呢是一个很特别的人
[00:02:02] 是这个要叫你金玉峰投顾的老板吗
[00:02:06] 我是一个分析师
[00:02:08] 好是知名的分析师
[00:02:11] 非常受到年轻人的欢迎
[00:02:13] 也号称是最年轻的投顾分析师
[00:02:16] 投顾的董事长
[00:02:17] 这个雷老板
[00:02:19] 听众朋友大家好
[00:02:20] 赵华好
[00:02:21] 雷老板在IG上面真的非常火药
[00:02:23] 对有一次呢
[00:02:24] 因为我想要约雷老板来上理财导人秀
[00:02:27] 我就搜寻一下雷老板
[00:02:28] 然后你就完了
[00:02:29] 你们也可以试着搜寻看看
[00:02:30] 你就完了
[00:02:31] 你的IG的推荐会充满了
[00:02:34] 雷老板的各种影片
[00:02:35] 街坊的啦
[00:02:36] 展场的啦
[00:02:38] 而且会出现非常多个雷老板
[00:02:41] 从早到晚会关心你的持股
[00:02:43] 对你只要加了我的IG之后
[00:02:45] 大概会同时有十几个雷老板分身
[00:02:47] 开始关心你
[00:02:48] 诈骗太多就对了
[00:02:49] 对而且呢
[00:02:50] 他们还会跟你说
[00:02:50] 什么股票回答太多了
[00:02:52] 差不多可以低接了
[00:02:53] 对
[00:02:54] 像最近会有很多的雷老板关心你说
[00:02:56] 诶群赚回到四十几块了
[00:02:57] 是不错的位置可以低接
[00:02:58] 那代表你的分身
[00:03:00] 或是你的诈骗蛮专业的啊
[00:03:02] 我觉得是很专业的诈骗
[00:03:02] 就是搞不好还有在follow你
[00:03:04] 真的在讲的事情
[00:03:05] 他们都知道我的日常作息
[00:03:06] 包括我出国
[00:03:07] 我现在在西班牙
[00:03:08] 还是在法国的这个
[00:03:09] 哪一个咖啡厅
[00:03:11] 他们都会知道
[00:03:11] 因为只要我有pollow
[00:03:12] 他们都会追踪到
[00:03:13] 对然后
[00:03:14] 而且我的个人的IG
[00:03:16] 已经是锁起来的状况下
[00:03:17] 所以他们很早很早
[00:03:18] 就已经入侵好了
[00:03:19] 所以我觉得这是一个
[00:03:20] 蛮可怕的事件
[00:03:21] 哇塞
[00:03:22] 好这个深受诈骗所害
[00:03:24] 但是因为你的IG
[00:03:26] 现在人数多少啊
[00:03:27] 有十几万
[00:03:27] 十三万多
[00:03:28] 十三万的追踪人数
[00:03:30] 所以应该是蛮容易
[00:03:31] 分辨的出来
[00:03:32] 今天因为老板平常是台北
[00:03:34] 台中两地跑
[00:03:35] 所以要约到他并不是很容易
[00:03:37] 今天特别来聊一下
[00:03:39] 因为刚好他从欧洲
[00:03:40] 回到台湾的这一周
[00:03:42] 就是我们惊涛骇浪的一周
[00:03:44] 可是这一周
[00:03:45] 天天都有不一样的想法
[00:03:46] 像礼拜一就非常多的听众
[00:03:48] 跟我说
[00:03:49] 觉得跌得不够啊
[00:03:50] 还好啊
[00:03:50] 不是我很恐怖吗
[00:03:51] 还怎么样的
[00:03:52] 礼拜二就觉得没事啦
[00:03:54] 而且那天融资
[00:03:55] 还大增了150亿
[00:03:56] 对直接增了八成回来
[00:03:58] 对
[00:03:58] 然后昨天大家都觉得
[00:04:00] 应该有杀融资吧
[00:04:01] 因为昨天盘中
[00:04:02] 跌了一千多点
[00:04:03] 昨天整体融资是小真的
[00:04:06] 所以现在的
[00:04:08] 到底是散户朋友很聪明
[00:04:10] 还是融资很聪明
[00:04:11] 对不对
[00:04:12] 老板对于这一周的
[00:04:13] 惊涛骇浪
[00:04:14] 你做了什么样的观察跟想法
[00:04:16] 跟你有没有像我一样
[00:04:17] 把股票卖飞了
[00:04:18] 如果说要从这一段以来
[00:04:22] 要卖飞股票是常有的事
[00:04:23] 我觉得大家再先
[00:04:24] 不用去想这种事情
[00:04:25] 因为在大多头的状况下
[00:04:26] 你怎么回头看都是卖飞
[00:04:28] 对
[00:04:28] 你只要有换过股票的话
[00:04:29] 那我觉得反而是我那时候
[00:04:31] 上个周末一下飞机之后
[00:04:33] 我发现哇
[00:04:34] 大盘怎么夜盘跌了四千多点
[00:04:37] 对
[00:04:37] 那那时候就会觉得
[00:04:38] 有点奇怪
[00:04:39] 因为它跌到已经触碰跌停了
[00:04:41] 对
[00:04:41] 那这时候
[00:04:43] 周末的时候
[00:04:44] 我相信各位听众
[00:04:45] 一定是一片恐慌
[00:04:47] 对
[00:04:47] 关税什么又不会来
[00:04:48] 疫情会不会重演
[00:04:50] 可是那时候我就跟
[00:04:51] 我的小编还是说
[00:04:53] 我们就在
[00:04:53] 那个周末的时候
[00:04:54] 发一则这个
[00:04:55] 安抚人心的话
[00:04:58] 鸡汤文
[00:04:59] 对
[00:04:59] 我就跟他们说
[00:05:01] 其实你思考一件事情
[00:05:02] 就是说
[00:05:03] 我们这次还没有遇到任何事件
[00:05:04] 就是上礼拜说是飞农事件
[00:05:06] 他们那时候
[00:05:07] 其实就是隐约担心会生息
[00:05:09] 因为飞农太好
[00:05:10] 就业太好
[00:05:11] 还有就是博通
[00:05:12] 就又怪到博通说
[00:05:13] 你未来展望不够积极乐观
[00:05:15] 但是其实在上周之前
[00:05:17] 我已经先提醒大家说
[00:05:19] 就是大盘离际线
[00:05:20] 已经20%左右
[00:05:21] 对
[00:05:22] 乖离率
[00:05:22] 对
[00:05:23] 那我一直在强调说
[00:05:24] 通常你只要来到15%以上的话
[00:05:26] 其实一定会有一个大修正
[00:05:28] 那这个大修正会接近到
[00:05:29] 回到季线大概离10%左右
[00:05:32] 其实这几天一直就是
[00:05:34] 刚好在离季线10%到11%左右
[00:05:36] 去做一个震荡
[00:05:36] 那时候我们就一直提议房
[00:05:39] 所以在上礼拜的时候
[00:05:40] 我们已经
[00:05:41] 比如说我们个人在
[00:05:42] 在跟粉丝们建议操作的时候
[00:05:44] 我们就有先降到7成了
[00:05:45] 因为为什么
[00:05:46] 因为它大盘
[00:05:47] 大家不知道我们的体感
[00:05:49] 就是说在上礼拜的时候
[00:05:50] 你会发现大盘在涨
[00:05:51] 可是呢
[00:05:51] 你的净值却没有在上升
[00:05:53] 对
[00:05:54] 就是找到4万6千多
[00:05:55] 不一定大家的钱都增加
[00:05:57] 没有
[00:05:58] 对
[00:05:58] 跟上个礼拜
[00:06:00] 再前一个礼拜
[00:06:00] 是完全不一样的心情
[00:06:02] 对
[00:06:02] 所以我出国的时候
[00:06:03] 是两种心情
[00:06:04] 就第一个礼拜就觉得
[00:06:05] 哇
[00:06:05] 没想到出国也可以赚钱
[00:06:06] 就很开心
[00:06:07] 在欧洲
[00:06:08] 以后常来欧洲就好了
[00:06:09] 结果呢
[00:06:09] 第二个礼拜在西班牙的时候
[00:06:11] 就发现说
[00:06:11] 奇怪
[00:06:12] 家选已经到4万6了
[00:06:14] 可是呢
[00:06:14] 礼拜到礼拜三
[00:06:15] 好多我的这个粉丝来回应说
[00:06:18] 老板是我选股不好吗
[00:06:19] 为什么我的禁止却没有上升
[00:06:21] 可能他选到的是低轨卫星
[00:06:23] 或者是记忆体
[00:06:24] 可能会有这种体感
[00:06:26] 就有这种感觉
[00:06:26] 或是PCB
[00:06:27] 对
[00:06:27] 没有错
[00:06:28] 然后
[00:06:28] 所以我们在
[00:06:29] 那时候我就跟他说
[00:06:30] 如果以我过去的状况
[00:06:32] 如果大凡在乖离这么大
[00:06:33] 你又发现
[00:06:34] 指数在创高
[00:06:35] 你的禁止却没有上升的时候
[00:06:37] 那只要一破五日线
[00:06:38] 我会建议你先减满
[00:06:39] 你落势的股票
[00:06:40] 对
[00:06:41] 先减在十日线以下
[00:06:43] 或月线以下的
[00:06:44] 对
[00:06:44] 比如说我们每个人
[00:06:45] 有八到十档股票好了
[00:06:46] 就是在大
[00:06:48] 就是在大凡
[00:06:49] 就这样长不上去的时候
[00:06:50] 你一定会有
[00:06:50] 一到两档是在这种
[00:06:52] 八到
[00:06:52] 在十日线或五日线以下的
[00:06:54] 那这个时候你可以先减
[00:06:55] 那减码最后的原因是
[00:06:57] 我是一直忍到
[00:06:58] 礼拜五的尾盘才减
[00:06:59] 是
[00:06:59] 对
[00:06:59] 就是为什么
[00:07:01] 因为我觉得就是说
[00:07:02] 要看到大盘
[00:07:02] 真正的差距破五日线
[00:07:04] 那个时间点已经很好了
[00:07:05] 好不好
[00:07:06] 对
[00:07:06] 你会觉得还不错
[00:07:07] 可是
[00:07:07] 我先跟大家讲
[00:07:08] 就是我自己有出一本书嘛
[00:07:09] 我书中就有写说
[00:07:11] 其实行情在招
[00:07:12] 我是绝不空手的
[00:07:13] 那一般降到七成以下
[00:07:15] 相对对于我来讲
[00:07:15] 已经算是比较低的水位了
[00:07:17] 降到七成以下
[00:07:18] 已经没安全感了是不是
[00:07:19] 对对对
[00:07:19] 股票太少是不是
[00:07:20] 因为我会觉得说
[00:07:21] 只要一反转
[00:07:22] 尤其是你看
[00:07:22] 你已经从一万八千多点
[00:07:24] 到四万六千点了
[00:07:25] 你只要一反转的话
[00:07:27] 这个反转的速度都很快
[00:07:28] 是
[00:07:28] 你手上如果只有
[00:07:30] 零%的水位或是10%
[00:07:31] 你一定会觉得说
[00:07:32] 哇 怎么反弹那么快
[00:07:33] 我再等一下
[00:07:34] 那这个一万八千点
[00:07:35] 你自己回想到十万五千点
[00:07:37] 你有好几次再等一下就没了
[00:07:38] 对
[00:07:39] 都是几千点的成本的差距
[00:07:41] 所以上礼拜
[00:07:42] 我就是大概减到七成左右
[00:07:43] 那接下来就大家会问说
[00:07:46] 那周末
[00:07:46] 要怎么去面对
[00:07:48] 跌了四千多点的恐慌
[00:07:49] 那时候我给的建议很简单
[00:07:51] 我就说
[00:07:51] 如果夜盘的起货真的跌停了
[00:07:54] 那就代表
[00:07:54] 礼拜一加全指数里面
[00:07:56] 全部的成分股
[00:07:57] 都应该几乎跌停
[00:07:58] 如果说迪金数到最后
[00:07:59] 可能会产生这个结果
[00:08:01] 没有错
[00:08:01] 那是瞬间
[00:08:02] 对那时候只有瞬间
[00:08:03] 对
[00:08:03] 可是那时候
[00:08:04] 后来好像收在-3000点
[00:08:06] 那大家还是觉得说
[00:08:07] 还是蛮可怕的
[00:08:08] 对礼拜一堆股票跌停
[00:08:09] 那时候我就觉得说
[00:08:11] 这一次是只有非浓数据
[00:08:12] 这种经济事件
[00:08:13] 还有你刚刚讲的波通
[00:08:14] 它没有像之前有
[00:08:16] 你没有预测到了
[00:08:17] 像关税
[00:08:18] 像疫情
[00:08:19] 所以那时候我说
[00:08:19] 你这样子要让台积电
[00:08:21] 已经证明了
[00:08:22] 从去年第四季到第一季
[00:08:24] 已经证明了两季
[00:08:25] 它非常好的状况下
[00:08:26] 你要突然间说
[00:08:27] 因为很多人就说
[00:08:28] 哇如果礼拜一这样子跌
[00:08:29] 要连续三根跌
[00:08:30] 跌30%
[00:08:31] 大盘要跌30%
[00:08:32] 30%40%
[00:08:33] 那我先跟大家讲
[00:08:34] 如果大盘要跌30%
[00:08:35] 40%的话
[00:08:36] 台积电大概要跌五成
[00:08:37] 差不多吧
[00:08:38] 因为台积电
[00:08:39] 在我们的大盘的权重非常高
[00:08:42] 我觉得哇你台积电要2000多
[00:08:45] 再跌回到1000块
[00:08:46] 那到底要出什么事件
[00:08:48] 现在什么事件都没有
[00:08:49] 所以我就跟大家说
[00:08:50] 这其实只是一个
[00:08:51] 多头的修正而已
[00:08:53] 它并不算空头
[00:08:54] 然后去回想
[00:08:55] 疫情那时候
[00:08:56] 整个A转下也是为什么
[00:08:58] 2022年跌了一整年
[00:08:59] 因为我有经历过
[00:09:00] 那时候是真的
[00:09:01] 经济面的数据开始不好了
[00:09:03] 对存货不好
[00:09:04] 可是现在没有
[00:09:05] 台积电应该会一路好到
[00:09:06] 2027年
[00:09:07] 甚至2028年
[00:09:09] 那既然没有
[00:09:10] 基本面的不好的话
[00:09:11] 所以我都会定调说
[00:09:12] 是基本面的修正
[00:09:14] 对行情过热的修正而已
[00:09:15] 所以我跟我的这个粉丝说
[00:09:17] 你不应该把股票全部卖光
[00:09:19] 你可以降水位
[00:09:20] 那为什么大家会觉得非常痛
[00:09:22] 因为会
[00:09:23] 其实从他们回答我就知道
[00:09:25] 因为他们在上个礼拜
[00:09:26] 大跌前的上个礼拜
[00:09:27] 他们的总部位
[00:09:29] 应该都是超过100%的
[00:09:30] 就是因为随着大盘涨
[00:09:32] 有时候会这样
[00:09:33] 大盘在涨
[00:09:34] 你会觉得
[00:09:34] 我的损益没有往上
[00:09:35] 我一定没有买到对的东西
[00:09:37] 或者看到别人在赚钱
[00:09:38] 例如说
[00:09:39] 我们刚刚在讨论
[00:09:40] 我这波会有一点感觉
[00:09:41] 是因为我被动员已经比较多
[00:09:42] 那现在感觉是卖飞的难过
[00:09:44] 好
[00:09:45] 但是那段时间
[00:09:46] 我觉得刚刚刘老板
[00:09:46] 讲的东西非常非常重要
[00:09:48] 就是在崩盘发生前
[00:09:50] 事实上观察
[00:09:51] 季限乖离率已经很大
[00:09:52] 然后如果损益没有创高
[00:09:54] 代表你选的大部分的东西
[00:09:56] 因为老板
[00:09:56] 带大家选的
[00:09:57] 一定都会是热门的
[00:09:58] 如果热门的东西
[00:10:00] 只有少数的在涨
[00:10:01] 它就会是一个警讯
[00:10:03] 所以它才会选择
[00:10:05] 在崩盘的前一个晚上
[00:10:06] 就已经做动作了
[00:10:07] 不是等到崩盘才做动作
[00:10:09] 但是等到崩盘
[00:10:11] 再进一步的分析
[00:10:12] 这次崩盘的原因
[00:10:13] 根本跟疫情
[00:10:15] 或者是跟那时候
[00:10:16] 就是去库存
[00:10:17] 甚至什么金融海啸之类
[00:10:18] 前面几次的严重性
[00:10:20] 完全是不同的等级
[00:10:21] 不一样
[00:10:21] 觉得真的完全不一样
[00:10:22] 就不用这么恐慌
[00:10:23] 对
[00:10:23] 可是为什么大家会痛
[00:10:24] 就是因为在
[00:10:25] 到46,500点的时候
[00:10:27] 每个人都在加买
[00:10:29] 希望自己能赢
[00:10:30] 被动买不下去
[00:10:31] 不然我再买一些其他的
[00:10:32] 然后成本垫得超级高
[00:10:34] 然后就有发现
[00:10:34] 再涨了
[00:10:35] 还是继续是被动
[00:10:36] 没错
[00:10:37] 那到礼拜一的时候
[00:10:38] 接下来就有很多人
[00:10:39] 面临的问题
[00:10:39] 就是说我礼拜一
[00:10:40] 我竟然已经杠杆成这样了
[00:10:41] 我礼拜一一早
[00:10:42] 要不要起货先砍跌停
[00:10:45] 对
[00:10:45] 这是大家会遇到的问题
