[00:00:00] 欢迎收听
[00:00:30] 看着盘又杀下去了
[00:00:31] 从这个杀一千多点
[00:00:33] 其实晚上就是一千多点了
[00:00:34] 然后震荡
[00:00:36] 一下子很短的时间
[00:00:38] 它会回弹个五六百点
[00:00:40] 又下去五六百点
[00:00:41] 瞬间我就觉得
[00:00:43] 这盘到底怎么回事
[00:00:44] 结果等到我快睡觉的时候
[00:00:46] 已经杀下去到一千三百点左右了
[00:00:50] 我就想
[00:00:50] 哇
[00:00:51] 好啦管它的
[00:00:52] 睡了再说
[00:00:53] 然后早上一张开眼睛
[00:00:56] 变成收红五百点
[00:00:58] 仔细一看
[00:00:59] 一来一回是差了一千八百点
[00:01:02] 等于说可能假设
[00:01:05] 做空必闲的
[00:01:06] 或者认真想放空的
[00:01:08] 夜盘好开心
[00:01:09] 好开心
[00:01:10] 如果你手上满手多单的
[00:01:12] 夜盘好担心
[00:01:12] 但早上风云变色
[00:01:15] 那当然
[00:01:15] 昨天我们也有提醒
[00:01:17] 有一个比较重要的事情
[00:01:18] 就是美光
[00:01:19] 要公布财报
[00:01:20] 而这个财报是大受激励
[00:01:22] 所以美光公布之后呢
[00:01:24] 它这个财报
[00:01:25] 等一下也会跟大家来好好聊聊
[00:01:27] 它有讲了很多
[00:01:28] 对于AI发展跟记忆体产业的前瞻指引
[00:01:31] 华许不做前瞻指引
[00:01:32] 美光来帮大家做前瞻指引
[00:01:34] 这个指引让市场对于整体AI的气氛
[00:01:37] 还有记忆体又充满了信心
[00:01:39] 美光大涨之余
[00:01:40] 韩国大反弹
[00:01:41] 日股也开得相当高
[00:01:43] 所以我们今天现股市场是开盘的
[00:01:45] 但也必须讲
[00:01:46] 记忆体是韩国的强项
[00:01:48] 是美光的强项
[00:01:49] 对台股来说
[00:01:51] 它可能就是其中的一块
[00:01:52] 它是其中的一块
[00:01:53] 所以美光大概可以贡献半场的涨点
[00:01:57] 那我们毕竟昨天面临到什么呢
[00:01:59] 面临到外资大卖了1770几亿
[00:02:02] 面临到外资的空单水位在83000多口
[00:02:05] 还是在今天的盘面上
[00:02:07] 隐隐有一些压力
[00:02:08] 所以中场是上涨了211点
