[00:00:00] 欢迎收听古爱,我是圣木工,本期节目由NordVPN赞助
[00:00:03] 暑假旅游旺季即将到来,现在正是提前规划家庭旅游的好时机
[00:00:07] 面对贵松松的机票,不少人会透过NordVPN切换不同地区来比价
[00:00:11] 这也是规划旅游时最实用的技巧
[00:00:14] 在查询机票跟住宿的时候,不同国家跟地区显示的价格有时会有所差异
[00:00:18] 对于想要精打细算控制预算的人来说,一键就可以完成切换相当实用
[00:00:23] 除了比价,使用NordVPN也可以大大的提高网路安全保障
[00:00:26] 在规划行程的时候,常常在家里咖啡厅或是外出的时候
[00:00:30] 去使用各种网路环境查资料定行程
[00:00:32] 但公共网路其实在安全性上比较难掌握
[00:00:35] 这个时候使用NordVPN可以帮助加密网路连线
[00:00:38] 就算是在公共的WiFi环境下去查住宿机票或登录账号处理付款也都多一层保障
[00:00:43] 同时连线速度稳定不太会影响实际操作的体验
[00:00:47] 那如果说人已经在国外,NordVPN也可以切换回台湾的IP
[00:00:50] 连接熟悉的网站或常用的服务,使用上会更加的顺畅
[00:00:53] 那像我自己在海外遇到一些软体或是游戏的索区,我都会使用NordVPN
[00:00:57] 而且现在NordVPN不只是支援手机平板跟电脑
[00:01:00] 也已经支援Smart TV跟Apple Vision Pro
[00:01:03] 一个账号最多可以从时用于10台装置
[00:01:06] 不认识在家或是外出都可以灵活的使用
[00:01:08] 加上透过我们资讯栏的专属链接
[00:01:10] 或在结账的时候输入优惠码
[00:01:13] 立即享有期间限定优惠
[00:01:16] 购买两年方案加送4个月并提供30天退款保证
[00:01:20] 不满意都可以随时取消零风险尝试
[00:01:22] 那下礼拜就正式进入5月的第一个交易日
[00:01:24] 那自己是觉得非常的兴奋且期待
[00:01:27] 因为4月相信绝大多数人都缴出了非常暴力的一个成绩
[00:01:30] 就算你没有在做交易的
[00:01:32] 你只是把部位放在可能0050台积电什么的
[00:01:34] 那大家的成绩都是非常的好
[00:01:36] 那在5月呢希望可以维持这样的一个涨势
[00:01:39] 但用我自己内心的声音来说的话呢
[00:01:42] 我觉得这个涨势应该是没有办法持续多久
[00:01:44] 因为真的他妈太疯狂了
[00:01:45] 所以自己会做一个假设时
[00:01:47] 就后面应该会有一些
[00:01:48] 可能是蛮像样的回档会出现
[00:01:50] 就是一定会有一些上课的机会啦
[00:01:52] 只是你没有办法确定说
[00:01:54] 是5月初啊5月中
[00:01:55] 还甚至是到6月中
[00:01:56] 但反正该出现都会出现
[00:01:57] 那如果说没有去做到准备的
[00:01:59] 就算你可能前面再多赚个几天
[00:02:00] 那后面都会去收到蛮大的一个打击
[00:02:02] 那其中一个我自己还蛮喜欢的指标
[00:02:04] 就是我注意到说
[00:02:05] 当然你现在就讲说什么
[00:02:06] 谁是插鞋虫
[00:02:07] 这个都很奇怪
[00:02:07] 因为插鞋虫
[00:02:08] 从1万点插鞋子插到4万点
[00:02:10] 插鞋虫自己都已经开鞋垫了
[00:02:12] 所以不要整天去笑人家在插鞋虫
[00:02:13] 那可是在我们的感受
[00:02:14] 就是当我们今天可能注意到市场上
[00:02:16] 某一些表弟
[00:02:16] 他其实走得好好的
[00:02:17] 但开始会很多人出来骂说
[00:02:19] 什么啊他怎么下跌了
[00:02:20] 怎么他之前都不会跌
[00:02:21] 他怎么下跌了
[00:02:22] 其实你听这个
[00:02:23] 老实讲这个话呢
[00:02:24] 就是你听在一些
[00:02:25] 有一点惊艳的人的耳中
[00:02:27] 就是知道说
[00:02:27] 你到底在讲什么
[00:02:28] 这股票本来就涨涨跌跌
[00:02:29] 可是有时候就是股票
[00:02:30] 连续涨一段时间
[00:02:31] 大家就真的会相信
