[00:00:00] 欢迎收听古爱,我是沈梦公
[00:00:01] 本集节目由Sally赞助
[00:00:03] 午夜这个时间点蛮有趣的
[00:00:05] 清明廉价,劳动节刚过
[00:00:06] 大家的状态大概是钱花完了
[00:00:08] 体力也还没有回来
[00:00:09] 但我相信已经有人在偷看端午
[00:00:11] 要不要请假把它凑长一点
[00:00:13] 简单讲人还在上班
[00:00:14] 但心已经在排假
[00:00:15] 然后到这种时候呢
[00:00:17] 就会出现一种很固定的需求
[00:00:18] 也就是出国
[00:00:19] 但出国这件事
[00:00:20] 有一件事永远被低估
[00:00:22] 那就是网路
[00:00:22] 很多人会在那边研究机票
[00:00:24] 比饭店,看行程排到爆
[00:00:26] 但最后让你旅程爆裂的
[00:00:27] 通常不是行程不够好
[00:00:29] 而是当地没网路
[00:00:30] 没网路会发生什么事情
[00:00:31] 很简单
[00:00:32] 导航失效
[00:00:33] 人在路口变路障
[00:00:34] 叫车叫不到
[00:00:35] 开始跟司机匕首画脚
[00:00:36] 餐厅定位找不到
[00:00:38] 只能够随便进去赌
[00:00:39] 更惨的是验证码
[00:00:40] 收不到,订单查不了
[00:00:41] 登机资讯卡住
[00:00:43] 然后你的整趟旅行
[00:00:44] 就变成是一直在处理问题
[00:00:45] 也不是享受
[00:00:46] 以前大家最常用的解法
[00:00:48] 是实体SIM卡或是机场买
[00:00:49] 但那个状况大家也知道
[00:00:51] 不是忘记买
[00:00:52] 就是现场排队排到怀疑人生
[00:00:53] 现在比较简单一点的做法
[00:00:55] 就是eSIM
[00:00:56] 像Sally这种工具
[00:00:57] 基本上就是在出国前
[00:00:58] 把设定弄好
[00:00:59] 落地直接连线
[00:01:00] 不用换卡
[00:01:00] 不用开SIM卡槽
[00:01:01] 也不用在机场翻包包找帧
[00:01:03] 它比较实际的点是
[00:01:05] 在APP里面可以直接看到
[00:01:06] 剩余的流量
[00:01:07] 对于那种一出国
[00:01:08] 就开始找地图
[00:01:09] IG影片连发的人来说
[00:01:11] 其实比较有感
[00:01:12] 至少你知道自己快用完了
[00:01:14] 不会莫名其妙爆掉
[00:01:15] 不够用也不用
[00:01:16] 重来一张卡直接加就好
[00:01:17] 比较像是流量版
[00:01:19] 及时补仓
[00:01:20] 另外它有内建VPN
[00:01:21] 有些人在国外会遇到的
[00:01:22] 订房价格网站内容
[00:01:23] 地区不同的情况
[00:01:25] 切换起来比较顺一点
[00:01:26] 再加上广告阻挡
[00:01:28] 基本上就是帮你少一点干扰
[00:01:29] 多一点可用流量
[00:01:30] 讲白一点就是
[00:01:31] 帮你在国外会烦的
[00:01:33] 那些网络问题都处理掉
[00:01:34] 5月到暑假前这段时间
[00:01:36] 本来就是旅游开始升温的区间
[00:01:38] 如果已经在看机票
[00:01:39] 那网络这件事情
[00:01:40] 可以先解决掉
[00:01:41] 因为旅行这种事情
[00:01:42] 最贵的从来不是机票
[00:01:43] 而是你的时间浪费在
[00:01:45] 没网络这件事情上
[00:01:46] 现在只要下载Sally App
[00:01:47] 在结账的时候输入古牌的
[00:01:49] 优惠代码G-O-A-Y-E
[00:01:50] 或透过我们咨询栏专属
[00:01:51] 连结Sally.com-G-O-A-Y-E
[00:01:54] 购买方案及享有
[00:01:55] 85折的专属优惠
[00:01:56] 那最近在运动上面
[00:01:57] 获得很多新的启发
[00:01:59] 有时候我觉得也是需要
[00:02:00] 有一些像地方的听众
[00:02:03] 给我一些认证
[00:02:04] 然后我就又再一次有动力
[00:02:05] 其实我就是一个
[00:02:06] 蛮肤浅的人
[00:02:07] 那所以呢
[00:02:08] 因为最近有一个地方的兄弟
[00:02:09] 在建设房跟我合照
[00:02:10] 那后来这张照片呢
[00:02:12] 他发给我转发
[00:02:13] 那就蛮多人就讲说
[00:02:14] 干你真的变超级瘦
[00:02:16] 你脸是尖的或什么的
[00:02:17] 我就觉得心情特爽
[00:02:18] 然后就觉得
[00:02:19] 接下来我也可以再回去
[00:02:20] 他妈健身房拉个几下
[00:02:21] 或是去打个什么
[00:02:22] 网球之类
[00:02:23] 突然觉得自己充满了活力
[00:02:25] 那我觉得SoulSally
[00:02:26] 对我的帮助真的很大
[00:02:27] 最主要并不是说
[00:02:28] 什么他真的限制了
[00:02:30] 我多少的食欲
[00:02:30] 他就是给我一个
[00:02:31] 精神跟心理上的Q
[00:02:33] 让我知道说
[00:02:33] 真都打了
[00:02:34] 所以你就要好好的振作起来
[00:02:36] 那所以跟自己的身边朋友相比
[00:02:37] 蛮多人真打下去之后
[00:02:38] 他是吃不下
[00:02:39] 那喝酒就会吐
[00:02:40] 或者说可能
[00:02:41] 肠胃不舒服
[00:02:44] 算是相对幸运
[00:02:45] 就是我食欲都是正常的
[00:02:47] 那只是食量变小一点
[00:02:49] 那经历过了OZAMPIC
[00:02:51] 到现在的Mondjaro
[00:02:52] 状态都差不多
[00:02:53] Mondjaro的一开始打下去的时候
[00:02:54] 因为我前面OZAMPIC
[00:02:55] 我是不知道就直上了嘛
[00:02:57] 那后来发现说
[00:02:58] 这样子有可能什么
[00:02:59] 猛暴性仪仗炎
[00:03:00] 什么急性仪仗炎之类
[00:03:01] 就吓到就知道说
[00:03:02] 那下一针我就要乖乖的
[00:03:03] 所以Mondjaro一开始是打2.5
[00:03:05] 然后2.5打下去
[00:03:05] 我立刻就知道出事情了
[00:03:07] 为什么
[00:03:07] 因为2.5的Mondjaro
[00:03:09] 根本就无法挡住我的食欲
[00:03:10] 所以我本来以为说
[00:03:11] 可能差不多快到目标了
[00:03:13] 可以直接停针
[00:03:14] 但我现在发现说
[00:03:14] 可能不能够直接停针
[00:03:16] 因为如果停的太快的话
[00:03:17] 因为那时候2.5的Mondjaro
[00:03:18] 就让我可能整个晚上
[00:03:20] 都在吃东西
[00:03:21] 狂吃
[00:03:21] 然后吃到那时候
[00:03:23] 来我们家的客人都说
[00:03:24] 你完全看不出来
[00:03:25] 是有在打瘦瘦症
[00:03:25] 我说因为我刚换针
[00:03:27] 那那个剂量可能是偏低
[00:03:28] 那所以当然医师讲说
[00:03:30] 你最好就是隔一个礼拜
[00:03:31] 然后再去把它加大
[00:03:32] 甚至是最好
[00:03:33] 你把整个流程走完再去加大
[00:03:35] 但你就知道说
[00:03:35] 我是不会去插小这种事情的
[00:03:37] 这绝对不是什么好的示范
[00:03:38] 反正就是我就去问了医生
[00:03:40] 那我们也不要讲是哪一位医生
[00:03:41] 反正就是说
[00:03:42] 最快多久可以补下一针
[00:03:44] 那我就在那个最快时间
[00:03:45] 就立刻再补下一个
[00:03:46] 我就直接打到5
[00:03:46] 因为我发现说
[00:03:47] 真的没有办法
[00:03:48] 那个剂量太低了
[00:03:49] 那我的整个影控
[00:03:51] 可能因为这样会出问题
[00:03:52] 所以就目前还是得去
[00:03:54] 依赖这个药物
[00:03:56] 那我觉得药物
[00:03:57] 它除了是精神上的Q之外
[00:03:58] 就是它去限制那些食量
[00:04:00] 对我来说是好的
[00:04:01] 那目前整体的身体表现
[00:04:03] 也变得更好
[00:04:04] 我觉得说因为我瘦的
[00:04:05] 最主要都是脂肪
[00:04:06] 那所以我觉得睡眠品质
[00:04:08] 或是所谓的发炎的感受
[00:04:10] 你也感觉得到
[00:04:10] 好像是有降低
[00:04:12] 就是你可能每天酸痛的
[00:04:13] 这个时间点是变短
[00:04:14] 或起床背痛的几率是变低了
[00:04:17] 所以我真的觉得
[00:04:17] 瘦下还是一个蛮不错的事情
[00:04:19] 那最近在运动上面
[00:04:20] 也获得蛮多新的启发
[00:04:22] 那非常感谢我的
[00:04:23] 这个长得像Rain的教练
[00:04:25] 非常的强大
[00:04:26] 他教我那种技能性训练
[00:04:27] 或是有些人称为
[00:04:28] 是功能性训练
[00:04:29] 那他真的是有感的
[00:04:31] 让我可以去支配
[00:04:32] 我全身的各个关节
[00:04:33] 就是你从来都不知道说
[00:04:35] 原来你全身有这么多的关节
[00:04:37] 然后把他们凑合在一起的话
[00:04:38] 就像说一个挥拍的动作
[00:04:40] 可能是从脚底板开始发力
[00:04:41] 到你的小腿到大腿
[00:04:43] 然后最后面到你的手
[00:04:43] 当然这个我们去学泰拳的时候
[00:04:45] 教练也会教你
[00:04:46] 可是我觉得
[00:04:46] 没有把每一个动作
[00:04:48] 拿出来叼的话
[00:04:49] 就是你还是
[00:04:50] 你以为你懂了
[00:04:51] 怎么样去控制这一些
[00:04:52] 关节或是你的肢体
[00:04:54] 但实际上你可能还是不太懂
[00:04:56] 那他教我的训练
[00:04:57] 其实看起来
[00:04:57] 有些就觉得好像是
[00:04:59] 他妈太简单了吧
[00:05:00] 就起立蹲下
[00:05:01] 可是他那个起立蹲下
[00:05:02] 会蹲到你全身都喷汗
[00:05:03] 那甚至是不用负重就可以这样子
[00:05:05] 然后再来就会玩一些奇怪的道具
[00:05:07] 什么用TRX的绳子
[00:05:09] 去做一些东西
[00:05:09] 或是哪一个
[00:05:10] 像什么奇眉棍的东西
[00:05:12] 去做伸展或什么的
[00:05:13] 那一段时间下来就发现
[00:05:15] 真的是懂什么叫做用宽发力
[00:05:17] 也知道什么叫做用宽去移动
[00:05:18] 就像说你坐在地板上
[00:05:19] 然后屁股挪来挪去
[00:05:20] 你就可以前进后退之类的
[00:05:22] 那对身体的掌控度变得非常好
[00:05:24] 所以呢
[00:05:24] 他可能不像平常的重性
[00:05:26] 是针对肌肥大去做训练
[00:05:27] 他是针对一个全身的协调性
[00:05:29] 可是我觉得那个感受是极好的
[00:05:31] 那在他跟我分享蛮多观念之后
[00:05:33] 我就反问他一个
[00:05:33] 因为我刚好在一些报纸上面
[00:05:35] 有看到说
