[00:00:00] 欢迎收听古爱,我是孟公
[00:00:01] 本集节目由MIT情爱金品哈鲁寒春赞助
[00:00:05] 看看床上的机油股你是哪一种
[00:00:07] 仔细观察你会发现
[00:00:08] 一场完美的床试就跟股票走势一样
[00:00:11] 最怕那种一字所跌停冷门股
[00:00:13] 还没开始就结束
[00:00:14] 或是一路平躺毫无波动的僵尸股
[00:00:16] 真正的顶级体验应该是要是
[00:00:18] 潜力黑马股就像是哈鲁的Orgism
[00:00:21] 大麻热感润滑意的温暖陪伴一样
[00:00:24] 刚开始的温柔逢低布局
[00:00:26] 一点点试探一点点加量
[00:00:27] 让气氛慢慢升温加热
[00:00:29] 当你感觉到对方的节奏开始加快
[00:00:31] 那不是乱动那叫冲天炮
[00:00:33] 此时就像是用了HaruDesire Ultimate Hot
[00:00:35] 大麻热浴焚身高潮溢加麻点缀
[00:00:38] 给你五倍热感再升级
[00:00:40] 把气氛拉到最高点
[00:00:42] 所有的情绪都在瞬间引爆
[00:00:43] 就像是股价直冲天际
[00:00:45] 这不叫涨停
[00:00:46] 这叫做翻倍再翻倍
[00:00:47] 体验那种大脑荡机
[00:00:49] 全身苏码的感觉
[00:00:50] 就是这场情爱投资里最完美的获利
[00:00:52] 所以不要整天只研究大盘
[00:00:54] 今晚回家好好观察对方的走势
[00:00:56] 当一个懂操作不贪心
[00:00:58] 能够带领对方冲向历史新高的快乐操盘手
[00:01:01] 结账输入去OOAYE2026
[00:01:03] 马上想单评九折折扣无上限
[00:01:06] 结账金额满一千赠
[00:01:07] 套套四入一合
[00:01:09] 体验高潮迭起传送门
[00:01:10] 就在我们的连结案这边
[00:01:12] 听我给所有需要的朋友们
[00:01:13] 这礼拜带家人去台中稍微的走跳一下
[00:01:16] 那当然也去了
[00:01:17] 我老婆非常喜欢的餐厅
[00:01:18] 评诺可可
[00:01:19] 我们当时差点因为这个餐厅就搬去台中
[00:01:21] 那所在节目跟大家讲的东西
[00:01:23] 同手无期啊
[00:01:24] 非常夸张
[00:01:25] 反正我老婆就找到一个
[00:01:26] 她真的很喜欢的餐厅
[00:01:27] 那他就跟人家说
[00:01:28] 他要搬到那边去
[00:01:28] 所以我们真的认真的去台中
[00:01:30] 看过几次房子
[00:01:31] 那最后面呢
[00:01:32] 我自己是觉得还好有选林口了
[00:01:34] 因为林口现在在教育方面
[00:01:35] 我觉得非常的方便
[00:01:36] 就小朋友就念这边的学校
[00:01:37] 还可以一路念到高中
[00:01:39] 我觉得心情特好
[00:01:40] 我也不用去再烦恼
[00:01:41] 其他有的没有的东西
[00:01:43] 但比较有一点点美中不足的是
[00:01:45] 其实那时候搬来林口
[00:01:46] 是希望搬到一个
[00:01:47] 比较没有人的地方
[00:01:48] 但自从我们搬来之后呢
[00:01:49] 连续好像三到四年的
[00:01:51] 迁入冠军就是林口
[00:01:53] 所以林口现在其实是一个
[00:01:54] 有点那种爆炸的状态
[00:01:56] 那我还记得我刚来的时候
[00:01:57] 去看房子
[00:01:57] 大概一平就是
[00:01:58] 二十几到三十之间
[00:02:00] 那现在已经有开到八十几
[00:02:02] 还甚至是九十
[00:02:03] 然后有成交
[00:02:04] 所以有时候不免会想说
[00:02:06] 难怪这么多人喜欢炒房
[00:02:07] 你什么事都没做
[00:02:08] 你就买一个房子
[00:02:09] 然后房子就这样子涨
[00:02:10] 那像我自己的房子也是
[00:02:12] 就在那边跟他吊涨
[00:02:13] 可是我觉得可能是
[00:02:14] 个人喜好问题啊
[00:02:15] 然后外加
[00:02:16] 其实我们知道
[00:02:16] 自己在股票的绩效表现
[00:02:17] 是还是赢房子啊
[00:02:19] 所以像我自己
[00:02:19] 至今都没有一直想要再去
[00:02:21] 可能多买一些房子之类的
[00:02:23] 但就非常赞叹
[00:02:24] 林口后来人口爆炸
[00:02:25] 然后跟房地产
[00:02:26] 也直接射出去的一个现状
[00:02:28] 那在台中这边呢
[00:02:30] 我觉得是非常喜欢的
[00:02:31] 一个城市啦
[00:02:32] 就是它的
[00:02:32] 怎么说
[00:02:33] 我觉得天气总是非常好
[00:02:35] 那道路又大
[00:02:36] 店面又是弄得很气派豪华
[00:02:38] 那虽然
[00:02:39] 后来是有听一个朋友
[00:02:40] 跟我讲说
[00:02:41] 为什么台中的房子
[00:02:42] 盖得比较好看
[00:02:43] 那个是一个建商朋友
[00:02:44] 跟我分享
[00:02:44] 他说因为台中的那些
[00:02:46] 土地
[00:02:47] 就是它挖下去的那个土
[00:02:48] 是可以卖钱的
[00:02:49] 那像我们林口挖下去的
[00:02:50] 那个土是红土
[00:02:51] 那个是不能卖钱的
[00:02:52] 所以台中的建商
[00:02:53] 他们挖出来那种地下室的东西
[00:02:55] 可能就会拿去回馈到
[00:02:57] 就是可能整个建筑物
[00:02:58] 会弄得好看一点之类的
[00:02:59] 他说一个最具体的观察
[00:03:01] 就是你去看台中那些
[00:03:02] 非常吊炮的建商
[00:03:03] 他们跑到北部盖
[00:03:04] 盖出来的东西
[00:03:05] 可能就还蛮鸟的
[00:03:06] 那就是因为
[00:03:06] 还是回到成本跟价格的一个问题
[00:03:09] 我们自己本身那时候的假设
[00:03:10] 是认为说
[00:03:11] 可能是台中竞争非常激烈
[00:03:13] 所以你一定要做到那样的程度
[00:03:14] 才有办法
[00:03:15] 我觉得一定有部分是这样
[00:03:16] 只是后来有听建商朋友就讲说
[00:03:19] 是因为台中的土是值钱的
[00:03:20] 这个还蛮有趣的
[00:03:22] 那这次当然也有去
[00:03:23] 这个太太的那个皮诺可可
[00:03:25] 那后来就还蛮傻眼的
[00:03:27] 就整间餐厅跟开
[00:03:28] 我们的同学会一样
[00:03:29] 就出来都是各路的听众
[00:03:31] 那不管是合照
[00:03:32] 或是上来聊天
[00:03:33] 我觉得蛮有趣的
[00:03:34] 就是大家不知道为什么
[00:03:35] 跟我都是有点那种
[00:03:36] 麻吉马
[00:03:36] 好像真的认识超久一样
[00:03:38] 即便我们是第一次看到
[00:03:39] 但马上就可以对上话题
[00:03:40] 那马上就可以跟我分享
[00:03:42] 他们的生活跟工作
[00:03:43] 发生什么事情
[00:03:44] 所以我觉得这个是这个节目
[00:03:45] 对我的一个非常好的恩惠
[00:03:48] 就好像真的是
[00:03:49] 默默的交了一大堆的朋友
[00:03:50] 那非常感谢大家的支持
[00:03:52] 那其实大家下去
[00:03:54] 皮诺可可都在这整天tag
[00:03:55] 我之后就尽量不要再分享太多
[00:03:57] 因为办法餐厅就不是我开的
[00:03:58] 搞得像餐厅像是我开的一样
[00:04:00] 可能之前
[00:04:00] 表情催过头
[00:04:01] 所以呢
[00:04:02] 就是大家都
[00:04:02] 整天去那边
[00:04:04] 就会想要tag我之类
[00:04:05] 所以我家有些
[00:04:05] 我就是刻意不要再分享
[00:04:07] 因为真的办法太过头
[00:04:08] 那一样啦
[00:04:08] 就是虽然
[00:04:09] 这个餐厅整天
[00:04:10] 我们会可能推荐
[00:04:12] 或是帮忙分享或什么
[00:04:13] 但我是绝对不会去拗人家
[00:04:14] 我至今所有的开销
[00:04:17] 都是我们自己
[00:04:17] 或是家人去出的
[00:04:18] 我们绝对没有去什么
[00:04:20] 推荐你
[00:04:21] 然后换免费
[00:04:21] 我不做这种事情
[00:04:22] 所以再来跟大家讲一下
[00:04:24] 有些人可能听到说
[00:04:24] 他每天在推那个
[00:04:25] 他一定有拿到什么好处
