[00:00:00] 欢迎收听股癌,我是陈梦工
[00:00:01] 本期节目由善存叶黄素赞助
[00:00:03] 通勤路上用手机跟盘
[00:00:05] 到公司继续用电脑关注股市
[00:00:07] 晚上还要紧跟美股盘市
[00:00:09] 你也是整天无法离开3C吗?
[00:00:11] 投资理财更要投资健康
[00:00:13] 记得爱吃叶黄素做好有神保养
[00:00:15] 叶黄素三大选购关键跟你分享
[00:00:17] 一,跟选股一样需要有数据支持才安心
[00:00:20] 善存叶黄素成分经研究不止三周看见不同
[00:00:24] 还有超过百篇科学研究发表
[00:00:26] 好吸收的叶黄素才不会吃了个寂寞
[00:00:28] 善存油理型叶黄素好吸收高17%
[00:00:31] 加上独特液态胶囊
[00:00:32] 天天吃叶黄素浓度提升10倍
[00:00:35] 时间就是金钱
[00:00:36] 善存用专业保留纯粹
[00:00:38] 叶黄素原料萃取至天然万寿菊
[00:00:40] 一天一颗轻松补充20毫克
[00:00:42] 效率做好有神保养
[00:00:44] 现在还有全新推出的善存叶黄素精华冻
[00:00:47] 四合一水量配方叶黄素与玉米黄素
[00:00:49] 无比异黄金比例添加
[00:00:51] 含虾红素与花青素帮助精量有神
[00:00:54] 滋养补给
[00:00:55] 果冻QQ酸甜好吃方便携带
[00:00:57] 出国也都能够轻松做好保养
[00:00:59] 古埃独家momo现实优惠
[00:01:01] 善存叶黄素液态胶囊
[00:01:02] 二入组直接打85折
[00:01:04] 主委再加码送善存维他命C30定义瓶
[00:01:07] 新品善存叶黄素精华冻
[00:01:09] 二入组线折400
[00:01:11] 现在不进场真的亏大
[00:01:12] 这么好康还不手刀买进
[00:01:14] 做好有神保养
[00:01:15] 精准投资不在古海茫茫
[00:01:17] 详细资讯放在资讯栏
[00:01:18] 有兴趣的朋友走过路过
[00:01:20] 千万不要错过
[00:01:21] 天气变得超级热
[00:01:22] 我看夏天是已经正式到来
[00:01:24] 请大家在外面运动的时候
[00:01:26] 要比较注意一点
[00:01:27] 因为其实我在过去的数个月
[00:01:29] 就是疯狂在外面运动
[00:01:31] 我现在发现我的本业是运动
[00:01:32] 而不是做股票
[00:01:33] 或是什么加油的
[00:01:34] 甚至不是当一个好的身负
[00:01:36] 每天花最多的时间
[00:01:38] 就是在外面疯狂的运动
[00:01:39] 因为这样子
[00:01:40] 就体重是降来蛮顺利的
[00:01:41] 但在昨天跑去打网球
[00:01:43] 是第一次打到
[00:01:44] 就下午三点半的场
[00:01:45] 打到跟教练说
[00:01:47] 最后面15分钟直接跳过
[00:01:48] 因为再打下去的话
[00:01:49] 感觉要出事了
[00:01:50] 太阳晒到已经很像是
[00:01:52] 以前在屏东大舞营
[00:01:53] 做闪讯的时候
[00:01:55] 其实那时候我觉得蛮屌的事
[00:01:56] 你会知道说人的极限
[00:01:58] 真的是可以超出来的
[00:01:59] 一开始去大舞营闪讯的时候
[00:02:00] 真的是好几次都觉得
[00:02:01] 自己快挂掉
[00:02:02] 在部队很好笑
[00:02:03] 他都会给你一个喝水小卡
[00:02:05] 反正强迫大家你要喝水
[00:02:06] 因为怕会有人中暑之类的
[00:02:08] 一开始会觉得
[00:02:09] 晒到头昏脑脑
[00:02:10] 没有办法动
[00:02:11] 可是最后面真的都习惯了
[00:02:12] 你放假回家就会发现
[00:02:13] 钢盔的痕迹
[00:02:15] 已经晒在你的脸上
[00:02:16] 这次就有点像是说
[00:02:17] 又要重新回到部队那种
