[00:00:00] 欢迎收听古爱,我是孟公
[00:00:01] 本期节目由NordVPN赞助
[00:00:03] 暑假旅游旺季即将到来
[00:00:05] 现在正式提前规划好时机
[00:00:07] 面对贵松松的机票
[00:00:08] 不少人会透过NordVPN来切换不同地区比价
[00:00:11] 这也是很实用的一个小技巧
[00:00:13] 在查机票跟住宿的时候
[00:00:14] 不同地区跟国家显示的价格有所差异
[00:00:17] 想要精打细算控制预算的人来说
[00:00:19] 一键完成切换相当实用
[00:00:21] 除了比价
[00:00:22] 使用NordVPN也可以大大提升网络的安全保障
[00:00:24] 在规划行程会在咖啡厅外出
[00:00:27] 或是使用各种网路环境去查资料定行程
[00:00:29] 但是公共网路有时候在安全性上是难以掌握的
[00:00:32] 这个时候使用NordVPN可以帮助加密网路连线
[00:00:35] 就算是在公共的WiFi环境下
[00:00:37] 查住宿机票或是登录账号处理付款
[00:00:40] 也能够多一层保障
[00:00:41] 同时连线速度稳定
[00:00:42] 不太会影响到实际操作的体验
[00:00:44] 如果只有人在国外
[00:00:45] NordVPN也可以切换回台湾的IP
[00:00:47] 连接熟悉的网站或是常用的服务
[00:00:49] 使用上会更加的顺畅
[00:00:51] 像我自己在使用一些被锁区的软体
[00:00:53] 或者说你今天在海外要回来台湾去领手游的宝物的话
[00:00:57] 使用NordVPN都非常的方便
[00:00:58] 而且现在NordVPN不只是支援手机平板跟电脑
[00:01:01] 也支援Smart TV跟Apple Vision Pro
[00:01:04] 一个账号最多可以同时使用于10台装置
[00:01:06] 不论是在家或是外出都能够灵活使用
[00:01:09] 下次要透过我们资讯栏的专属链接
[00:01:11] NordVPN.com slash G-O-A-Y-E
[00:01:13] 或是在结账的时候输入优惠码 G-O-A-Y-E
[00:01:15] 立即享有期间限定优惠
[00:01:16] 购买两年方案加送四个月
[00:01:18] 并提供30天退款保证
[00:01:20] 不满意都可以随时取消临风险尝试
[00:01:22] 然后大概一个月前有听众在QA问说
[00:01:25] 肖男资本最近有什么新的动作
[00:01:27] 那时候是跟大家讲说
[00:01:28] 因为可能大家听我们节目听习惯会知道说
[00:01:30] 你知道像我们可能在开年的时候
[00:01:32] 在讲低轨道卫星
[00:01:33] 那后来又换成是一些光通的东西
[00:01:35] 那现在又换成是
[00:01:36] 可能像是被动元件之类的
[00:01:38] 那这个股票呢
[00:01:39] 是真的就是在几个月内
[00:01:40] 会有很多新的题材的变化
[00:01:42] 那可是在我们这种
[00:01:44] 比较平常是创投的游戏资本里面呢
[00:01:46] 它并不会在短期内有很多的变化
[00:01:48] 所以呢其实我们的游戏就是
[00:01:50] 按部就班的推过去
[00:01:51] 那除非台湾在短期内
[00:01:53] 突然间冒出一堆团队的话
[00:01:55] 那有可能推荐的速度就会变快
[00:01:57] 但实际上都是慢慢的有东西会推出来
[00:01:59] 那当然在今年就是
[00:02:00] 希望大家都可以支持红颜路比
[00:02:02] 那另外一款在明年会推出的叫做
[00:02:04] 暗花夜战Noah Bloom
[00:02:06] 那这款呢是一个2D的枪舞动作游戏
[00:02:09] 最近在YouTube上面
[00:02:11] 已经可以查到它的试玩的影片了
[00:02:13] 那大家也可以在我的FREDS
[00:02:15] 就平常我不会在FREDS发文
[00:02:16] 可是呢就是为了我们的游戏资本
[00:02:18] 那我就会去FREDS上面
[00:02:19] 稍微的借用FREDS
[00:02:20] 它有一个怎么讲
[00:02:22] 那种坐标之力的感觉
[00:02:23] 帮忙广告推广一下
[00:02:25] 那大家可以去看一下
[00:02:26] 它的试玩的影片
[00:02:28] 相信是非常的精彩
[00:02:29] 那这一款应该是会在明年才会推出
[00:02:31] 那希望大家可以持续支持
[00:02:32] 这些优秀的台湾团队
[00:02:34] 那同时呢也可以支持肖南资本
[00:02:36] 肖南资本会持续的去找寻
[00:02:38] 台湾的优秀团队
[00:02:40] 那去进行资本的长青投资
[00:02:42] 也就是说我们不会说投了之后
[00:02:44] 然后就整天问你说ROI是怎样
[00:02:46] 或者说甚至想要去影响一些游戏的创作
[00:02:49] 因为其实我们已经看了很多
[00:02:50] 现在做很大的游戏工作室
[00:02:52] 会注意到说
[00:02:53] 其实有蛮多的游戏
[00:02:54] 现在开始出现一些
[00:02:55] 像是剧情的同质性之类的
[00:02:57] 那当然也不要直接点名去凑人家
[00:02:58] 但我相信老玩家一定都感受到说
[00:03:00] 现在有一些大型的游戏工作室
[00:03:02] 那他们写的剧情
[00:03:03] 好像说千篇一律都是同一种
[00:03:05] 或者说可能会为了顾及政治正确
[00:03:07] 然后就要去搞一些
[00:03:08] 就是会实际上
[00:03:09] 让这些买单的玩家很不爽的内容
[00:03:12] 就我会觉得很多在骂这些游戏
[00:03:14] 说什么太血腥啊
[00:03:15] 太色情啊
[00:03:16] 太怎么样
[00:03:17] 有的没有的
[00:03:17] 那很多自己都不玩游戏啊
[00:03:19] 他并不会拿钱出来啊
[00:03:20] 可是呢
[00:03:20] 游戏公司为了去讨好这些人
[00:03:22] 为了去搞
[00:03:22] 所以的PC
[00:03:23] Political Correct
[00:03:24] 那就得罪到了蛮多玩家
[00:03:26] 那也引起了很大的一个反扑
[00:03:28] 所以呢
[00:03:28] 在近年其实Indie Games
[00:03:30] 或者一些比较小型的游戏工作室呢
[00:03:32] 那开始受到很多玩家的喜爱
[00:03:34] 因为他可能是有很多创新的玩法
[00:03:36] 或是一些
[00:03:36] 比较可以去
[00:03:38] 跳脱俗套叙事的
[00:03:40] 故事行进方式
[00:03:42] 那让大家非常的喜欢
[00:03:43] 那我们也是针对这样子的游戏工作室
[00:03:45] 去做投资啊
[00:03:46] 那希望可以扮演好一个
[00:03:47] 好的资本方的角色
[00:03:49] 也就是呢
[00:03:49] 其实讲难听一点
[00:03:51] 我们就是一群
[00:03:51] 敢玩敢投资的人
[00:03:53] 输了算了
[00:03:54] 死了算了
[00:03:54] 但当然我们并不是抱持着
[00:03:56] 钱乱丢没关系
[00:03:57] 因为这都是大家的辛苦钱
[00:03:58] 那我们的心态是
[00:04:00] 反正呢
[00:04:00] 我们就是看好一个东西之后
[00:04:02] 下好离手
[00:04:02] 那希望你可以发展的好
[00:04:04] 那不会在过程之中
[00:04:05] 去给予过多的一个指导期
[00:04:07] 那当然如果说团队有需要的话
[00:04:08] 我们都还是会持续的
[00:04:09] 去用我们自己的人脉跟关系
[00:04:11] 作为一些辅助
[00:04:12] 那大概是这样子
[00:04:13] 我跟大家报告一下
[00:04:14] 那大家也不是股东啦
[00:04:15] 还是要强调一下
[00:04:16] 因为有时候看到人家
[00:04:17] 提起来就会讲说
[00:04:18] 什么啊
[00:04:18] 这个是什么对外木质
[00:04:19] 这不是对外木质
[00:04:20] 这个全部都是我们自己人
[00:04:21] 就是自己人
[00:04:22] 自己的快乐好朋友
[00:04:23] 那大家因为有同样的理念
[00:04:25] 所以就一起搞钱来投资
[00:04:27] 所以就拿自己的钱来做一件
[00:04:28] 看起来可能以现在的角度来说
[00:04:30] 是偏向浪漫
[00:04:32] 有些人说去投资游戏
[00:04:33] 就等于是把钱丢到水里
[00:04:34] 但我们就觉得
[00:04:35] 反正爽跟开心是很重要的
[00:04:37] 人就是只有活一回
[00:04:38] 那在我们认真的去做滴滴
[00:04:40] 禁止调查之后呢
[00:04:42] 那我们相信我们会把钱
[00:04:43] 放在一个很好的地方
[00:04:44] 我们也相信台湾的游戏团队
[00:04:46] 我们也相信在AI时代呢
[00:04:48] 就是现在你的开发工具
[00:04:49] 是变多了
[00:04:50] 那我也相信说
[00:04:50] 生产力会加强
[00:04:52] 所以我认为我们应该
[00:04:53] 是会搭到一个不错的顺风车啦
[00:04:54] 那后面有后续再跟大家报告
[00:04:56] 那请大家支持这个暗花业站
[00:04:58] 在Steam上面可以找到
[00:05:00] 你要记得把它放到你的愿望清单
[00:05:02] 那也希望大家都可以来玩这些游戏啦
[00:05:04] 那当然我们自己的游戏呢
[00:05:06] 有些如果说上市之后呢
[00:05:07] 会尽量的在节目里做一些互动啦
[00:05:09] 不然说可能会抽一些CDKey送大家
[00:05:12] 也希望大家可以
[00:05:13] 持续的支持台湾的优秀游戏
[00:05:15] 那昨天在Telegram
[00:05:17] 有一位心急的地方爸爸
[00:05:18] 在里面问大家说
[00:05:20] 就是因为他的
[00:05:21] 还没出生的孩子呢
[00:05:22] 可能有一些身体上的状况
[00:05:24] 那看起来真的还蛮严重的
[00:05:25] 那想要问说
[00:05:27] 有没有可能哪里的医师可以去帮忙啦
[00:05:29] 那其实看到这种东西
[00:05:31] 就立刻让我想起
[00:05:32] 大概一年多前的一个回忆
[00:05:34] 就是那时候我的二儿子呢
[00:05:35] 安哥
[00:05:35] 那他在出生前的时候呢
[00:05:38] 算是遇到了蛮多恐怖的事情
[00:05:40] 那快速的recap一下
[00:05:41] 简单来讲就是说
[00:05:42] 第一次开始发现有问题
[00:05:43] 就是在高层次的时候
[00:05:45] 那帮我们照超音波的
[00:05:47] 我也不知道他是医师
[00:05:48] 还是说就是专门去看的
[00:05:50] 那个叫什么检验室之类的
[00:05:51] 那反正总之呢
[00:05:52] 就是我们知道以前
[00:05:53] 去照超音波或是高层次
[00:05:55] 就是Funding Games嘛
[00:05:56] 大家都很高兴
[00:05:57] 这是手搜
[00:05:58] 这是他的小鸡鸡或什么的
[00:05:59] 可是呢
[00:06:00] 就那一天的高层次超级安静
[00:06:02] 他完全不讲话
[00:06:03] 所以其实大概过了十分钟左右
[00:06:05] 我跟我老婆就已经知道不太对劲
[00:06:07] 然后看我他就是一脸快哭了
[00:06:08] 那我也是非常紧张
[00:06:09] 因为
[00:06:09] 为什么你他妈都不讲话
[00:06:11] 然后问他他也说
[00:06:12] 等下来跟你讲
[00:06:12] 等下来跟你讲
[00:06:13] 所以其实
[00:06:13] 不知道就当下是超级火大的啦
[00:06:15] 我当然不知道去怪这个
[00:06:16] 检验人员或什么
[00:06:17] 我就只是觉得说
[00:06:18] 干你为什么不讲
[00:06:19] 但其实像这样子的感受
[00:06:21] 在后来的一整年都是持续的发生
[00:06:23] 反正总之就是
[00:06:23] 因为我的孩子那时候就被造出来
[00:06:26] 只有一颗肾
[00:06:26] 然后肚子里面有一个囊种之类的
[00:06:28] 那所以呢
[00:06:29] 后来所有的医师团队
[00:06:31] 包含说我们后来转整去台大二一
[00:06:33] 大家都是那种
[00:06:34] 如临大敌的心态去面对
[00:06:36] 那当然这个对家长是好事
[00:06:37] 可是呢
[00:06:37] 一方面就是家长真的要扛住
[00:06:39] 那样子的压力
[00:06:40] 因为他们会用很高标准去做检验
[00:06:42] 所以像那时候安哥
[00:06:43] 从以前到现在
[00:06:44] 总共被讲的东西
[00:06:45] 就是说
[00:06:45] 首先少一颗肾
[00:06:47] 那是很明显的看得出来的
[00:06:48] 然后再就是说
[00:06:49] 腹腔的囊种
[00:06:50] 脑部的囊种
[00:06:51] 髋关节没有发育好
[00:06:52] 膀胱那边又有新的泡泡的产生
[00:06:54] 肠道那里好像有一些异常
[00:06:56] 然后所有东西就是
[00:06:57] 一直不停的跟你提
[00:06:58] 然后每次跟你提
[00:06:59] 你很煎熬的一点是
[00:07:01] 他当下就是像我讲的
[00:07:02] 你问他他也不跟你讲
[00:07:03] 那接着你要看报告
[00:07:04] 可能要等一个礼拜
[00:07:05] 所以每次
[00:07:06] 就是只要有新的东西出来
[00:07:08] 那一两个礼拜
[00:07:08] 你们家里就不用睡好了
[00:07:10] 你们就整天都一直在想这件事情
[00:07:11] 那当然就是感谢老天
[00:07:13] 感谢观音
[00:07:13] 跟感谢
[00:07:14] 就是所有的不可知的力量
[00:07:16] 还有当然感谢我们的医师们
[00:07:17] 那最后面的安哥
[00:07:20] 他现在才一岁左右
[00:07:22] 然后就已经超级会走路
[00:07:23] 他还没一岁
[00:07:24] 他就已经会走路了
[00:07:25] 然后跑来跑去
[00:07:25] 然后也长得非常的壮
[00:07:26] 白白壮壮的
[00:07:27] 看起来是非常健康的孩子
[00:07:29] 可是当下其实对我们来讲
[00:07:31] 真的像是那种
[00:07:32] 清天霹雳的感觉
[00:07:33] 特别是一开始在诊所的医师
[00:07:35] 直接告诉你说
