[00:00:00] 欢迎收听古埃,我是孟公
[00:00:01] 本期节目由台仨苦火星生计赞助
[00:00:04] What's your favorite?
[00:00:06] Oh my favorite?
[00:00:07] Yes, 5倍对策
[00:00:08] Stop, 5倍对策
[00:00:09] Yeah, 5倍对策
[00:00:10] 市场大概有两种人
[00:00:12] 永远在等低点的跟看准机会直接上的
[00:00:14] 老朋友火星生计,5倍对策
[00:00:16] 最狠在根本不加马卡
[00:00:18] 核心成分是日本专利B&N交互火性
[00:00:20] 就像是0050里面的台积电
[00:00:22] 扛起核心的仓位
[00:00:23] 再搭配透纳叶等10种机优负方
[00:00:26] 给你5倍体力,5倍魅力,5倍战斗力
[00:00:28] 扛得住核心之外
[00:00:30] 肯定也是近年男性宝剑的超热门题材
[00:00:32] 5倍系列其实有5倍对策跟5倍对策gold
[00:00:35] 两款,想要集站力拉满就选5倍对策
[00:00:38] 想要跟强势股一样长期稳健
[00:00:40] 直上顶规的5倍对策gold
[00:00:42] 配方无成5倍强化
[00:00:44] 加码顶级龙蟲草帮你打底
[00:00:46] 表现更霸气
[00:00:47] 就像是不懂股票就知道要买大盘
[00:00:49] 补给也是同个逻辑
[00:00:51] 交易量证明了一切
[00:00:52] 人家都已经热销破译了
[00:00:54] 等于早就被市场业证过
[00:00:55] 不懂没差直接跟着操作业
[00:00:57] 东西够强才有办法
[00:01:00] 给15天不满意就退费的保证
[00:01:02] 火星生计618档期
[00:01:04] 限时从6月11号到6月21号
[00:01:06] 有超多的优惠
[00:01:07] 5倍对策跟5倍对策gold
[00:01:09] 买到6入就现审至少2000元
[00:01:11] 再送觉醒B群一盒
[00:01:13] 下单再抽MacBook、iPad
[00:01:15] 进场跟补给一样
[00:01:16] 犹豫就会错过
[00:01:17] 连接在下面自己去看
[00:01:19] 这边提供给所有需要的朋友们
[00:01:20] 因为最近的市场真的是非常热
[00:01:22] 所以小弟觉得是有必要在这边
[00:01:24] 稍微的跟大家澄清一下
[00:01:26] 虽然老听众早就知道
[00:01:27] 但现在开始有很多新的听众的加入
[00:01:30] 老实讲蛮多新的听众
[00:01:31] 我自己是不太喜欢的
[00:01:32] 反正只要是每次跟着热度
[00:01:34] 一起上来的这些人
[00:01:35] 基本上蛮多都是非常讨人厌的人
[00:01:37] 所以我也希望他们赶快被市场淘汰
[00:01:39] 就不会再跑来烦我
[00:01:40] 就不然说现在开始会有些人
[00:01:41] 在我的YouTube就要去指导我
[00:01:43] 说什么生活该怎么样过
[00:01:44] 你这个药都乱打
[00:01:46] 你连人都不会做之类的
[00:01:48] 我就想说你们到底过怎么样的生活
[00:01:49] 怎么会好意思来讲
[00:01:51] 我的生活怎么样
[00:01:52] 就是拜托先看一下你他妈自己的生活
[00:01:54] 再来检讨我的生活好不好
[00:01:55] 怎么这么多怪咖跟那一种
[00:01:57] 我们之前会看YouTube一些搞笑影片会拍的
[00:02:00] 就那种超胖躺在沙发上
[00:02:02] 然后指着电视上的超级名模说
[00:02:04] 他的肚子太大
[00:02:05] 就他妈你先看看自己好不好
[00:02:06] 就最近真的太多这种他妈怪小跑出来
[00:02:09] 那再来也有一些地方的朋友
[00:02:11] 会跟我分享说
[00:02:12] 因为我自己本身是
[00:02:13] 像Fresh的话
[00:02:14] 我就是偶尔可能人家叫我看什么东西
[00:02:16] 我才会下载
[00:02:16] 因为我觉得这个平台
[00:02:17] 他的资讯量有点太杂
[00:02:19] 而且是怎么讲
[00:02:20] 就整天会有失智的情形产生
[00:02:22] 所以我不想要让自己的脑袋
[00:02:23] 去放这样子的东西
[00:02:24] 那就是偶尔人家cue到我
[00:02:25] 可能上来看一下
[00:02:26] 平常都是删掉
[00:02:27] 那就我朋友会跟我讲说什么
[00:02:28] 像他最近上面有蛮多人会去讲说
[00:02:30] 梦工说什么
[00:02:31] 那里面讲梦工说
[00:02:33] 或者说古埃说的
[00:02:34] 有很多他根本就是讲错
[00:02:35] 他有丢一些案例给我看
[00:02:36] 就是我觉得是这样子
[00:02:38] 就是大家想要去推某个东西
[00:02:40] 但是他不敢自己推
[00:02:41] 他就要讲说是梦工推的
[00:02:42] 即便我可能只是带过聊过
[00:02:44] 他就会说是我在推这个东西
[00:02:46] 那还有更夸张的是
[00:02:47] 会在一些小的群组里面讲说
[00:02:49] 什么他直接认识我
[00:02:50] 然后我再跟他推标的
[00:02:51] 我先讲一个
[00:02:52] 虽然这样讲可能有点丘丘丘丘
[00:02:54] 但是我跟这些人
[00:02:55] 是他妈不同世界的
[00:02:56] 我们没有必要去这样子推标的
[00:02:58] 我们真的去买一个东西的时候
[00:03:00] 以现在自己的规模来讲
[00:03:01] 我点一点他就去涨停了
[00:03:03] 所以我根本不需要去找
[00:03:04] 他妈一堆废物
[00:03:05] 然后说什么
[00:03:06] 可以买这个东西
[00:03:07] 大家一起上来推
[00:03:08] 就是这个是不同世界的对话
[00:03:10] 那当然信不信与否随便
[00:03:11] 因为其实像
[00:03:12] 现在要去攻击我的
[00:03:14] 我觉得越来越少
[00:03:14] 可是以前会看到
[00:03:16] 就是可能他们有些人会去嘴说
[00:03:17] 你看这个家
[00:03:18] 我都是在靠业配
[00:03:19] 那有些人就在嘴说
[00:03:20] 你看这个家
[00:03:21] 我都在收割他的听众
[00:03:22] 然后去抓我的分点
[00:03:23] 什么
[00:03:24] 反正大家都知道那几个
[00:03:25] 但你想我也不是白痴
[00:03:26] 我知道你们会看
[00:03:27] 我怎么可能整天
[00:03:28] 用同样的一个分点
[00:03:29] 那反正就会讲说
[00:03:30] 你看我把前面的股票
[00:03:31] 这样推上去
[00:03:32] 然后后来在那边出货
[00:03:33] 一出就是一两千张
[00:03:34] 我才想说
[00:03:35] 你们要不要先去吵架一下
[00:03:36] 你们先决定一下
[00:03:37] 要呛我的话
[00:03:38] 你到底是要呛说
[00:03:39] 第一个我是完全都没钱
[00:03:40] 都是靠业配收入
[00:03:41] 还是第二个
[00:03:42] 我其实是市场大二
[00:03:43] 然后我在收割大家
[00:03:44] 因为这两个东西
[00:03:45] 它是不能够同时存在的
[00:03:47] 好不好
[00:03:47] 所以我自己的定位是这样
