[00:00:00] 欢迎收听古爱,我是顺目公
[00:00:01] 本期节目由Ergotron赞助
[00:00:03] 我发现一件事蛮有趣的
[00:00:05] 很多人花几个小时在刷财报
[00:00:06] 看筹码研究半导体产业链
[00:00:08] 结果回过头来
[00:00:09] 你的交易环境跟狗屎一样
[00:00:11] 萤幕高度不对就会弯腰驼背
[00:00:13] 姿势歪七扭八也继续撑
[00:00:15] 反正能动就好
[00:00:16] 但说实话这就是一种低效率的自我折旧
[00:00:19] 你每天盯盘工作至少8个小时
[00:00:21] 如果硬体的配备不好用
[00:00:23] 长期下来不只是产出变差
[00:00:25] 你的脖子跟肩膀一定会出问题
[00:00:27] 这就跟投资一样
[00:00:28] 基础没有搞好后面都是浪费成本
[00:00:30] 后来我换了Ergotron的萤幕支架
[00:00:32] 本来想说这个东西不过就是个架子
[00:00:34] 结果用了之后真的回不去
[00:00:36] 它的支撑力跟流畅度没在开玩笑
[00:00:38] 基本上一根手指头
[00:00:39] 就可以把萤幕推到最舒服的位置
[00:00:41] 不管你是要专心的看盘拉爆表
[00:00:44] 还是下午要躺着追剧
[00:00:45] 都能够秒调到最爽的角度
[00:00:47] 这就是那一种你没有用过觉得没差
[00:00:49] 用过之后想说我之前在干嘛的东西
[00:00:52] 特别是你有双萤幕的人
[00:00:53] 那个空间解放感更明显
[00:00:55] Ergotron支架是给十年保固
[00:00:57] 基本上这可能是你整张桌子最耐操的东西
[00:01:00] 搞不好用到台股十万点
[00:01:01] 这支架还在那屹立不摇
[00:01:03] 如果说你也想优化一下自己的配置
[00:01:06] 现在结账的时候
[00:01:06] 输入我们的优惠代码大写的GOOAYE
[00:01:09] 全管萤幕支架直接九折
[00:01:12] 投资自己身体的硬体设施
[00:01:14] 是大概是这辈子胜率最高的交易
[00:01:16] 连结放在资讯栏这边
[00:01:17] 那这个萤幕支架真的非常好用
[00:01:19] 那像我自己也是有注意到说
[00:01:20] 长期坐在电脑桌前面
[00:01:21] 不然说像你
[00:01:22] 就来说假设你坐得太低的话
[00:01:25] 那你可能就会有耸肩的问题
[00:01:26] 那坐得太高的话
[00:01:27] 那有时候就会有驼背的问题
[00:01:29] 那除了把椅子跟可能脚踏垫处理好之外
[00:01:31] 我觉得把萤幕支架来弄好
[00:01:33] 它会让你更妥善的找到
[00:01:35] 适合自己的一个完美的姿势
[00:01:37] 那这边听我给所有需要的朋友们
[00:01:38] 可以在资讯栏那边找到跟着说明连结
[00:01:40] 那自从开始红酒探险之旅之后呢
[00:01:42] 我觉得这个人生变得更加充实
[00:01:45] 那我觉得它可能让我觉得
[00:01:46] 非常扎实的一点是在于说
[00:01:48] 因为红酒还蛮耐放的
[00:01:49] 那有些东西甚至是据来说
[00:01:51] 你买一些2022年份的酒
[00:01:52] 那你上网查一下就知道说
