[00:00:00] 欢迎收听古爱,我是圣木工,本期节目由Sally赞助
[00:00:03] 不知不觉一年过了快一半,时间真的是过很快
[00:00:05] 最近不少人开始在看端午连交,去哪里玩,甚至有些人行程都排好了
[00:00:09] 简单说就是人还在公司,但脑子已经在机场
[00:00:12] 这种时候会发生一件固定的事,出国需求开始上来
[00:00:15] 然后同个老问题一起回归,网路
[00:00:18] 很多人行程排得很满,机票、饭店、景点都研究得很细
[00:00:21] 但最容易出事情的是最基本的网路
[00:00:23] 到当地的才发现没有网路,导航卡住,轿车失败,餐厅找不到
[00:00:28] 整趟旅行变求生模式,现在比较省事的方法是eSIM
[00:00:31] 像Sally的eSIM,出国前先设定好,落地直接连线
[00:00:34] 不用换卡,不用找针,也不用在机场翻行李
[00:00:36] 流量可以在APP里面直接看,用完再加就好,不用整张重来
[00:00:40] 再加上VPN广告阻挡,基本上把出国最容易遇到的那一段全部处理掉
[00:00:45] 比较新的变化是iOS26也开始支援原生eSIM自动切换
[00:00:49] 出国时会自动启用旅游方案,回国再切回本地的门号
[00:00:53] 整体又再少了一步的操作
[00:00:55] 如果说你6月已经在看机票,网络这件事情可以先把它处理好
[00:00:58] 先下载Sally App,输入优惠代码GOOAYE
[00:01:01] 或是透过资讯栏的连结,sally.com slash GOOAYE
[00:01:05] 像85折的优惠,在那里面也有给所有需要的朋友们
[00:01:07] 参加完今年的Computex,觉得是收获非常多
[00:01:10] 我觉得今年的展会可能是我在过去的两三年最喜欢的一场
[00:01:14] 当然今年的展会在网络上也有很多讨论
[00:01:16] 你要知道其实每个东西都一定丢出来会有正方跟反方的一些意见
[00:01:20] 一般反方的意见都会被放到很大
[00:01:22] 大家就会觉得是不是可能不太好或什么的
[00:01:25] 就会对人开始出来hater,出来干狗什么有的没有的
[00:01:28] 比较常看到一些讨论在讲说
[00:01:30] Computex已经不纯粹了
[00:01:32] 已经不是厂商却在那边换名片了
[00:01:34] 是一堆死老百姓也会跑进去
[00:01:36] 然后再来就是有人讲说
[00:01:37] 有一些追星仔也会跑进去
[00:01:39] 他根本就不懂产业或什么的
[00:01:40] 其实我觉得这是好事情
[00:01:41] 当然可能对里面一些去做demo的人来说
[00:01:44] 他会觉得说他会有蛮多的无效常识
[00:01:47] 我跟一个死老百姓解释了半天
[00:01:49] 你也不会买我们的东西
[00:01:50] 那我干嘛跟你解释
[00:01:51] 可是这个某个程度上就是出圈的意志
[00:01:53] 就像是我的节目
[00:01:54] 因为希望说从后到尾都跟大家讲一些
[00:01:56] 我们真的在市场里面做的东西
[00:01:58] 可是为什么我每次讲到周面
[00:01:59] 我都会跟大家讲说
[00:02:00] 好啦你们还不懂得先去买指数
[00:02:01] 因为我知道我的节目
[00:02:03] 他妈很多死老百姓
[00:02:04] 因为我们就出圈了
[00:02:05] 出圈的时候就是会有一些
[00:02:07] 怎么讲
[00:02:08] 就是说他并不是可能对这个东西
[00:02:10] 研究很深的人来听
[00:02:11] 他听你的做法他去做
[00:02:13] 他真的可能会BBQ他会爆炸
[00:02:14] 就像有一个大妈
[00:02:15] 如果他真的跟你讲说
[00:02:16] 那个server rack给我来一 rack
[00:02:18] 他真的有他妈一亿
[00:02:19] 他会跟你买的话
[00:02:19] 你卖他吗
[00:02:21] 所以你会跟他讲说
[00:02:22] 阿姨你还是去买隔壁的RTX Spark就好了
[00:02:24] 就是有点类似那样子的感觉
[00:02:26] 那没有办法
[00:02:27] 就是人多了之后
[00:02:28] 就一定会有这样子一个情形
[00:02:29] 那我觉得其实对于第一线的人员
[00:02:31] 他们可能会很干扣
[00:02:32] 因为觉得说花很多时间去做无效沟通
[00:02:34] 可是对老板来讲
[00:02:35] 大家一定是很开心的
[00:02:36] 因为这么多人来参与
[00:02:37] 那其实是让整个测详度变得更高
[00:02:39] 那有些生意是这样子
[00:02:40] 他不一定是在当下
[00:02:41] 感觉是有办法接到
[00:02:43] 因为可能是一个大妈
[00:02:44] 一个阿姨
[00:02:45] 或是一个小弟
[00:02:45] 什么高中上来听
[00:02:46] 可是你不知道他背后爸爸是谁
[00:02:51] 在他们的公司建一个Enterprise的Server
[00:02:53] 所以很难说
[00:02:54] 我觉得就这样比较去
[00:02:55] 怎么讲
[00:02:56] 以偏盖拳或是以貌取人
[00:02:58] 然后看到人家怎么样
[00:02:59] 然后说一堆死老百姓来看展
[00:03:00] 或什么不纯粹的或撒小
[00:03:02] 我觉得这是一个很怪的讨论
[00:03:04] 那当然有些人讲的像什么
[00:03:06] 一堆追星族
[00:03:07] 我是只会觉得说人太多
[00:03:09] 可能会有一些烦躁
[00:03:10] 但也不会真的觉得讨厌
[00:03:12] 因为黄文勋
[00:03:12] 他就真的变Superstar
[00:03:14] 一个白发阿伯
[00:03:15] 然后走在台北的路上
[00:03:16] 每个人跟追韩国什么
[00:03:18] 完了
[00:03:19] 我现在如果讲韩团
[00:03:20] 大家知道我年纪很大
[00:03:21] 我只想得到Super Junior
[00:03:22] 我不知道他妈最新的是谁
[00:03:24] 反正就像是这样
[00:03:25] 就大家看到白发阿伯
[00:03:26] 就嗨了
[00:03:27] 高潮喷水
[00:03:28] 看他什么的
[00:03:29] 所以你没有办法
[00:03:30] 就是他在这个地方会出行
[00:03:32] 那当然就会有一堆他的追星族来
[00:03:34] 甚至是你到现场去看
[00:03:35] 你会觉得整个Computex
[00:03:37] 当然我主要是聚焦在一管四楼的部分
[00:03:40] 好像说是黄文勋的涂鸦墙一样
[00:03:43] 就是你走到哪都会看到他的签名
[00:03:45] 真的是走到哪都是人勋哥的签名
[00:03:47] 那当然有些签名不一定是说
[00:03:48] 他今年走到哪就是故意要
[00:03:50] 这个地方要留下一点痕迹之类
[00:03:52] 那可能是去年的
[00:03:52] 大家把一样的背板
[00:03:53] 或是说曾经被他签过的产品拿出来
[00:03:55] 但你真的走到哪就发现说
[00:03:57] 其实Computex case slash
[00:03:58] 这个是人勋斩
[00:03:59] 就你走到哪都是人勋的东西
[00:04:00] 那有些人也对这个很感冒
[00:04:02] 就是说是怎样
[00:04:03] 怎么全部来追星
[00:04:04] 但我觉得大家要放宽心
[00:04:05] 就这个东西走出来
[00:04:07] 让大家明白
[00:04:08] 那同时越来越多
[00:04:10] 感觉是不相关的人介入
[00:04:11] 就代表说
[00:04:12] 其实你这个东西是红了
[00:04:13] 你已经不是圈内自己人在玩的
[00:04:15] 那他也会额外再产生很多机会
[00:04:17] 大概这样
[00:04:18] 那可能就是第一线去做解释的人
[00:04:20] 会稍微的烦躁一点
[00:04:21] 但老板们我相信是非常开心的
[00:04:23] 那我对于这次的展会
[00:04:25] 我也是觉得是开心的
[00:04:27] 因为看到了蛮多
[00:04:28] 我认为跟过去的一两年比起来
[00:04:30] 怎么讲
[00:04:31] 我自己是很相信未来科技的人
[00:04:33] 我也是相信说科技可以产生
[00:04:35] 很多很酷很新的变化
[00:04:36] 可是当整天都在跟我打高空的时候
[00:04:39] 那我自己会雷达大响
[00:04:41] 我就觉得很奇怪
[00:04:42] 就是你怎么在跟我讲一些
[00:04:44] 未来怎么样
[00:04:45] 未来怎么样
[00:04:45] 我很讨厌听到人家开口闭口
[00:04:47] 就未来这样
[00:04:48] 你直接告诉我说
[00:04:49] 现在可以做什么
[00:04:50] 因为如果现在可以做的东西
[00:04:51] 就像说类似我们玩手游
[00:04:53] 你知道吗
[00:04:54] 那个卡片有时候你多抽几张
[00:04:55] 那你点到加三之后
[00:04:57] 他就直变
[00:04:57] 什么叫直变
[00:04:58] 他可能CD少两回合之内
[00:05:00] 光这样子
[00:05:00] 那就会造成非常巨大的一个改变
[00:05:03] 所以其实你只需要把你的生产力
[00:05:05] 持续的往上点
[00:05:06] 点到某个地方
[00:05:07] 就会开支善业
[00:05:09] 就会产生很多新的应用跟可能性
[00:05:11] 你不用坐在那边跟大家讲说
[00:05:13] 来我们想想象一个未来是怎么样
[00:05:14] 因为我觉得那个是很好笑的啦
[00:05:16] 你在AI的第一年这样做可以
[00:05:18] 可是在第二年第三年
[00:05:19] 像之前还是会看到很多的什么机械狗
[00:05:21] 或是很多不明所以然的AI应用
[00:05:25] 就会觉得搞不好真的有泡泡存在的可能性
[00:05:29] 会不会真的后面要泡沫化之类的
[00:05:31] 但像今年的话就不会给你这样子的一个感受
[00:05:34] 今年看下来每个东西都是超级实际的
[00:05:37] 而且是真的会让你看完就说
[00:05:39] Shut up take my money
[00:05:40] 就是我要直接跟你买下来太帅了
[00:05:42] 那首相先非常感谢邀我去看展的各路好朋友们
[00:05:46] 其实是真的非常多人都会来邀展
[00:05:49] 那只是小弟没有这么多的时间
