[00:00:00] 欢迎收听古爱,我是顺目公,本期节目由知识卫星,企业财税必休克
[00:00:04] 五大模组带你合法结税,精准避险赞助
[00:00:08] 最近跟创业者老板聊天,发现很多公司不是不赚钱
[00:00:11] 而是不知道哪些钱可以合法的省下来
[00:00:14] 很多老板都以为公司有赚钱,但最后发现剩下来的很少
[00:00:18] 大老板们谈尽力,谈的是税后尽力
[00:00:20] 但如果说没有把税算进去,那就无法衡量公司的真实利润
[00:00:25] 更可怕的是平常看起来没事,遇到查税补税罚款
[00:00:29] 才发现账务合约发票,股东往来早就埋了一堆地雷
[00:00:33] 所以这次要推荐给中小企业主创业者财务人资营运伙伴这一堂课
[00:00:39] 他不是教你几招年度的节税小技巧
[00:00:42] 而是把节税从事后补救变成公司日常就能够运作的制度
[00:00:46] 课程首创FOREV法税系统
[00:00:49] 把复杂的税法拆成企业一定会遇到的五大环节
[00:00:53] 从开公司怎么选组织的形态,登记地址怎么避雷
[00:00:57] 到日常发票费用,薪资,账务怎么去做处理
[00:01:00] 再到合约,股东资金往来,股权转让,罚单减免等风险控管
[00:01:05] 甚至如果公司未来要出海去设海外子公司
[00:01:08] 处理境外资金也会讲到CFC,租税协定和跨国税务规划
[00:01:13] 我觉得这堂课最实用的是它不是要老板自己变会计
[00:01:17] 而是让你听得懂财税语言,看得出公司的风险
[00:01:20] 知道哪里可以合法结税,哪里千万不能采线
[00:01:23] 课程会用真实案例白话讲解,还附上法税检查表
[00:01:27] 年度税务行事例,让你可以直接回公司检查
[00:01:31] 发票有没有问题,合约有没有漏洞
[00:01:33] 哪些交易其实可以提早规划
[00:01:35] 如果说你也想让公司建立一套合法结税
[00:01:38] 精准避险的营运体制
[00:01:39] 这一堂成眼任的企业财税必修课就很适合现在开始学
[00:01:44] 像他课程开放现实优惠
[00:01:46] 点击节目资讯连结帮你的公司少缴冤枉税
[00:01:49] 也避开不必要的财税风险
[00:01:51] 过去一个礼拜有点不知道到底是发生什么事情
[00:01:55] 所以自己在盘中基本上像是没事做
[00:01:57] 因为绝加多数部位都已经进入储置股
[00:02:00] 有好几档甚至是关20分钟那一种
[00:02:02] 关20分钟的股票一般来讲
[00:02:04] 我们就是不太会动
[00:02:05] 就是在里面让它随风飘逸这样
[00:02:08] 所以可能像一些手上的被动元件
[00:02:10] 在过去的一阵子甚至有出现跌停
[00:02:12] 跌停你也没有办法卖
[00:02:14] 你也不会想卖了
[00:02:15] 甚至就反而变成是加码了
[00:02:17] 因为我来都来了
[00:02:18] 我也套在里面不能动
[00:02:19] 我知道大家恐慌乱烧
[00:02:21] 我就加码
[00:02:21] 然后加码加一加
[00:02:22] 又再继续喷出去了
[00:02:23] 所以我不知道
[00:02:25] 四月对很多人来讲
[00:02:26] 是一个超级兴奋跟很爽的行情
[00:02:28] 但我自己的五月又刷了四月的新高
[00:02:30] 又比四月更加的夸张
[00:02:32] 所以算是感谢这个市场
[00:02:34] 那就沉溺在我的Facebook上面
[00:02:37] 因为我去在古来的粉专分享
[00:02:39] 红颜鹿笔在七月
[00:02:40] 已经确定要正式上线了
[00:02:42] 我分享这个文章之后
[00:02:43] 下面就跟留言讲说
