[00:00:00] 欢迎收听古爱,我是盛梦公,本期节目由NordVPN赞助
[00:00:03] 6月了,夏日旅游旺季已经展开,你是否还在犹豫旅游规划?
[00:00:08] 现在真是时候为你的家庭旅行完成最终准备
[00:00:11] 面对贵松松的机票,不少人会透过NordVPN切换不同地区来比价
[00:00:15] 这也是规划旅游时最实用的小技巧
[00:00:18] 在查询机票或住宿的时候,不同国家跟地区显示的价格确实会有所差异
[00:00:23] 对于想要精打细算控制预算的人来说,只要一键就能够完成切换相当实用
[00:00:28] 除了比价,使用NordVPN也能够大大的提升网络安全保障
[00:00:31] 在规划行程时,常常会在家里咖啡厅或外出的时候
[00:00:34] 使用各种网络环境查资料定行程
[00:00:37] 但公共网络其实在安全性上比较难掌握
[00:00:39] 这个时候使用NordVPN可以帮助加密网络连线
[00:00:42] 就算是在公共的WiFi环境下查询住宿机票或是登陆账号处理付款
[00:00:47] 也能够多一层的保障
[00:00:49] 同时连线速度稳定不太会影响到实际的操作体验
[00:00:52] 如果之后人已经在国外,NordVPN也可以切换回台湾的IP
[00:00:55] 连接熟悉的网站跟常用服务使用上更加顺畅
[00:00:58] 那像我自己有时候会使用NordVPN来解决跨区被锁住的问题
[00:01:02] 非常的好用
[00:01:03] 现在NordVPN不只是支援手机平板跟电脑
[00:01:06] 也支援Smart TV和Apple Vision Pro
[00:01:08] 一个账号最多可以同时使用于10台装置
[00:01:11] 不论是在家或外出都能够灵活使用
[00:01:13] 现在再透过我们资讯来的专属连接
[00:01:15] NordVPN.com slash GOOAYE
[00:01:17] 或在结账的时候输入优惠码GOOAYE
[00:01:20] 立即享有期间限定优惠
[00:01:22] 购买两个方案加送四个月
[00:01:23] 并提供30天的退款保证
[00:01:25] 不满意都能够随时取消零风险尝试
[00:01:28] 好那过去一个礼拜在精神跟口腹上面
[00:01:31] 都获得了巨大的一个满足了
[00:01:34] 那当然精神方面就还是持续的去实践最新的慢下来运动
[00:01:38] 包含说像是好好的呼吸
[00:01:39] 那好好的深呼吸
[00:01:41] 不只是你的腹腔
[00:01:42] 不然说你的下背都要把它鼓起来
[00:01:44] 让你的身体有支撑
[00:01:45] 那再来就是把一些动作变慢
[00:01:47] 小到去对面的7-11买一瓶咖啡
[00:01:51] 那大到可能不知道
[00:01:53] 就是陪孩子洗澡的时候
[00:01:54] 以前就是赶快录一录啊
[00:01:55] 每天重复的事情
[00:01:57] 那现在就会想说
[00:01:58] 就慢慢的把每根头发都洗好
[00:02:00] 然后再来用吹风机慢慢的把它吹干之类
[00:02:03] 就是你把一些事情慢下来之后
[00:02:05] 那又有新的一番风味
[00:02:07] 所以最近都还在慢慢的感受这件事情
[00:02:09] 那当然老天众都知道我的个性
[00:02:11] 反正我是一窝蜂
[00:02:12] 说不定一段时间之后
[00:02:13] 我想说妈的
[00:02:13] 真的是只有娘炮才这么慢
[00:02:15] 赶快回去那种很快速的生活
[00:02:17] 但总之我现在对我自己的一个要求就是
[00:02:19] 当我现在喜欢什么东西
[00:02:20] 我就非常认真的投入
[00:02:22] 那最终呢
[00:02:22] 就算他没有留下来
[00:02:24] 可是他也帮我留下了一段记忆
[00:02:26] 那这我觉得是一个挺好的事情
[00:02:27] 那在口腹方面的满足呢
[00:02:29] 就是非常感谢
[00:02:30] 我也不知道那个乐花
[00:02:31] 他们是怎么样找到我了
[00:02:33] 反正就是可能不知道
[00:02:34] 有听众还是怎么样吧
[00:02:35] 然后就问我说
[00:02:36] 先生要不来参加品酒会啊
[00:02:38] 那我看了一下
[00:02:38] 我就自费去参加了
[00:02:40] 那也好在自己有去参加
[00:02:42] 因为本来我心中在那边
[00:02:43] OS是在想说
[00:02:44] 这种场合真的适合我这种菜皮
[00:02:47] 把它去嘛
[00:02:47] 然后再来就是
[00:02:48] 因为大家都知道说
[00:02:50] 我是比较不喜欢人多的场合
[00:02:52] 或甚至是有可能需要
[00:02:53] 去发表的一些场合
[00:02:54] 所以那时候还跟
[00:02:55] 来邀请的业务
[00:02:56] 就问他说
[00:02:57] 有没有办法
[00:02:58] 就是你把我放在某一个角落
[00:03:00] 那我不需要去跟任何人对话
[00:03:01] 他说先生
[00:03:02] 你只要专注了
[00:03:03] 跟你面前的酒对话就好
[00:03:04] 你不用跟任何人对话
[00:03:05] 我说太好了
[00:03:06] 就是这样子一个场合
[00:03:07] 就对了
[00:03:08] 我就去
[00:03:08] 那他们是办在
[00:03:10] 嘉佩的饭店
[00:03:10] 这真的是一个
[00:03:11] 非常精美的饭店
[00:03:12] 那个饭店做得很精致
[00:03:14] 那它里面有一些
[00:03:15] 特殊的空间
[00:03:16] 每个都让我充满
[00:03:18] 这个非常深的印象
[00:03:19] 也在想说
[00:03:20] 这有机会的话
[00:03:21] 可能可以去包场
[00:03:22] 然后带一些朋友进去之类的
[00:03:24] 那他们的经理呢
[00:03:25] 就带我们一行人
[00:03:26] 就到处看了一下
[00:03:27] 里面的各种设施
[00:03:28] 包括像餐厅
[00:03:28] 或这些特殊的空间
[00:03:29] 有些空间蛮特别的
[00:03:31] 就是说在一个饭店里面
[00:03:32] 打开一道门
[00:03:33] 突然好像回到你家一样
[00:03:34] 然后里面有一个厨房
[00:03:35] 他说你可以自己
[00:03:35] 带自己的厨师来这边
[00:03:36] 做菜给大家吃
[00:03:37] 或是你可以请
[00:03:38] 我们饭店的厨师
[00:03:39] 你就把这个地方包下来
[00:03:40] 你还有自己的一个
[00:03:41] 小terrace
[00:03:42] 可以走出去来一面
[00:03:43] 我觉得说
[00:03:43] 哇这个饭店超级精致
[00:03:45] 然后在这么精致的饭店里面
[00:03:47] 去品名这么好的酒
[00:03:48] 真的是觉得
[00:03:48] 人生的一大乐趣
[00:03:50] 太开心了
[00:03:51] 那当天当然
[00:03:53] 喝的这些东西呢
[00:03:54] 老实讲
[00:03:54] 以我的水位来说
[00:03:55] 我目前是没有办法
[00:03:57] 喝懂太多
[00:03:57] 可是我觉得
[00:03:58] 我非常幸运
[00:03:59] 遇到一群非常热心的
[00:04:00] 大哥跟大姐
[00:04:03] 我最想的是
[00:04:03] 我就是不要跟任何人对话
[00:04:04] 我就是进去里面
[00:04:05] 自闭而做完自己的事情就好
[00:04:07] 那同时也是有一点那种
[00:04:08] 就是小自卑感吧
[00:04:09] 就知道说
[00:04:10] 我自己就菜一碧吧
[00:04:11] 我就不懂嘛
[00:04:11] 我讲话一定会丢脸嘛
[00:04:12] 所以最好都不要有人
[00:04:13] 问我任何东西
[00:04:14] 就让我自己默默的去感受就好
[00:04:15] 那只是没有想到这个圈子
[00:04:17] 至少我现在接触到的人
[00:04:19] 包含说像是
[00:04:20] 之前带我入坑的一些
[00:04:21] 大哥们
[00:04:23] 然后或者是说
[00:04:24] 去这次品酒会的
[00:04:25] 这些地方闲打大大门
[00:04:26] 其实大家都是非常的热情
[00:04:28] 他们不会因为说
[00:04:29] 像我有一次
[00:04:30] 可能大家喝完一轮之后
[00:04:32] 然后去发表一些意见
[00:04:34] 那时候你知道我是很紧张的
[00:04:36] 我就想说
[00:04:36] 他们每个人都可以言之有误
[00:04:38] 而且他们讲的
[00:04:40] 你知道不是在什么
[00:04:40] 豪小fucking bullshit之类
[00:04:42] 他去形容的一些味道
[00:04:44] 那真的就是
[00:04:44] 你认真闻
[00:04:45] 你可以闻得出
[00:04:46] 他们所提到的这些味道
[00:04:48] 一开始你会先感受到什么
[00:04:49] 那后面是什么
[00:04:50] 甚至有一些非常生活化的
[00:04:52] 像他讲说
[00:04:53] 有其中的一瓶
[00:04:54] 他可能是已经是
[00:04:55] 差不多到巅峰期
[00:04:56] 要开始往下走
[00:04:57] 像这样子的酒
[00:04:58] 会有什么样的特性呢
[00:04:59] 他可能会闻起来
[00:05:00] 有点像是金针菇的味道
[00:05:02] 一讲我想说
[00:05:03] 原来这就是金针菇的味道
[00:05:05] 因为我刚才就在想说
[00:05:06] 这是什么味道
[00:05:06] 这个就是我平常在家
[00:05:08] 自己煮麻辣火锅
[00:05:09] 在切金针菇的尾巴的时候
[00:05:11] 就是会闻到这个味道
[00:05:12] 所以我后来开始
[00:05:13] 去意会到一件事情
[00:05:14] 这有点像是在学语言
[00:05:16] 当你不懂这个语言的时候
[00:05:17] 你说法国人在讲什么
[00:05:18] 就是你只会觉得说
[00:05:21] 你爸在说什么
[00:05:22] 你只会用这种
[00:05:24] 甚至有点细虐的方式
[00:05:25] 说听不懂
[00:05:25] 可是当你认真的去了解
[00:05:29] 这个语言之后
[00:05:30] 你会发现
[00:05:31] 他们在形容的一些
[00:05:32] 可能水果
[00:05:33] 泥梅
[00:05:33] 或者说花香
[00:05:35] 甚至是金针菇
[00:05:36] 香菇
[00:05:37] 什么松露
[00:05:39] 菌菇
[00:05:39] 地板
[00:05:40] 土壤
[00:05:40] 什么的味道
[00:05:41] 那个是你真的是有办法
[00:05:43] 在这里面闻到
[00:05:43] 我觉得其中一个
[00:05:45] 最容易理解的是
[00:05:46] 当你把酒喝完之后
[00:05:47] 它开始有点干涸
[00:05:48] 你会在里面闻到一股茶味
[00:05:50] 这个茶味就是
[00:05:51] 应该是找一个monkey进来
[00:05:53] 它都有办法闻到这个茶味
[00:05:54] 所以在他们的引导之下
[00:05:56] 我就觉得说
[00:05:56] 我好像真的懂了
[00:05:58] 就是我面前这杯东西
[00:05:59] 它到底是什么
[00:06:00] 那当然我们先不去讨论
[00:06:01] 有的没有的什么价格
[00:06:02] 稀缺性
[00:06:03] 什么都不去讨论
[00:06:04] 至少我终于知道
[00:06:05] 我自己喝的东西是什么
[00:06:06] 那之前我可能都不知道
[00:06:07] 我只有办法讲出
[00:06:09] 好吃不好吃
[00:06:10] 这边也跟大家讲一下
[00:06:11] 因为有些人看到报道
[00:06:12] 丢给我说
[00:06:13] 你只会跑去当500碗的评审
[00:06:15] 那其实也不是评审
[00:06:16] 就好玩
[00:06:16] 反正就邀我
[00:06:17] 来分享一下你喜欢的500
[00:06:19] 不是500
[00:06:20] 小吃10个
[00:06:21] 要参加500碗
[00:06:23] 然后后面有一个500碗
[00:06:25] 对那小弟就有去列出
[00:06:27] 自己喜欢的一些餐厅之类
[00:06:28] 但你知道我的词是不多的
[00:06:30] 我吃的东西应该算是很多
[00:06:31] 跟一般人比起来
[00:06:33] 反正不管是很高端的
[00:06:35] 还是很接力气的摊饭
[00:06:36] 或什么的
[00:06:37] 反正我就是到处吃
[00:06:38] 我也有很多机会
[00:06:39] 这样去做尝试
[00:06:40] 可是当你叫我去形容的时候
[00:06:41] 我永远就是
[00:06:42] 好吃不好吃
[00:06:43] 好喝不好喝
[00:06:45] 就这样没了
[00:06:45] 那甚至以前我也觉得说
[00:06:47] 形容太多的人这样
[00:06:48] 装逼宅
[00:06:48] 就是你就是装逼宅
[00:06:49] 可是当你看到一些人
[00:06:51] 他把这个味觉跟嗅觉
[00:06:53] 玩到已经是
[00:06:55] 不知道
[00:06:55] 很像我们小时候
[00:06:57] 在玩游戏玩卡
[00:06:58] 熟悉各种规则一样
[00:06:59] 他已经知道
[00:07:00] 每个东西可能会有什么味道
[00:07:01] 那其中一位大哥更屌
