[00:00:00] 欢迎收听古爱,我是沈梦公
[00:00:01] 本期节目由东碧糖赞助
[00:00:03] 懂得擒贼仙擒王的道理
[00:00:05] 这一集干妈东碧糖一开始联络
[00:00:07] 不是问我要不要试吃
[00:00:08] 而是指名寄给我太太体验
[00:00:09] 这款热销的东碧糖珍珠艺人红豆粉
[00:00:12] 就是被五星认证的好东西
[00:00:14] 东碧糖招牌珍珠艺人红豆系列
[00:00:17] 被广大爱用者号称消水神器
[00:00:19] 身体湿气对男女来说都不能够忽视
[00:00:21] 尤其是酒座办公室冷气吹整天
[00:00:23] 小腿肿胀脱掉袜子的袜痕
[00:00:25] 可以夹死蚊子那种湿气卡住的感觉
[00:00:27] 或是像是丁盘酒做熬夜打电动宵夜吃太咸
[00:00:31] 应酬喝酒隔天早上起来肿得像肉包
[00:00:34] 都是典型的湿气太重造成的沉重感
[00:00:36] 这次的新品珍珠艺人红豆粉
[00:00:39] 是全新升级的粉剂吸收更快
[00:00:41] 一个月后身体轻盈有感
[00:00:42] 连贫富的透亮度都提升
[00:00:44] 这东西完全符合这种数据控跟效率控我的逻辑
[00:00:48] 它不是市面上那种叫你慢慢煮
[00:00:50] 慢慢熬到天荒地老的红豆水
[00:00:52] 而是直接给你1000倍的日本专利红豆萃取技术
[00:00:55] 还有60倍浓缩艺人萃取精华
[00:00:57] 不知取得SGS认证
[00:00:58] 连中医师都背书推荐成分干净
[00:01:01] 买东西要直接供顶有效率
[00:01:03] 一包直接帮你消水透亮
[00:01:04] 把那些不需要的负担排掉
[00:01:06] 刚好今天播出是520
[00:01:07] 520这个日子以前都是商人的烂把戏
[00:01:10] 但瞎自己结婚当老爸
[00:01:11] 经历过社会毒打就发现
[00:01:13] 找机会在特定的日子跟另一半表示一下
[00:01:15] 胜率极高
[00:01:16] 这次东碧糖给听众的诚意真的很大
[00:01:19] 优惠过往要等618电商购物节才有
[00:01:22] 但是古来的听众没有在排队的
[00:01:24] 醉杀优惠直接在节目里提前开跑
[00:01:26] 全台第一手拿到折扣架
[00:01:27] 不用等物流塞车人挤人
[00:01:29] 现在买就是最快到货
[00:01:30] 再加码开运堂的招财小马皮革调试
[00:01:33] 不限金额前300名下单都可以拿到
[00:01:36] 直线古来的听众一马在手股市狂涨
[00:01:38] 弄好这一桶
[00:01:39] 整年都不用粘在墙壁上
[00:01:41] 520拿着东碧糖的下单画面去壁东另一半
[00:01:44] 真心建议男生女生都可以试试看看
[00:01:46] 东碧糖的珍珠艺人红豆粉
[00:01:48] 好那这边要跟大家非常骄傲的
[00:01:50] 也不是说宣布了
[00:01:51] 就是稍微的分享一下
[00:01:53] 就是我的减重目标呢
[00:01:54] 78公斤直接就达到了
[00:01:56] 就是大概只花了一个月多左右
[00:01:59] 快两个月的时间
[00:02:00] 那顺利的从大概84 85左右
[00:02:03] 直接回到就现在每天早上去量的话呢
[00:02:06] 大概落在7778
[00:02:07] 那当然你说这个瘦瘦症
[00:02:09] 要不要在这个地方就把它停掉
[00:02:11] 因为我自己是觉得说
[00:02:12] 瘦瘦症对我的生活影响是极小
[00:02:14] 不然说像是胃口不止没有被影响
[00:02:16] 反而胃口变好
[00:02:17] 很想要吃东西
[00:02:18] 那食量呢稍微的小一点点
[00:02:20] 那内脏脂肪又往下跑
[00:02:21] 所以我自己是觉得说
[00:02:22] 那既然来都来了
[00:02:23] 就把它再继续往下压
[00:02:25] 可能压到不知道
[00:02:26] 7271吧
