[00:00:00] 欢迎收听古爱,我是陈梦公
[00:00:01] 本期节目由ZZSleeper-2度两感忘忧整赞助
[00:00:05] 最近盘势强到让人害怕
[00:00:07] 大盘指数4万2000点
[00:00:08] 台积电喷到2345
[00:00:10] 很多人在问这是不是高点泡沫
[00:00:12] 但跟你说真正的泡沫是你每天睡不到4小时的体力
[00:00:15] 各位在那边算期望值什么风暴比
[00:00:18] 却放任自己的颈椎每天处于违约的边缘
[00:00:21] 很多人凌晨3点还在刷美股
[00:00:23] 醒来脖子卡了跟发哥关禁币一样动弹不得
[00:00:26] 你要知道决策品质跟睡眠品质是正相关的
[00:00:29] ZZSleeper-1U症
[00:00:31] 由物理治疗师联手设计
[00:00:32] 三种高度跟双弧度切面
[00:00:34] 不管你是正躺正在思考停力点
[00:00:37] 还是测睡华群组看谁又在汪汪叫
[00:00:39] 它的双弧度切面都能够完美的贴合
[00:00:42] 让你的颈椎不再跌破支撑
[00:00:44] 帮你撑住那颗装满镖骨的脑袋
[00:00:46] 特别是那个负二度两感内整套
[00:00:49] 在这个市场过热大家都想要O-in的时刻
[00:00:52] 头一靠上去那种强迫冷静的降温感
[00:00:55] 真的会让你少下几笔冲动的单
[00:00:57] 咨询员这边点下去
[00:00:58] 登陆立即响诸位专属无二折起优惠
[00:01:02] 投资有赚有赔
[00:01:03] 但睡好觉绝对是最好的套利空间
[00:01:05] 这个枕头真的是非常好
[00:01:07] 所以我很喜欢我自己的枕头
[00:01:08] 其他都是习惯会使用两个
[00:01:10] 一个是放在脖子下面当然
[00:01:12] 另外一个是放在
[00:01:13] 假设是测睡的话就两腿之间
[00:01:15] 如果是正躺的话
[00:01:16] 就是放在大概膝盖下面
[00:01:17] 我觉得整体的睡眠品质都变得非常好
[00:01:19] 我希望朋友可以到我们资讯
[00:01:20] 在这边找到更多的说明连结
[00:01:22] 进入到了5月第二周
[00:01:23] 航行还是没有要刹车的意思
[00:01:25] 老实讲我已经不知道这个盘
[00:01:27] 到底是发生什么事情
[00:01:28] 但我自己看一下身边的朋友
[00:01:30] 我发现好像也没有多少人
[00:01:32] 要提早去降杠
[00:01:33] 或者说去把部位给降低
[00:01:35] 当然在过程之中
[00:01:37] 过去的几天都有那种
[00:01:38] 突然间吓你一下
[00:01:39] 像昨天的台股盘中
[00:01:41] 就有蛮多的涨停都直接打开来
[00:01:43] 打开之后又再次锁回去
[00:01:45] 像这种一般算是抽马席也蛮干净
[00:01:48] 一堆那种怕试的
[00:01:50] 或者说杠杆开太大的
[00:01:51] 或者说可能追涨停的受不了的
[00:01:53] 就会直接在打开来的时候
[00:01:55] 就把所有的乱卖就砍掉
[00:01:56] 当然其实如果说
[00:01:58] 你今天部位是比较新建的
[00:01:59] 你这样被吓跑
[00:02:00] 我觉得还可以接受
[00:02:01] 勉强可以接受
[00:02:02] 但如果说部位是建在下面的
[00:02:04] 一般这一波
[00:02:05] 我是觉得说不容易被吓到
[00:02:07] 或说你甚至是不应该被吓到
[00:02:08] 因为其实蛮多的成本
[00:02:10] 都拉得非常的远
[00:02:10] 所以我觉得后面的回档
[00:02:12] 会发生的状态是
[00:02:14] 大家可能都已经是赚太多钱了
[00:02:16] 所以就随便乱买
[00:02:17] 随便乱丢
[00:02:18] 可能是我们之后看到的回档
[00:02:19] 会长这样子一个样态
[00:02:20] 但是你说要让可能投资人赔钱
[00:02:22] 我觉得真的是太困难了
[00:02:23] 因为今年的不管是大盘指数
[00:02:26] 或者说各式各样的表弟
[00:02:27] 其实蛮多都直接喷出去
[00:02:28] 刚好在前天还是昨天
[00:02:31] 我们身边有些朋友在讨论
[00:02:33] 他们转贴了一个
[00:02:34] 不知道是报导还是什么消息
[00:02:35] 我也没有认真看
[00:02:36] 反正大致上就是说
[00:02:37] 什么台湾的亿万富翁
[00:02:38] 在过去的某一段时间
[00:02:40] 然后增加了什么
[00:02:41] 几十个百分比之类的
[00:02:42] 其中就有个朋友讲说
[00:02:44] 光是四月可能就增加了
[00:02:45] 几十个百分比
[00:02:46] 这个数字其实你硬要讲的话
[00:02:48] 我还真的会是相信的
[00:02:49] 因为这妈太恐怖了吧
[00:02:50] 你先别提说什么这些超股仔
[00:02:52] 你就说那些大股东就好
[00:02:54] 那些大股东
[00:02:55] 在过去的这种短短的一段时间
[00:02:57] 股票大喷射
[00:02:58] 你要想大股东是很多人
[00:03:00] 台股这么多股票
[00:03:02] 每档股票
[00:03:03] 你不要只说什么前十大
[00:03:04] 前十大很多都已经是一万富翁了
[00:03:06] 你说什么前三十大
[00:03:08] 前五十大
[00:03:09] 他说不定不是只有这档股票
[00:03:10] 所以你真的可以想象说
[00:03:12] 就光是整个index
[00:03:13] 带一堆股票这样子喷
[00:03:14] 就很多人会
[00:03:15] 可能他本来只有千万就破亿了
[00:03:17] 或是破亿的就变十亿之类的
[00:03:19] 所以真的是超级疯狂恐怖的一个行情
[00:03:22] 我在好像是过去的一两集
[00:03:25] 有跟大家分享说
[00:03:26] 这就是新一波的台湾前焰角木
[00:03:28] 当然就有一些听众会想要私讯
[00:03:30] 我跟他讲他的感受什么的
[00:03:32] 我整个时候感受每个人都有
[00:03:34] 就像我自己也是文族宅
[00:03:35] 其实我也会想抱怨这个世界
[00:03:37] 为什么这么不公平
[00:03:38] 我身为一个文族宅
[00:03:39] 为什么妈世界要这样对我
