[00:00:00] 欢迎收听古爱,我是孟公
[00:00:01] 本期节目由台湾莱雅集团
[00:00:03] 全球No.1医学美容品牌
[00:00:05] 休利可赞助
[00:00:06] 最近被各种广告打到都在讲母亲节
[00:00:09] 我自己也在寻思一件事
[00:00:11] 如果说送礼这件事是一种投资
[00:00:13] 你要做短线还是长头
[00:00:14] 花是短线,漂亮一下就没了
[00:00:17] 但保养是每天富丽在跑
[00:00:19] 我知道我们很多听众是男生
[00:00:21] 最近也在思考母亲节要送什么
[00:00:23] 如果只是包红包送花
[00:00:24] 这种一次性的情绪价值
[00:00:26] 那没什么记忆点
[00:00:27] 所以今年直接选择把一美等级的保养带回家
[00:00:31] 当成是一个长期资产配置送出去
[00:00:33] 休利可这个品牌
[00:00:34] 如果是老听众一定都知道
[00:00:36] 本来想说上次介绍的差不多
[00:00:38] 这次没什么好聊
[00:00:39] 但最近因为母亲节快到了
[00:00:41] 是个帮老婆囤货的好时机
[00:00:43] 所以趁这个机会
[00:00:44] 分享自己的独家优惠给大家
[00:00:46] 而且送礼就要送最新最有话题的才有面子
[00:00:49] 只选一组的话
[00:00:50] 首推休利可最新AGE
[00:00:52] 吉效复活紧致精华
[00:00:54] 这瓶被网友疯传为电波V脸评
[00:00:57] 不是没有道理
[00:00:58] 因为它的质地能够模拟术后的紧实感
[00:01:01] 清测最有感的就是
[00:01:02] 原本偏圆脸的U型轮廓
[00:01:04] 会慢慢收紧成为精致的V脸
[00:01:07] 然后抗老这件事情
[00:01:08] 我太太很常提醒我一个重点
[00:01:10] 就要抗氧化
[00:01:11] 那因为氧化就像是老化的加速器
[00:01:13] 会造成肌肤的干燥
[00:01:14] 粗糙跟出现细纹
[00:01:16] 所以白天很推荐搭配
[00:01:18] 黄金专利明星CE抗氧化精华
[00:01:20] 延缓肌肤老化
[00:01:22] 再用AGE精华把结构给撑起来
[00:01:24] 这样子整套抗老的routine才完整
[00:01:27] 那当然还有其他的明星商品可以搭配
[00:01:29] 简单讲就是CE抗氧化精华
[00:01:31] 延缓老化
[00:01:32] 这负责防守
[00:01:33] PTOX抗受精华管细纹
[00:01:36] 这个修正你的波动
[00:01:37] AGE精华撑结构
[00:01:38] 这是你的核心资产
[00:01:40] 那最后再用AGE紧致霜锁住
[00:01:42] 稳定收尾
[00:01:43] 一整套下来
[00:01:44] 其实就是把抗老这件事情
[00:01:45] 从短线操作变成一个完整的长期策略
[00:01:48] 直接说一句
[00:01:49] 他一定不记得你去年送过什么花
[00:01:51] 但他绝对记得这一罐让他的脸变紧
[00:01:54] 而且送妈妈跟老婆年轻
[00:01:56] 肯定是最好的礼物
[00:01:57] 那注意我们的重点来了
[00:01:58] 这是使用我们古牌的专属连结
[00:02:00] E-MAI直接送到家
[00:02:01] 金美礼盒八折起
[00:02:03] 如果说只能够推荐一组
[00:02:04] 请一定要带上电波V脸瓶
[00:02:06] 不仅面子十足
[00:02:07] 凑满了还可以顺便把
[00:02:08] KINGO小圆锅跟明星精华一起带回家
[00:02:11] 透过的独家连结下单
[00:02:12] 再送紫米精华4毫升
[00:02:14] 送妈妈送老婆送女友都很适合
[00:02:16] 这种高端E-MAI品牌
[00:02:17] 送起来非常的有质感
[00:02:19] 而且是早晚保养都会拿起来用
[00:02:21] 那我们每用一次就会想说
[00:02:22] 这个是你送的多划算
[00:02:24] 连结放在资讯栏这边
[00:02:25] 有需要的朋友可以自己去研究
[00:02:27] 那最近我太太介绍了
[00:02:28] 她的医美的医师给我认识
