[00:00:00] 欢迎收听古矮,我是孟宫
[00:00:01] 本期节目由台湾第一情趣商城Dr.情趣赞助
[00:00:05] 18禁人道走廊3,2,1
[00:00:08] 最近盘是跳上跳下,有人问如何稳住心态
[00:00:11] 记住没有什么场面是靠一枪不能够稳住的
[00:00:14] 有的话那就是两枪
[00:00:16] 无法一次两枪吗?那可能是装备不够点听Chika的直上
[00:00:20] 上次介绍完嘉贫如潮直接卖到亚洲线库存被清空
[00:00:23] 原厂紧急从美国调货才补回的
[00:00:25] 奥创未来智慧拟太飞机杯
[00:00:28] 这东西不是一般的飞机杯
[00:00:29] 大家每天都在聊AI机器人Optimus AGI
[00:00:32] 但你要等到跟机器人正式谈恋爱
[00:00:34] 我看还有一段时间
[00:00:35] 不过AI进军性产业的前哨战
[00:00:38] 现在可以先体验的
[00:00:39] 奥创未来最核心的技术叫做AI你太同步
[00:00:42] 它可以把影片里面的深浅力道、节奏、律动
[00:00:45] 同步到机器来传达出想表达的情感
[00:00:48] 你不用再靠想象自己是男主角
[00:00:50] 因为AI帮你代操
[00:00:51] 你只要躺好剩下就交给科技跟未来
[00:00:53] 如果再搭配VR视觉、听觉、体感一次拉满
[00:00:57] 直接从Web 3.0进化到Web 4.0
[00:00:59] 提前布局AI体感产业链
[00:01:02] 然后强烈建议务必搭配全台热销千万的
[00:01:05] Dr.勤去高级水性润滑液
[00:01:07] 让整体的舒适度直接在上一层楼
[00:01:09] MIT台湾制造
[00:01:11] 温和滋润
[00:01:12] 无色无味
[00:01:12] 好清洗保护玩具跟保护你的身体
[00:01:14] 有需要的听众可以输入我们的折扣码
[00:01:16] GOOAYE666
[00:01:18] 直接限折300
[00:01:19] 再送Dr.勤去高级水性润滑液
[00:01:22] 投资AI不要只会买股票
[00:01:24] 真正的科技进步
[00:01:25] 有时候要亲自体验
[00:01:26] 才会知道进步到哪了
[00:01:28] 在明天可以说
[00:01:28] Shout的朋友们
[00:01:29] 正式的近到34岁
[00:01:31] 身体的感受
[00:01:32] 当然就是觉得
[00:01:33] 又老一岁了
[00:01:34] 但是我觉得今年跟前几年
[00:01:36] 那种老一岁的感觉
[00:01:37] 有一个蛮大的差距
[00:01:38] 像我今天刚好去看我的验血报告
[00:01:41] 反正我就是每一两个月
[00:01:42] 都会去追踪一下
[00:01:43] 然后就发现说
[00:01:44] 自己的身体数值变得超级好
[00:01:45] 以前的一些红字
[00:01:47] 完全都不见了
[00:01:48] 其实我也不是说
[00:01:49] 什么真的很多红字
[00:01:50] 但是那个数值
[00:01:50] 就是持续的在变好
[00:01:51] 所以我觉得跟
[00:01:52] 近期的一些饮食控制
[00:01:54] 然后还有运动
[00:01:55] 都有蛮大的一个关系
[00:01:57] 所以用这样子
[00:01:57] 去开启自己的34岁
[00:01:59] 是觉得还蛮高兴的
[00:02:00] 那在上集的当下
[00:02:01] 其实就是我的生日
[00:02:02] 那我也非常感谢
[00:02:03] 这么多的地方听众
[00:02:04] 因为我其实不会去跟大家讲说
[00:02:05] 我的生日是什么时候
[00:02:06] 请大家记得我的生日
[00:02:08] 或什么的
[00:02:08] 但是呢
[00:02:09] 大家就是默默的记得我的生日
[00:02:11] 蛮多人
[00:02:11] 不只是我自己的生日
[00:02:13] 不然像是什么
[00:02:13] 结婚纪念日
[00:02:14] 因为有时候在节目里面聊到
[00:02:15] 那个结婚纪念日
[00:02:16] 我忘记什么东西
[00:02:17] 都一直会有人私讯我
[00:02:18] 讲说
[00:02:19] 像是情人节
[00:02:19] 像是结婚纪念日
[00:02:20] 或什么的
[00:02:21] 然后很多时候
[00:02:22] 真的是靠大家的提醒
[00:02:23] 我才会想到说
[00:02:24] 要去准备一些东西
[00:02:25] 所以其实我本身
[00:02:25] 是对各种节日
[00:02:26] 是比较属于
[00:02:27] 没有感觉的人
[00:02:28] 不然自己的生日也是
[00:02:30] 所以不是说
[00:02:30] 怎么样装裤
[00:02:31] 不过生日或什么
[00:02:32] 就是真的对这种东西
[00:02:33] 是没有什么感受
[00:02:34] 但是你看到
[00:02:35] 有些人会在意
[00:02:36] 然后会记得
[00:02:37] 那对你来说
[00:02:37] 还是一个非常暖心的体验
[00:02:39] 特别有这么多是
[00:02:40] 我们是数位蒙面的听众们
[00:02:43] 那这是一种
[00:02:44] 非常奇特的感受
