[00:00:00] 欢迎收听古爱,我是圣木工
[00:00:01] 本集节目由植村秀赞助
[00:00:03] 想要在颜值这块稳定获利
[00:00:05] 需要植村秀的这些组合
[00:00:07] 助你避开暗沉让颜值一路长停
[00:00:09] 第一个先讲全新上市的开光小红喷
[00:00:12] 第一眼就被它吸睛的红色液体给吸引
[00:00:14] 简单说这一支是妆容的长停板锁死
[00:00:16] 小红喷细致的物化水路
[00:00:18] 可以在脸上形成一层保护膜
[00:00:19] 出油出汗都能够确保你的妆容
[00:00:21] 维持在高档不跳空
[00:00:22] Lisa喷完直接爱上这一罐
[00:00:24] 连我这种直男都可以发现
[00:00:25] 脸今天特别亮
[00:00:26] 不会像之前有时候做完直角都不知道的尴尬
[00:00:29] 小红喷一喷一整天都精致红润光泽
[00:00:31] 底妆依然亮丽如新
[00:00:33] 再来是超快冲亮眼乳
[00:00:35] 这款妆前乳具备高细数的防晒与校色的功能
[00:00:38] 除了防晒足够之外
[00:00:39] 还能够修饰肤色不均
[00:00:41] 脸变亮同时保湿
[00:00:42] 那一天老婆才说这一罐
[00:00:44] 其实我自己也可以用
[00:00:45] 一直呼吁广大的男性做好体位的管理
[00:00:47] 更精一阶就是做好面子的管理
[00:00:48] 尤其最近迷恋打网球
[00:00:50] 防晒非常重要
[00:00:51] 用超快冲亮眼乳防晒
[00:00:53] 不只是保护肌肤
[00:00:54] 还让你变得很好看
[00:00:55] 那最后面子好
[00:00:57] 清洁最重要
[00:00:58] 酒破节眼油超特别
[00:01:00] 大家都知道我有一阵子很迷清酒
[00:01:01] 这款里面用了清酒酒破
[00:01:03] 让肌肤边清洁边保湿
[00:01:05] 毛孔清干净
[00:01:06] 肌肤维持细致的优质状态
[00:01:08] 敏感肌也适合
[00:01:09] 想要快速让面子开光
[00:01:11] 5月30号到6月4号限时9折起
[00:01:13] 精选开运红盘组
[00:01:14] 最高优惠64折限量100组
[00:01:18] 百货柜点官网以及某某的官方
[00:01:21] 也有同款的限量组合
[00:01:22] 这边听会所有需要的朋友们
[00:01:23] 那上集有跟大家聊了一下
